interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,non_spinning_reserves,regulation_down,regulation_up,responsive_reserves,ercot_contingency_reserve_service
2024-01-02 12:00:00-06:00,2024-01-02 18:00:00+00:00,2024-01-02 13:00:00-06:00,2024-01-02 19:00:00+00:00,DAM,1.5,1.02,1.83,1.5,1.7
2024-01-02 13:00:00-06:00,2024-01-02 19:00:00+00:00,2024-01-02 14:00:00-06:00,2024-01-02 20:00:00+00:00,DAM,1.48,1.25,1.91,1.47,1.47
2024-01-02 14:00:00-06:00,2024-01-02 20:00:00+00:00,2024-01-02 15:00:00-06:00,2024-01-02 21:00:00+00:00,DAM,1.5,1.36,1.83,1.5,1.5
2024-01-02 15:00:00-06:00,2024-01-02 21:00:00+00:00,2024-01-02 16:00:00-06:00,2024-01-02 22:00:00+00:00,DAM,1.48,1.25,2.4,1.4,1.35
2024-01-02 16:00:00-06:00,2024-01-02 22:00:00+00:00,2024-01-02 17:00:00-06:00,2024-01-02 23:00:00+00:00,DAM,2.25,1.13,5.19,1.6,1.6
2024-01-02 17:00:00-06:00,2024-01-02 23:00:00+00:00,2024-01-02 18:00:00-06:00,2024-01-03 00:00:00+00:00,DAM,18.57,2.6,18.94,5.0,15.88
2024-01-02 18:00:00-06:00,2024-01-03 00:00:00+00:00,2024-01-02 19:00:00-06:00,2024-01-03 01:00:00+00:00,DAM,5.1,1.99,3.49,2.97,5.22
2024-01-02 19:00:00-06:00,2024-01-03 01:00:00+00:00,2024-01-02 20:00:00-06:00,2024-01-03 02:00:00+00:00,DAM,3.0,1.8,2.19,1.68,3.0
2024-01-02 20:00:00-06:00,2024-01-03 02:00:00+00:00,2024-01-02 21:00:00-06:00,2024-01-03 03:00:00+00:00,DAM,3.0,1.56,1.83,1.5,2.5
2024-01-02 21:00:00-06:00,2024-01-03 03:00:00+00:00,2024-01-02 22:00:00-06:00,2024-01-03 04:00:00+00:00,DAM,2.3,1.37,2.3,1.5,2.5
2024-01-02 22:00:00-06:00,2024-01-03 04:00:00+00:00,2024-01-02 23:00:00-06:00,2024-01-03 05:00:00+00:00,DAM,1.75,1.26,1.47,1.01,0.94
2024-01-02 23:00:00-06:00,2024-01-03 05:00:00+00:00,2024-01-03 00:00:00-06:00,2024-01-03 06:00:00+00:00,DAM,1.15,1.25,1.51,1.01,0.95
2024-01-03 00:00:00-06:00,2024-01-03 06:00:00+00:00,2024-01-03 01:00:00-06:00,2024-01-03 07:00:00+00:00,DAM,0.88,0.6,1.49,1.01,0.88
2024-01-03 01:00:00-06:00,2024-01-03 07:00:00+00:00,2024-01-03 02:00:00-06:00,2024-01-03 08:00:00+00:00,DAM,0.88,0.66,1.33,1.0,0.88
2024-01-03 02:00:00-06:00,2024-01-03 08:00:00+00:00,2024-01-03 03:00:00-06:00,2024-01-03 09:00:00+00:00,DAM,1.01,0.21,1.45,1.0,0.88
2024-01-03 03:00:00-06:00,2024-01-03 09:00:00+00:00,2024-01-03 04:00:00-06:00,2024-01-03 10:00:00+00:00,DAM,1.01,0.36,1.33,1.0,0.94
2024-01-03 04:00:00-06:00,2024-01-03 10:00:00+00:00,2024-01-03 05:00:00-06:00,2024-01-03 11:00:00+00:00,DAM,1.04,0.7,2.69,1.0,0.94
2024-01-03 05:00:00-06:00,2024-01-03 11:00:00+00:00,2024-01-03 06:00:00-06:00,2024-01-03 12:00:00+00:00,DAM,1.12,1.5,3.54,1.0,0.87
2024-01-03 06:00:00-06:00,2024-01-03 12:00:00+00:00,2024-01-03 07:00:00-06:00,2024-01-03 13:00:00+00:00,DAM,9.15,1.8,3.78,2.0,4.99
2024-01-03 07:00:00-06:00,2024-01-03 13:00:00+00:00,2024-01-03 08:00:00-06:00,2024-01-03 14:00:00+00:00,DAM,13.65,2.63,2.98,2.0,6.21
2024-01-03 08:00:00-06:00,2024-01-03 14:00:00+00:00,2024-01-03 09:00:00-06:00,2024-01-03 15:00:00+00:00,DAM,9.2,4.98,2.0,2.0,15.62
2024-01-03 09:00:00-06:00,2024-01-03 15:00:00+00:00,2024-01-03 10:00:00-06:00,2024-01-03 16:00:00+00:00,DAM,2.72,2.0,2.89,2.0,9.0
2024-01-03 10:00:00-06:00,2024-01-03 16:00:00+00:00,2024-01-03 11:00:00-06:00,2024-01-03 17:00:00+00:00,DAM,1.45,1.25,2.0,1.5,2.5
2024-01-03 11:00:00-06:00,2024-01-03 17:00:00+00:00,2024-01-03 12:00:00-06:00,2024-01-03 18:00:00+00:00,DAM,1.5,1.25,2.1,1.5,1.7
2024-01-03 12:00:00-06:00,2024-01-03 18:00:00+00:00,2024-01-03 13:00:00-06:00,2024-01-03 19:00:00+00:00,DAM,1.48,0.13,1.98,1.4,1.4
2024-01-03 13:00:00-06:00,2024-01-03 19:00:00+00:00,2024-01-03 14:00:00-06:00,2024-01-03 20:00:00+00:00,DAM,1.48,1.25,1.97,1.28,1.28
2024-01-03 14:00:00-06:00,2024-01-03 20:00:00+00:00,2024-01-03 15:00:00-06:00,2024-01-03 21:00:00+00:00,DAM,1.5,1.25,1.62,1.15,1.15
2024-01-03 15:00:00-06:00,2024-01-03 21:00:00+00:00,2024-01-03 16:00:00-06:00,2024-01-03 22:00:00+00:00,DAM,1.5,1.25,1.72,1.2,1.2
2024-01-03 16:00:00-06:00,2024-01-03 22:00:00+00:00,2024-01-03 17:00:00-06:00,2024-01-03 23:00:00+00:00,DAM,2.04,0.22,4.99,1.7,1.7
2024-01-03 17:00:00-06:00,2024-01-03 23:00:00+00:00,2024-01-03 18:00:00-06:00,2024-01-04 00:00:00+00:00,DAM,5.09,2.24,15.0,5.0,7.99
2024-01-03 18:00:00-06:00,2024-01-04 00:00:00+00:00,2024-01-03 19:00:00-06:00,2024-01-04 01:00:00+00:00,DAM,3.0,1.13,2.5,2.0,3.0
2024-01-03 19:00:00-06:00,2024-01-04 01:00:00+00:00,2024-01-03 20:00:00-06:00,2024-01-04 02:00:00+00:00,DAM,2.72,0.73,2.0,1.5,2.0
2024-01-03 20:00:00-06:00,2024-01-04 02:00:00+00:00,2024-01-03 21:00:00-06:00,2024-01-04 03:00:00+00:00,DAM,2.72,0.09,1.83,1.5,2.0
2024-01-03 21:00:00-06:00,2024-01-04 03:00:00+00:00,2024-01-03 22:00:00-06:00,2024-01-04 04:00:00+00:00,DAM,2.0,0.32,2.0,1.49,1.49
2024-01-03 22:00:00-06:00,2024-01-04 04:00:00+00:00,2024-01-03 23:00:00-06:00,2024-01-04 05:00:00+00:00,DAM,0.99,1.49,1.34,1.01,0.95
2024-01-03 23:00:00-06:00,2024-01-04 05:00:00+00:00,2024-01-04 00:00:00-06:00,2024-01-04 06:00:00+00:00,DAM,0.99,1.53,1.33,1.0,0.94
2024-01-04 00:00:00-06:00,2024-01-04 06:00:00+00:00,2024-01-04 01:00:00-06:00,2024-01-04 07:00:00+00:00,DAM,0.82,1.51,1.33,1.0,0.81
2024-01-04 01:00:00-06:00,2024-01-04 07:00:00+00:00,2024-01-04 02:00:00-06:00,2024-01-04 08:00:00+00:00,DAM,0.82,1.49,1.33,1.0,0.88
2024-01-04 02:00:00-06:00,2024-01-04 08:00:00+00:00,2024-01-04 03:00:00-06:00,2024-01-04 09:00:00+00:00,DAM,0.99,1.25,1.45,1.0,0.88
2024-01-04 03:00:00-06:00,2024-01-04 09:00:00+00:00,2024-01-04 04:00:00-06:00,2024-01-04 10:00:00+00:00,DAM,0.99,1.25,1.46,1.0,0.94
2024-01-04 04:00:00-06:00,2024-01-04 10:00:00+00:00,2024-01-04 05:00:00-06:00,2024-01-04 11:00:00+00:00,DAM,0.99,1.25,2.39,1.0,0.94
2024-01-04 05:00:00-06:00,2024-01-04 11:00:00+00:00,2024-01-04 06:00:00-06:00,2024-01-04 12:00:00+00:00,DAM,1.17,1.62,4.99,1.0,0.87
2024-01-04 06:00:00-06:00,2024-01-04 12:00:00+00:00,2024-01-04 07:00:00-06:00,2024-01-04 13:00:00+00:00,DAM,2.04,2.0,3.98,2.0,2.04
2024-01-04 07:00:00-06:00,2024-01-04 13:00:00+00:00,2024-01-04 08:00:00-06:00,2024-01-04 14:00:00+00:00,DAM,2.14,2.25,2.33,2.0,3.0
2024-01-04 08:00:00-06:00,2024-01-04 14:00:00+00:00,2024-01-04 09:00:00-06:00,2024-01-04 15:00:00+00:00,DAM,2.15,11.34,3.19,2.0,5.49
2024-01-04 09:00:00-06:00,2024-01-04 15:00:00+00:00,2024-01-04 10:00:00-06:00,2024-01-04 16:00:00+00:00,DAM,2.0,2.69,2.33,2.0,3.88
2024-01-04 10:00:00-06:00,2024-01-04 16:00:00+00:00,2024-01-04 11:00:00-06:00,2024-01-04 17:00:00+00:00,DAM,1.45,2.0,2.0,1.5,2.68
2024-01-04 11:00:00-06:00,2024-01-04 17:00:00+00:00,2024-01-04 12:00:00-06:00,2024-01-04 18:00:00+00:00,DAM,1.48,2.0,2.0,1.5,2.0
2024-01-04 12:00:00-06:00,2024-01-04 18:00:00+00:00,2024-01-04 13:00:00-06:00,2024-01-04 19:00:00+00:00,DAM,1.48,2.0,2.0,1.5,1.95
2024-01-04 13:00:00-06:00,2024-01-04 19:00:00+00:00,2024-01-04 14:00:00-06:00,2024-01-04 20:00:00+00:00,DAM,1.48,2.0,2.0,1.47,1.55
2024-01-04 14:00:00-06:00,2024-01-04 20:00:00+00:00,2024-01-04 15:00:00-06:00,2024-01-04 21:00:00+00:00,DAM,1.5,2.0,2.0,1.4,1.96
2024-01-04 15:00:00-06:00,2024-01-04 21:00:00+00:00,2024-01-04 16:00:00-06:00,2024-01-04 22:00:00+00:00,DAM,1.45,2.0,2.25,1.4,1.4
2024-01-04 16:00:00-06:00,2024-01-04 22:00:00+00:00,2024-01-04 17:00:00-06:00,2024-01-04 23:00:00+00:00,DAM,1.7,2.0,3.58,1.5,2.0
2024-01-04 17:00:00-06:00,2024-01-04 23:00:00+00:00,2024-01-04 18:00:00-06:00,2024-01-05 00:00:00+00:00,DAM,2.0,4.16,7.9,5.0,6.0
2024-01-04 18:00:00-06:00,2024-01-05 00:00:00+00:00,2024-01-04 19:00:00-06:00,2024-01-05 01:00:00+00:00,DAM,1.17,1.59,2.0,1.67,2.0
2024-01-04 19:00:00-06:00,2024-01-05 01:00:00+00:00,2024-01-04 20:00:00-06:00,2024-01-05 02:00:00+00:00,DAM,1.17,1.54,2.0,1.5,1.95
2024-01-04 20:00:00-06:00,2024-01-05 02:00:00+00:00,2024-01-04 21:00:00-06:00,2024-01-05 03:00:00+00:00,DAM,1.15,1.56,1.83,1.5,1.95
2024-01-04 21:00:00-06:00,2024-01-05 03:00:00+00:00,2024-01-04 22:00:00-06:00,2024-01-05 04:00:00+00:00,DAM,0.99,2.0,1.8,1.28,1.28
2024-01-04 22:00:00-06:00,2024-01-05 04:00:00+00:00,2024-01-04 23:00:00-06:00,2024-01-05 05:00:00+00:00,DAM,0.94,2.0,1.15,1.0,0.95
2024-01-04 23:00:00-06:00,2024-01-05 05:00:00+00:00,2024-01-05 00:00:00-06:00,2024-01-05 06:00:00+00:00,DAM,0.94,2.0,1.33,1.0,0.94
2024-01-05 00:00:00-06:00,2024-01-05 06:00:00+00:00,2024-01-05 01:00:00-06:00,2024-01-05 07:00:00+00:00,DAM,0.81,4.98,1.49,1.0,0.88
2024-01-05 01:00:00-06:00,2024-01-05 07:00:00+00:00,2024-01-05 02:00:00-06:00,2024-01-05 08:00:00+00:00,DAM,0.81,2.0,1.47,1.0,0.94
2024-01-05 02:00:00-06:00,2024-01-05 08:00:00+00:00,2024-01-05 03:00:00-06:00,2024-01-05 09:00:00+00:00,DAM,0.98,4.98,1.6,1.0,0.94
2024-01-05 03:00:00-06:00,2024-01-05 09:00:00+00:00,2024-01-05 04:00:00-06:00,2024-01-05 10:00:00+00:00,DAM,0.98,4.98,1.55,1.0,0.95
2024-01-05 04:00:00-06:00,2024-01-05 10:00:00+00:00,2024-01-05 05:00:00-06:00,2024-01-05 11:00:00+00:00,DAM,0.98,2.0,2.39,1.0,1.0
2024-01-05 05:00:00-06:00,2024-01-05 11:00:00+00:00,2024-01-05 06:00:00-06:00,2024-01-05 12:00:00+00:00,DAM,1.12,1.56,2.52,1.01,0.9
2024-01-05 06:00:00-06:00,2024-01-05 12:00:00+00:00,2024-01-05 07:00:00-06:00,2024-01-05 13:00:00+00:00,DAM,2.15,1.25,2.99,2.0,2.0
2024-01-05 07:00:00-06:00,2024-01-05 13:00:00+00:00,2024-01-05 08:00:00-06:00,2024-01-05 14:00:00+00:00,DAM,2.25,2.0,2.0,1.97,2.49
2024-01-05 08:00:00-06:00,2024-01-05 14:00:00+00:00,2024-01-05 09:00:00-06:00,2024-01-05 15:00:00+00:00,DAM,2.72,3.5,2.0,2.0,4.88
2024-01-05 09:00:00-06:00,2024-01-05 15:00:00+00:00,2024-01-05 10:00:00-06:00,2024-01-05 16:00:00+00:00,DAM,2.25,3.14,2.0,1.67,3.92
2024-01-05 10:00:00-06:00,2024-01-05 16:00:00+00:00,2024-01-05 11:00:00-06:00,2024-01-05 17:00:00+00:00,DAM,1.17,2.0,2.0,1.47,2.47
2024-01-05 11:00:00-06:00,2024-01-05 17:00:00+00:00,2024-01-05 12:00:00-06:00,2024-01-05 18:00:00+00:00,DAM,1.17,2.0,1.98,1.4,1.96
2024-01-05 12:00:00-06:00,2024-01-05 18:00:00+00:00,2024-01-05 13:00:00-06:00,2024-01-05 19:00:00+00:00,DAM,1.15,1.98,2.0,1.4,1.75
2024-01-05 13:00:00-06:00,2024-01-05 19:00:00+00:00,2024-01-05 14:00:00-06:00,2024-01-05 20:00:00+00:00,DAM,1.15,2.0,2.0,1.38,1.38
2024-01-05 14:00:00-06:00,2024-01-05 20:00:00+00:00,2024-01-05 15:00:00-06:00,2024-01-05 21:00:00+00:00,DAM,1.23,2.0,1.98,1.4,1.53
2024-01-05 15:00:00-06:00,2024-01-05 21:00:00+00:00,2024-01-05 16:00:00-06:00,2024-01-05 22:00:00+00:00,DAM,1.23,2.0,2.1,1.25,1.25
2024-01-05 16:00:00-06:00,2024-01-05 22:00:00+00:00,2024-01-05 17:00:00-06:00,2024-01-05 23:00:00+00:00,DAM,2.0,4.49,3.65,1.65,1.65
2024-01-05 17:00:00-06:00,2024-01-05 23:00:00+00:00,2024-01-05 18:00:00-06:00,2024-01-06 00:00:00+00:00,DAM,4.18,2.87,6.72,3.18,4.18
2024-01-05 18:00:00-06:00,2024-01-06 00:00:00+00:00,2024-01-05 19:00:00-06:00,2024-01-06 01:00:00+00:00,DAM,2.0,1.55,2.3,1.97,2.0
2024-01-05 19:00:00-06:00,2024-01-06 01:00:00+00:00,2024-01-05 20:00:00-06:00,2024-01-06 02:00:00+00:00,DAM,2.72,1.43,1.83,1.5,1.96
2024-01-05 20:00:00-06:00,2024-01-06 02:00:00+00:00,2024-01-05 21:00:00-06:00,2024-01-06 03:00:00+00:00,DAM,2.72,1.25,1.25,1.25,1.94
2024-01-05 21:00:00-06:00,2024-01-06 03:00:00+00:00,2024-01-05 22:00:00-06:00,2024-01-06 04:00:00+00:00,DAM,1.48,1.25,1.82,1.49,2.0
2024-01-05 22:00:00-06:00,2024-01-06 04:00:00+00:00,2024-01-05 23:00:00-06:00,2024-01-06 05:00:00+00:00,DAM,0.97,2.0,1.47,1.0,1.0
2024-01-05 23:00:00-06:00,2024-01-06 05:00:00+00:00,2024-01-06 00:00:00-06:00,2024-01-06 06:00:00+00:00,DAM,0.93,1.25,1.8,1.0,1.0
2024-01-06 00:00:00-06:00,2024-01-06 06:00:00+00:00,2024-01-06 01:00:00-06:00,2024-01-06 07:00:00+00:00,DAM,0.4,1.25,1.8,1.0,0.94
2024-01-06 01:00:00-06:00,2024-01-06 07:00:00+00:00,2024-01-06 02:00:00-06:00,2024-01-06 08:00:00+00:00,DAM,0.4,1.25,1.76,1.0,0.94
2024-01-06 02:00:00-06:00,2024-01-06 08:00:00+00:00,2024-01-06 03:00:00-06:00,2024-01-06 09:00:00+00:00,DAM,0.96,0.5,1.8,1.0,0.95
2024-01-06 03:00:00-06:00,2024-01-06 09:00:00+00:00,2024-01-06 04:00:00-06:00,2024-01-06 10:00:00+00:00,DAM,0.96,0.61,1.8,1.0,0.95
2024-01-06 04:00:00-06:00,2024-01-06 10:00:00+00:00,2024-01-06 05:00:00-06:00,2024-01-06 11:00:00+00:00,DAM,0.97,1.25,2.15,1.0,1.0
2024-01-06 05:00:00-06:00,2024-01-06 11:00:00+00:00,2024-01-06 06:00:00-06:00,2024-01-06 12:00:00+00:00,DAM,1.5,1.41,2.69,1.01,0.87
2024-01-06 06:00:00-06:00,2024-01-06 12:00:00+00:00,2024-01-06 07:00:00-06:00,2024-01-06 13:00:00+00:00,DAM,7.49,1.95,2.45,2.0,3.09
2024-01-06 07:00:00-06:00,2024-01-06 13:00:00+00:00,2024-01-06 08:00:00-06:00,2024-01-06 14:00:00+00:00,DAM,10.3,2.0,2.0,2.0,5.0
2024-01-06 08:00:00-06:00,2024-01-06 14:00:00+00:00,2024-01-06 09:00:00-06:00,2024-01-06 15:00:00+00:00,DAM,6.56,4.65,2.0,4.0,12.42
2024-01-06 09:00:00-06:00,2024-01-06 15:00:00+00:00,2024-01-06 10:00:00-06:00,2024-01-06 16:00:00+00:00,DAM,2.6,2.0,2.0,1.5,3.03
2024-01-06 10:00:00-06:00,2024-01-06 16:00:00+00:00,2024-01-06 11:00:00-06:00,2024-01-06 17:00:00+00:00,DAM,1.0,1.98,1.98,1.3,2.0
2024-01-06 11:00:00-06:00,2024-01-06 17:00:00+00:00,2024-01-06 12:00:00-06:00,2024-01-06 18:00:00+00:00,DAM,1.11,1.98,1.98,1.3,1.94
2024-01-06 12:00:00-06:00,2024-01-06 18:00:00+00:00,2024-01-06 13:00:00-06:00,2024-01-06 19:00:00+00:00,DAM,1.0,1.78,1.88,1.3,1.38
2024-01-06 13:00:00-06:00,2024-01-06 19:00:00+00:00,2024-01-06 14:00:00-06:00,2024-01-06 20:00:00+00:00,DAM,1.0,1.57,1.98,1.05,1.05
2024-01-06 14:00:00-06:00,2024-01-06 20:00:00+00:00,2024-01-06 15:00:00-06:00,2024-01-06 21:00:00+00:00,DAM,1.12,2.0,1.7,1.12,1.19
2024-01-06 15:00:00-06:00,2024-01-06 21:00:00+00:00,2024-01-06 16:00:00-06:00,2024-01-06 22:00:00+00:00,DAM,1.11,2.29,2.25,1.01,1.01
2024-01-06 16:00:00-06:00,2024-01-06 22:00:00+00:00,2024-01-06 17:00:00-06:00,2024-01-06 23:00:00+00:00,DAM,1.23,2.0,3.85,1.5,1.5
2024-01-06 17:00:00-06:00,2024-01-06 23:00:00+00:00,2024-01-06 18:00:00-06:00,2024-01-07 00:00:00+00:00,DAM,4.6,2.79,9.3,5.0,8.81
2024-01-06 18:00:00-06:00,2024-01-07 00:00:00+00:00,2024-01-06 19:00:00-06:00,2024-01-07 01:00:00+00:00,DAM,3.09,1.92,2.33,2.0,3.09
2024-01-06 19:00:00-06:00,2024-01-07 01:00:00+00:00,2024-01-06 20:00:00-06:00,2024-01-07 02:00:00+00:00,DAM,3.02,1.39,1.83,1.5,2.0
2024-01-06 20:00:00-06:00,2024-01-07 02:00:00+00:00,2024-01-06 21:00:00-06:00,2024-01-07 03:00:00+00:00,DAM,3.6,1.54,1.25,1.01,1.96
2024-01-06 21:00:00-06:00,2024-01-07 03:00:00+00:00,2024-01-06 22:00:00-06:00,2024-01-07 04:00:00+00:00,DAM,2.6,1.57,1.34,1.01,2.0
2024-01-06 22:00:00-06:00,2024-01-07 04:00:00+00:00,2024-01-06 23:00:00-06:00,2024-01-07 05:00:00+00:00,DAM,0.96,2.0,1.47,1.0,1.0
2024-01-06 23:00:00-06:00,2024-01-07 05:00:00+00:00,2024-01-07 00:00:00-06:00,2024-01-07 06:00:00+00:00,DAM,0.92,1.53,1.51,1.0,1.0
2024-01-07 00:00:00-06:00,2024-01-07 06:00:00+00:00,2024-01-07 01:00:00-06:00,2024-01-07 07:00:00+00:00,DAM,0.92,1.25,1.49,1.0,1.0
2024-01-07 01:00:00-06:00,2024-01-07 07:00:00+00:00,2024-01-07 02:00:00-06:00,2024-01-07 08:00:00+00:00,DAM,0.92,1.25,1.47,1.0,1.0
2024-01-07 02:00:00-06:00,2024-01-07 08:00:00+00:00,2024-01-07 03:00:00-06:00,2024-01-07 09:00:00+00:00,DAM,1.23,1.25,1.5,1.0,1.0
2024-01-07 03:00:00-06:00,2024-01-07 09:00:00+00:00,2024-01-07 04:00:00-06:00,2024-01-07 10:00:00+00:00,DAM,1.11,1.48,1.5,1.0,1.0
2024-01-07 04:00:00-06:00,2024-01-07 10:00:00+00:00,2024-01-07 05:00:00-06:00,2024-01-07 11:00:00+00:00,DAM,1.15,1.48,2.0,1.01,1.01
2024-01-07 05:00:00-06:00,2024-01-07 11:00:00+00:00,2024-01-07 06:00:00-06:00,2024-01-07 12:00:00+00:00,DAM,1.25,2.0,2.89,1.0,1.0
