Timestamp,mileage_factor_RegU_ERCOT,performance_factor_RegU_ERCOT,mileage_factor_RegD_ERCOT,performance_factor_RegD_ERCOT
2024-01-05 02:00:00,8.4365,0.8197,8.0433,0.9331
2024-01-05 03:00:00,6.9794,0.8746,7.04,0.9888
2024-01-05 04:00:00,8.2695,0.9566,6.4759,0.9992
2024-01-05 05:00:00,7.5624,0.9339,7.0712,0.884
2024-01-05 06:00:00,7.6113,0.9431,8.2469,0.9196
2024-01-05 07:00:00,8.9628,0.8997,7.2531,0.9333
2024-01-05 08:00:00,6.922,0.8835,7.7854,0.9449
2024-01-05 09:00:00,7.9554,0.9728,6.7463,0.9211
2024-01-05 10:00:00,6.6116,1.0,7.1166,1.0
2024-01-05 11:00:00,6.9029,0.8958,8.6946,0.921
2024-01-05 12:00:00,7.5759,0.9949,7.1552,0.8938
2024-01-05 13:00:00,6.8054,1.0,6.4452,0.9769
2024-01-05 14:00:00,6.9616,0.978,8.5095,1.0
2024-01-05 15:00:00,7.0689,0.9298,7.9151,0.9068
2024-01-05 16:00:00,7.8425,0.9452,7.3672,1.0
2024-01-05 17:00:00,7.6592,0.9081,8.046,0.9854
2024-01-05 18:00:00,9.5547,0.9028,8.1216,0.9145
2024-01-05 19:00:00,9.6617,0.9573,8.2689,0.9938
2024-01-05 20:00:00,7.362,0.9791,7.7766,0.8992
2024-01-05 21:00:00,6.2846,0.9632,7.7391,0.8681
2024-01-05 22:00:00,6.7792,0.9826,8.6812,0.8911
2024-01-05 23:00:00,8.1773,0.8741,6.3465,0.9616
2024-01-06 00:00:00,6.6361,0.9988,8.021,0.9604
2024-01-06 01:00:00,6.3008,0.9434,7.923,0.9787
2024-01-06 02:00:00,8.3655,0.9387,8.1862,0.9487
2024-01-06 03:00:00,9.3521,0.9975,6.002,0.8831
2024-01-06 04:00:00,9.4036,0.9101,6.1772,1.0
2024-01-06 05:00:00,7.5754,0.9017,8.4144,0.9203
2024-01-06 06:00:00,7.3511,0.8769,8.2306,0.9723
2024-01-06 07:00:00,8.084,0.982,8.45,0.8908
2024-01-06 08:00:00,7.1793,0.9616,6.8465,0.9236
2024-01-06 09:00:00,7.9634,0.9811,8.1293,0.9967
2024-01-06 10:00:00,7.1874,0.9489,7.4931,0.9068
2024-01-06 11:00:00,8.5648,0.9094,8.2085,1.0
2024-01-06 12:00:00,7.5782,0.8612,5.9586,0.9495
2024-01-06 13:00:00,8.4918,0.9746,7.5092,0.9442
2024-01-06 14:00:00,7.618,0.9804,7.9327,0.9313
2024-01-06 15:00:00,6.5042,0.9856,5.9956,0.9597
2024-01-06 16:00:00,7.0098,1.0,7.9271,1.0
2024-01-06 17:00:00,7.566,0.8728,8.0637,0.9706
2024-01-06 18:00:00,8.3884,1.0,7.7589,0.9076
2024-01-06 19:00:00,7.3442,0.9626,7.6073,1.0
2024-01-06 20:00:00,8.5648,0.9742,7.3738,0.9116
2024-01-06 21:00:00,7.328,0.9139,7.4924,1.0
2024-01-06 22:00:00,7.0775,0.9021,6.4964,0.8029
2024-01-06 23:00:00,9.6113,0.9195,9.0328,0.8866
2024-01-07 00:00:00,7.786,0.9167,8.1164,0.9401
2024-01-07 01:00:00,7.0555,1.0,8.0078,0.8846
2024-01-07 02:00:00,7.8573,0.9228,8.5786,0.94
2024-01-07 03:00:00,7.048,0.9231,7.8039,0.9786
2024-01-07 04:00:00,6.3924,1.0,8.5612,0.9485
2024-01-07 05:00:00,8.5613,0.9428,8.2199,1.0
2024-01-07 06:00:00,6.5664,0.9466,7.7724,0.9722
2024-01-07 07:00:00,7.3979,0.9452,8.6301,0.934
2024-01-07 08:00:00,7.366,0.9562,6.9695,0.8683
2024-01-07 09:00:00,8.7023,0.9864,7.8103,0.9441
2024-01-07 10:00:00,6.8444,0.9839,8.2857,0.9256
2024-01-07 11:00:00,6.4358,0.9808,7.4483,0.896
2024-01-07 12:00:00,7.4475,0.936,6.6674,0.9167
2024-01-07 13:00:00,7.0784,0.9769,6.8009,0.9386
2024-01-07 14:00:00,6.4256,0.8356,7.4893,0.9183
2024-01-07 15:00:00,7.9672,0.8864,6.6159,1.0
2024-01-07 16:00:00,8.3697,0.8824,8.3652,0.9475
2024-01-07 17:00:00,8.9367,1.0,5.9085,0.9134
2024-01-07 18:00:00,7.8902,0.8943,6.7145,1.0
2024-01-07 19:00:00,7.7128,1.0,6.6897,0.92
2024-01-07 20:00:00,7.1041,0.8812,7.8677,0.9924
2024-01-07 21:00:00,7.0587,0.8591,8.5816,0.9834
2024-01-07 22:00:00,7.7359,0.9712,6.748,1.0
2024-01-07 23:00:00,8.1591,1.0,8.2235,0.9273
2024-01-08 00:00:00,8.3141,0.9403,7.2832,0.957
2024-01-08 01:00:00,7.8874,0.9659,7.3218,0.9078
2024-01-08 02:00:00,8.2676,0.8757,7.4253,1.0
2024-01-08 03:00:00,5.8479,0.932,8.0174,0.8275
2024-01-08 04:00:00,6.9133,0.9209,8.7801,1.0
2024-01-08 05:00:00,7.0259,0.9297,7.4562,0.9616
2024-01-08 06:00:00,7.3648,0.9873,8.6863,0.9658
2024-01-08 07:00:00,6.2563,0.952,7.5601,1.0
2024-01-08 08:00:00,8.2175,1.0,9.3455,0.9473
2024-01-08 09:00:00,7.5355,0.9833,6.0683,0.8759
2024-01-08 10:00:00,7.5849,0.9962,7.8686,0.9505
2024-01-08 11:00:00,5.9876,0.9204,7.0044,1.0
2024-01-08 12:00:00,7.8799,1.0,8.0102,0.9627
2024-01-08 13:00:00,6.8888,1.0,8.2141,1.0
2024-01-08 14:00:00,8.0994,1.0,7.5904,0.933
2024-01-08 15:00:00,8.6781,0.9323,5.9892,0.9827
2024-01-08 16:00:00,6.846,0.9137,6.8397,0.8553
2024-01-08 17:00:00,6.3107,0.9027,7.8319,0.9447
2024-01-08 18:00:00,7.4291,0.9132,7.9534,0.9478
2024-01-08 19:00:00,6.872,0.9632,6.8752,0.9134
2024-01-08 20:00:00,7.5626,0.9134,7.2541,0.9941
2024-01-08 21:00:00,6.667,0.9403,7.1538,0.9519
2024-01-08 22:00:00,7.7446,1.0,8.3442,0.9435
2024-01-08 23:00:00,7.306,0.9672,8.2566,0.9983
2024-01-09 00:00:00,8.274,0.9252,7.0297,0.977
2024-01-09 01:00:00,6.1861,0.9299,8.5705,0.935
2024-01-09 02:00:00,7.9793,0.9465,7.056,1.0
2024-01-09 03:00:00,7.8547,0.9542,6.3997,0.9535
2024-01-09 04:00:00,7.7371,0.9262,7.7302,0.8726
2024-01-09 05:00:00,7.2299,0.9968,7.5447,0.9723
2024-01-09 06:00:00,7.1492,0.9003,7.4488,0.929
2024-01-09 07:00:00,8.3395,0.9722,7.5895,0.8656
2024-01-09 08:00:00,6.5827,0.9245,7.4989,0.9365
2024-01-09 09:00:00,6.2481,0.9907,7.2988,0.9495
2024-01-09 10:00:00,7.8077,0.944,6.5685,0.9544
2024-01-09 11:00:00,6.4251,0.9633,7.7093,0.9683
2024-01-09 12:00:00,8.1658,0.9095,7.4769,0.8662
2024-01-09 13:00:00,7.6567,0.9251,6.9457,0.7584
2024-01-09 14:00:00,7.1949,1.0,7.0201,0.8985
2024-01-09 15:00:00,7.901,0.9412,7.2221,0.9922
2024-01-09 16:00:00,6.7873,0.8692,9.0286,0.8818
2024-01-09 17:00:00,7.301,0.8402,7.394,0.9887
2024-01-09 18:00:00,8.2776,0.8869,6.913,0.9814
2024-01-09 19:00:00,6.8653,0.9208,7.751,0.8497
2024-01-09 20:00:00,7.4967,0.9062,7.6687,0.9529
2024-01-09 21:00:00,7.3177,0.9324,7.9396,0.9081
2024-01-09 22:00:00,6.899,1.0,7.7171,0.9902
2024-01-09 23:00:00,7.6001,0.8539,8.1627,0.9645
2024-01-10 00:00:00,7.4931,0.9527,8.3811,0.9097
2024-01-10 01:00:00,8.0954,0.9546,8.3864,0.8907
2024-01-10 02:00:00,7.848,0.9255,8.4782,0.9697
2024-01-10 03:00:00,7.8291,1.0,7.5825,0.9429
2024-01-10 04:00:00,7.5583,0.9271,8.4271,0.9004
2024-01-10 05:00:00,7.6454,0.9393,8.3087,0.8312
2024-01-10 06:00:00,7.9003,0.9442,6.7968,0.9367
2024-01-10 07:00:00,5.9139,0.9601,6.0845,0.9555
2024-01-10 08:00:00,6.1926,0.9642,7.8734,0.9311
2024-01-10 09:00:00,7.7673,1.0,7.2566,1.0
2024-01-10 10:00:00,9.6575,0.9144,6.7358,0.9469
2024-01-10 11:00:00,8.7467,0.9264,6.6319,0.971
2024-01-10 12:00:00,5.9965,1.0,7.0743,0.9639
2024-01-10 13:00:00,7.4751,0.9684,6.298,0.9531
2024-01-10 14:00:00,6.3651,0.938,8.0697,1.0
2024-01-10 15:00:00,6.6182,0.9686,7.1557,0.9622
2024-01-10 16:00:00,7.2338,0.8983,6.3238,1.0
2024-01-10 17:00:00,6.791,0.9704,8.0059,0.8612
2024-01-10 18:00:00,7.177,0.9501,6.1628,0.954
2024-01-10 19:00:00,6.7871,0.9786,8.0049,1.0
2024-01-10 20:00:00,7.5227,0.9315,7.762,0.9716
2024-01-10 21:00:00,7.6325,0.9569,6.9471,0.9526
2024-01-10 22:00:00,7.8739,0.9966,6.7438,0.8841
2024-01-10 23:00:00,8.3374,0.9783,8.325,0.9069
2024-01-11 00:00:00,8.3145,0.9184,7.6139,0.9933
2024-01-11 01:00:00,8.4022,0.9358,7.0996,0.9728
2024-01-11 02:00:00,6.0192,0.959,8.0846,1.0
2024-01-11 03:00:00,6.3783,0.8898,5.914,0.902
2024-01-11 04:00:00,8.0915,0.9339,7.3468,0.9045
2024-01-11 05:00:00,8.9446,0.9064,8.7781,0.9713
2024-01-11 06:00:00,8.3684,0.8876,6.4643,1.0
2024-01-11 07:00:00,8.5434,0.8476,8.2528,0.9134
2024-01-11 08:00:00,7.8788,0.9627,6.1028,0.9958
2024-01-11 09:00:00,7.6965,0.8652,7.9834,0.927
2024-01-11 10:00:00,8.3002,0.93,7.9001,0.9876
2024-01-11 11:00:00,7.8695,1.0,8.3884,0.9162
2024-01-11 12:00:00,7.6069,0.9555,7.9084,0.9879
2024-01-11 13:00:00,7.0684,0.9497,7.5728,0.9462
2024-01-11 14:00:00,8.4659,0.8602,7.061,0.9768
2024-01-11 15:00:00,8.3734,0.9614,7.7932,1.0
2024-01-11 16:00:00,7.6359,0.9088,8.1459,0.9799
2024-01-11 17:00:00,7.2469,0.9831,7.8629,0.9459
2024-01-11 18:00:00,7.2124,0.9999,6.8586,0.8874
2024-01-11 19:00:00,8.3108,0.8793,8.4936,0.9383
2024-01-11 20:00:00,7.1244,0.9191,6.5702,0.93
2024-01-11 21:00:00,8.2837,0.9406,6.6824,0.9195
2024-01-11 22:00:00,7.2514,0.8542,7.5563,0.9361
2024-01-11 23:00:00,8.5203,1.0,6.2124,0.9497
2024-01-12 00:00:00,7.2255,0.9469,6.2941,0.9325
2024-01-12 01:00:00,8.9194,0.9272,8.3373,0.8417
2024-01-12 02:00:00,7.2785,0.9635,10.2537,0.8857
2024-01-12 03:00:00,7.1887,0.8531,7.9169,0.8963
2024-01-12 04:00:00,7.1975,0.9872,7.1278,0.9746
2024-01-12 05:00:00,8.7738,1.0,7.4299,1.0
2024-01-12 06:00:00,8.1243,0.9069,7.6992,1.0
2024-01-12 07:00:00,7.3267,0.9654,7.7328,0.8649
2024-01-12 08:00:00,7.5917,0.9994,7.1958,0.8304
2024-01-12 09:00:00,6.7279,1.0,6.199,0.8771
2024-01-12 10:00:00,8.3015,1.0,6.8221,0.9017
2024-01-12 11:00:00,8.3136,0.9909,9.2054,0.9695
2024-01-12 12:00:00,8.5886,0.9142,7.1624,0.8746
2024-01-12 13:00:00,7.3155,0.9291,7.0837,0.956
2024-01-12 14:00:00,7.4311,0.9437,8.4472,0.9813
2024-01-12 15:00:00,7.9059,0.9017,8.2965,1.0
2024-01-12 16:00:00,6.8573,0.9437,7.871,0.9304
2024-01-12 17:00:00,6.9649,0.9884,7.8044,0.9701
2024-01-12 18:00:00,7.4594,0.9158,8.2509,0.8644
2024-01-12 19:00:00,7.8556,0.8554,6.8953,0.9298
2024-01-12 20:00:00,6.5616,0.9309,8.2492,0.9523
2024-01-12 21:00:00,6.4751,0.9847,7.7881,1.0
2024-01-12 22:00:00,9.591,0.8852,9.2668,0.9685
2024-01-12 23:00:00,7.9704,0.986,7.1954,0.9597
2024-01-13 00:00:00,8.6858,0.9189,7.4465,0.9153
2024-01-13 01:00:00,7.5411,1.0,7.6269,0.943
2024-01-13 02:00:00,7.2864,0.9323,8.0943,0.989
2024-01-13 03:00:00,6.3916,0.914,7.3895,0.9753
2024-01-13 04:00:00,8.0681,0.9091,8.5129,0.966
2024-01-13 05:00:00,7.0434,1.0,8.0507,0.9368
2024-01-13 06:00:00,7.266,1.0,6.6613,0.9811
2024-01-13 07:00:00,8.8627,0.9486,8.5569,0.8836
2024-01-13 08:00:00,6.5374,0.9626,6.5654,0.9574
2024-01-13 09:00:00,7.7386,0.9653,9.0752,0.958
2024-01-13 10:00:00,7.0694,0.9405,7.5262,1.0
2024-01-13 11:00:00,8.2221,0.8871,8.1697,0.8946
2024-01-13 12:00:00,8.4704,0.9125,5.3531,0.8701
2024-01-13 13:00:00,7.3267,0.9855,8.7346,0.8651
2024-01-13 14:00:00,6.2293,0.9174,7.5904,0.9921
2024-01-13 15:00:00,6.937,0.9649,7.8479,0.94
2024-01-13 16:00:00,5.7788,0.9615,8.1964,0.8413
2024-01-13 17:00:00,7.515,0.9257,6.0513,0.9946
2024-01-13 18:00:00,7.361,0.9763,8.5929,0.9053
2024-01-13 19:00:00,5.9258,0.9284,7.4219,0.9435
2024-01-13 20:00:00,7.4065,0.9256,7.8162,0.955
2024-01-13 21:00:00,6.7823,0.8656,7.8536,0.9212
2024-01-13 22:00:00,7.5117,1.0,7.3686,0.9555
2024-01-13 23:00:00,7.4896,1.0,7.499,0.8809
2024-01-14 00:00:00,6.7539,0.957,6.2569,0.9335
2024-01-14 01:00:00,7.9028,0.9445,7.5103,0.9654
2024-01-14 02:00:00,8.2568,0.9529,7.5892,0.9914
2024-01-14 03:00:00,8.6561,0.9705,8.4013,0.9828
2024-01-14 04:00:00,7.5394,0.9192,7.4469,1.0
2024-01-14 05:00:00,6.8229,0.8563,8.2805,1.0
2024-01-14 06:00:00,7.243,0.9218,7.3544,0.9872
2024-01-14 07:00:00,7.6858,0.9199,8.4867,0.9519
2024-01-14 08:00:00,8.9108,0.898,7.4119,0.8499
2024-01-14 09:00:00,8.9984,0.9542,7.1681,0.9777
2024-01-14 10:00:00,7.1626,0.9113,7.6615,1.0
2024-01-14 11:00:00,8.4742,0.9931,7.3208,0.9374
2024-01-14 12:00:00,7.8453,0.9746,8.0483,1.0
2024-01-14 13:00:00,6.7581,0.9585,6.6954,0.9707
2024-01-14 14:00:00,6.816,1.0,9.8262,0.8654
2024-01-14 15:00:00,8.5983,0.977,7.2567,0.9388
2024-01-14 16:00:00,7.8774,1.0,5.7745,0.935
2024-01-14 17:00:00,7.5224,0.9472,6.5147,0.9519
2024-01-14 18:00:00,7.2049,0.8904,7.648,0.857
2024-01-14 19:00:00,7.2904,0.9665,7.9082,0.9281
2024-01-14 20:00:00,7.9993,0.9672,7.5707,0.965
2024-01-14 21:00:00,6.7671,0.9986,8.3755,0.9848
2024-01-14 22:00:00,7.268,0.8811,7.9182,0.9998
2024-01-14 23:00:00,8.1692,1.0,7.364,0.9228
2024-01-15 00:00:00,7.2461,0.8546,7.7429,0.9157
2024-01-15 01:00:00,7.2946,0.9119,8.0612,1.0
2024-01-15 02:00:00,6.5569,0.9926,8.1534,0.9201
2024-01-15 03:00:00,7.7204,0.9144,7.8847,0.9333
2024-01-15 04:00:00,7.7088,0.943,8.2946,1.0
2024-01-15 05:00:00,8.0395,0.9478,6.8465,1.0
2024-01-15 06:00:00,7.184,0.9505,8.4684,0.9148
2024-01-15 07:00:00,6.6802,0.9589,7.5506,0.8947
2024-01-15 08:00:00,6.8383,0.9228,7.2717,0.9792
2024-01-15 09:00:00,6.8046,0.8255,7.3282,0.9085
2024-01-15 10:00:00,7.0783,0.9086,7.1911,0.9181
2024-01-15 11:00:00,6.67,0.973,8.1982,0.9238
2024-01-15 12:00:00,7.5656,0.9726,7.1929,0.976
2024-01-15 13:00:00,7.6607,0.922,7.4412,0.9029
2024-01-15 14:00:00,8.872,1.0,7.8543,0.9752
2024-01-15 15:00:00,7.6695,0.953,6.9611,0.9122
2024-01-15 16:00:00,7.6777,0.9691,7.4922,0.9621
2024-01-15 17:00:00,7.0802,0.9532,7.0032,0.9913
2024-01-15 18:00:00,7.8265,0.968,8.1854,0.8417
2024-01-15 19:00:00,8.1234,1.0,7.8476,0.9395
2024-01-15 20:00:00,7.0474,0.9037,7.512,0.8624
2024-01-15 21:00:00,8.2626,0.958,7.2795,1.0
2024-01-15 22:00:00,6.4038,1.0,8.1222,0.8976
2024-01-15 23:00:00,7.5964,0.971,8.1605,0.9298
2024-01-16 00:00:00,6.0459,0.9487,7.8144,1.0
2024-01-16 01:00:00,6.7624,0.9343,8.1327,0.9462
2024-01-16 02:00:00,6.8978,0.9505,7.7698,0.9806
2024-01-16 03:00:00,8.3787,0.9256,7.9093,1.0
2024-01-16 04:00:00,8.2124,1.0,8.0951,1.0
2024-01-16 05:00:00,7.0762,0.9418,7.3881,0.9971
2024-01-16 06:00:00,7.4659,0.9866,8.3652,0.9135
2024-01-16 07:00:00,6.9388,0.8945,6.8672,0.8917
2024-01-16 08:00:00,7.2283,0.9069,8.6069,0.9592
2024-01-16 09:00:00,8.4705,0.9772,8.05,0.9838
2024-01-16 10:00:00,7.0414,0.9189,7.8323,0.9438
2024-01-16 11:00:00,6.4263,0.9693,7.4493,0.9342
2024-01-16 12:00:00,8.2936,0.8937,8.1037,0.9901
2024-01-16 13:00:00,8.4259,0.9628,7.3076,1.0
2024-01-16 14:00:00,7.1459,0.9137,7.0296,0.8935
2024-01-16 15:00:00,7.9369,0.9015,7.468,0.8507
2024-01-16 16:00:00,7.3833,0.9076,6.8194,1.0
2024-01-16 17:00:00,8.7395,0.9457,7.2296,0.9475
2024-01-16 18:00:00,7.4384,0.9641,8.2705,0.905
2024-01-16 19:00:00,7.2897,1.0,6.7771,0.8927
2024-01-16 20:00:00,5.979,0.9746,9.0875,0.9125
2024-01-16 21:00:00,7.7117,1.0,9.325,1.0
2024-01-16 22:00:00,7.4625,0.9812,8.6772,0.9028
2024-01-16 23:00:00,6.4062,0.8886,4.8858,0.8949
2024-01-17 00:00:00,7.4888,1.0,6.976,0.9547
2024-01-17 01:00:00,8.0313,1.0,8.5194,0.9124
2024-01-17 02:00:00,8.295,0.9237,6.7074,1.0
2024-01-17 03:00:00,6.568,0.9412,7.8702,0.9368
2024-01-17 04:00:00,8.855,0.9298,6.7914,0.9911
2024-01-17 05:00:00,8.1635,0.9647,7.4956,0.937
2024-01-17 06:00:00,7.1917,0.9276,7.318,0.9244
2024-01-17 07:00:00,7.0629,0.9361,9.4327,0.932
2024-01-17 08:00:00,7.5539,0.9863,7.8657,1.0
2024-01-17 09:00:00,7.2734,0.9532,8.3429,0.8755
2024-01-17 10:00:00,7.8396,0.961,7.2071,0.9269
2024-01-17 11:00:00,8.0037,0.9767,7.7893,0.9518
2024-01-17 12:00:00,7.4246,0.9673,8.2049,0.908
2024-01-17 13:00:00,7.5515,0.8796,8.1845,0.9986
2024-01-17 14:00:00,9.0552,0.9209,7.4557,0.9123
2024-01-17 15:00:00,6.853,0.972,8.171,0.8747
2024-01-17 16:00:00,8.3651,0.9383,7.7123,0.8701
2024-01-17 17:00:00,7.1952,1.0,7.3547,0.9372
2024-01-17 18:00:00,8.559,0.917,8.4302,1.0
2024-01-17 19:00:00,6.9263,0.9672,6.1986,0.9401
2024-01-17 20:00:00,8.784,0.8808,7.6118,0.9308
2024-01-17 21:00:00,6.8303,0.9862,6.9887,0.9811
2024-01-17 22:00:00,7.7202,0.9057,7.3721,0.9566
2024-01-17 23:00:00,7.9965,0.8644,6.7928,0.8466
2024-01-18 00:00:00,7.7911,0.9135,8.2938,0.921
2024-01-18 01:00:00,7.9455,1.0,7.4927,1.0
2024-01-18 02:00:00,7.3945,0.9706,7.5191,0.9547
2024-01-18 03:00:00,7.2214,0.8854,7.4652,0.934
2024-01-18 04:00:00,6.9987,1.0,7.7428,1.0
2024-01-18 05:00:00,8.0766,1.0,7.4406,0.9958
2024-01-18 06:00:00,7.9594,1.0,7.3207,0.9365
2024-01-18 07:00:00,7.5128,0.9758,6.8625,1.0
2024-01-18 08:00:00,7.7333,0.9458,7.9759,0.9322
2024-01-18 09:00:00,8.1916,0.9754,8.7689,0.9877
2024-01-18 10:00:00,6.8578,0.8753,7.4216,0.8735
2024-01-18 11:00:00,6.8615,0.9529,7.8282,0.8455
2024-01-18 12:00:00,8.9443,0.8912,8.1188,0.9922
2024-01-18 13:00:00,7.3163,0.9769,8.8158,0.8725
2024-01-18 14:00:00,8.0937,0.8954,7.5688,0.9514
2024-01-18 15:00:00,8.2628,0.9475,7.221,0.8873
2024-01-18 16:00:00,8.9998,0.9895,7.244,0.9569
2024-01-18 17:00:00,6.2451,0.9424,6.3539,0.8967
2024-01-18 18:00:00,6.904,0.9952,7.4535,0.9717
2024-01-18 19:00:00,8.2677,0.9294,6.6089,0.9494
