HourOfYear,deploy_factor_RegU_ERCOT,deploy_factor_RegD_ERCOT,deploy_factor_Spin_ERCOT,deploy_factor_NSpin_ERCOT,deploy_factor_ECRS_ERCOT
165,0.6495,0.7771,0.8895,0.9074,0.9490
166,0.6692,0.6931,0.9089,0.9109,0.9214
167,0.7032,0.6954,0.8876,0.9094,0.9136
168,0.7118,0.7504,0.8771,0.9259,0.9142
169,0.7328,0.6858,0.8709,0.9308,0.9357
170,0.7668,0.7265,0.8761,0.8910,0.9314
171,0.7687,0.6826,0.8728,0.8633,0.8856
172,0.7782,0.6701,0.8768,0.8747,0.9013
173,0.8233,0.6614,0.8546,0.8986,0.8911
174,0.8839,0.6560,0.8685,0.8636,0.8791
175,0.8378,0.6909,0.9025,0.8721,0.9305
176,0.7758,0.6616,0.8802,0.8823,0.8870
177,0.6730,0.7785,0.9003,0.8930,0.8639
178,0.7432,0.7574,0.9571,0.8953,0.8848
179,0.7146,0.7807,0.9061,0.8628,0.8901
180,0.7268,0.7936,0.9008,0.8691,0.8753
181,0.7428,0.7636,0.9056,0.8752,0.8380
182,0.7602,0.7549,0.8977,0.8703,0.8278
183,0.7384,0.7302,0.8642,0.8778,0.8502
184,0.7564,0.7362,0.8764,0.8997,0.8852
185,0.7619,0.6862,0.8641,0.8614,0.8950
186,0.7256,0.7099,0.8904,0.8885,0.9036
187,0.7741,0.7252,0.9518,0.9082,0.9738
188,0.7802,0.7412,0.9412,0.9567,0.9777
189,0.7196,0.7386,0.9751,0.9945,0.9810
190,0.7028,0.6874,0.9244,1.0000,0.9117
191,0.6891,0.6637,0.9243,0.9880,0.9006
192,0.6725,0.6895,0.9301,0.9933,0.8764
193,0.6990,0.6800,0.8894,0.9796,0.9837
194,0.7423,0.6507,0.8538,0.9928,0.9194
195,0.6964,0.6996,0.8599,0.9737,0.9446
196,0.6853,0.6822,0.8119,0.9267,0.9604
197,0.7268,0.6709,0.8640,0.9345,0.9563
198,0.6928,0.6720,0.8581,0.8886,0.9468
199,0.6706,0.6922,0.8811,0.9022,0.9769
200,0.6021,0.6980,0.9028,0.9631,0.9715
201,0.6495,0.7410,0.9012,0.9107,0.9579
202,0.6674,0.7426,0.8621,0.9138,0.9256
203,0.6635,0.7486,0.8332,0.9026,0.9201
204,0.6181,0.7107,0.8533,0.9458,0.8703
205,0.6249,0.6601,0.8262,0.9294,0.8431
206,0.5775,0.6811,0.8210,0.8791,0.8820
207,0.5989,0.7435,0.8274,0.8721,0.9470
208,0.6854,0.7619,0.8054,0.9023,0.8378
209,0.6952,0.7874,0.8465,0.9410,0.8637
210,0.7373,0.7726,0.8558,0.9055,0.8782
211,0.7725,0.7884,0.9014,0.8989,0.8730
212,0.7388,0.7985,0.9537,0.9021,0.8814
213,0.7508,0.7656,0.9027,0.8924,0.8772
214,0.6485,0.7391,0.8372,0.8868,0.8793
215,0.6693,0.7133,0.8452,0.9046,0.9067
216,0.7120,0.6915,0.8598,0.9435,0.9435
217,0.7267,0.6354,0.8269,0.9359,0.9717
218,0.7088,0.6240,0.8557,0.9294,1.0000
219,0.7487,0.6162,0.8569,0.8657,0.9569
220,0.7758,0.6292,0.9128,0.9103,0.9476
221,0.7573,0.6968,0.8866,0.9317,0.9489
222,0.7943,0.7096,0.8426,0.8778,0.9731
223,0.7906,0.7445,0.8026,0.8729,0.9327
224,0.7168,0.6709,0.7973,0.8288,0.8924
225,0.7237,0.7144,0.8520,0.8790,0.8856
226,0.6946,0.7320,0.8755,0.8655,0.8493
227,0.7123,0.7485,0.8808,0.8659,0.9129
228,0.5884,0.7319,0.8734,0.8474,0.9221
229,0.6663,0.7954,0.8891,0.8536,0.9518
230,0.7110,0.7937,0.8688,0.8034,0.9742
231,0.7616,0.7354,0.9139,0.8713,0.9113
232,0.7476,0.7154,0.8688,0.9224,0.8775
233,0.7755,0.7454,0.8933,0.9030,0.8820
234,0.7658,0.7450,0.8838,0.8432,0.9004
235,0.7184,0.7424,0.9326,0.8324,0.9371
236,0.6873,0.7669,0.8984,0.8270,0.9173
237,0.6786,0.7582,0.8895,0.8437,0.8761
238,0.7250,0.7964,0.8556,0.8373,0.8783
239,0.7600,0.8347,0.8654,0.8201,0.8857
240,0.7251,0.7893,0.9026,0.8234,0.8461
241,0.7434,0.8162,0.8962,0.8418,0.8722
242,0.7343,0.7488,0.9142,0.7942,0.8557
243,0.6952,0.7368,0.8736,0.8540,0.8611
244,0.6569,0.7275,0.9409,0.8990,0.9252
245,0.6588,0.7447,0.9275,0.9204,0.9580
246,0.6990,0.7234,0.8885,0.9326,0.9535
247,0.6824,0.7173,0.8588,0.8726,0.9660
248,0.7126,0.7532,0.8554,0.8632,0.9669
249,0.7202,0.8015,0.8206,0.8620,0.9527
250,0.6611,0.8193,0.8265,0.8589,1.0000
251,0.7367,0.8414,0.8655,0.8824,1.0000
252,0.7683,0.7794,0.8632,0.8848,1.0000
253,0.7062,0.7078,0.8948,0.9027,1.0000
254,0.7181,0.7461,0.9281,0.9749,0.9634
255,0.7633,0.7083,0.8837,0.9501,0.9444
256,0.7629,0.6882,0.8700,0.9354,0.9149
257,0.7351,0.7045,0.8385,0.9381,0.8943
258,0.7232,0.7182,0.8799,0.8947,0.8469
259,0.7097,0.7339,0.8822,0.9380,0.8356
260,0.7028,0.7116,0.9347,0.9783,0.8387
261,0.7397,0.7004,0.9416,0.9341,0.8049
262,0.7466,0.7214,0.9276,0.8959,0.8017
263,0.7075,0.6892,0.9503,0.8623,0.7735
264,0.6967,0.6789,0.9827,0.8789,0.8305
265,0.6842,0.7355,0.9520,0.9067,0.8672
266,0.6974,0.7573,0.9245,0.8871,0.8415
267,0.6607,0.7314,0.9117,0.9095,0.8493
268,0.6192,0.6681,0.8731,0.8665,0.8845
269,0.6063,0.6578,0.8884,0.8913,0.8512
270,0.5751,0.6876,0.8923,0.8973,0.8389
271,0.5519,0.6947,0.8683,0.8417,0.8987
272,0.6256,0.6993,0.9184,0.9219,0.8447
273,0.6379,0.7939,0.9106,0.8845,0.8518
274,0.6641,0.8036,0.9492,0.8716,0.9034
275,0.6741,0.8215,0.9385,0.8753,0.9261
276,0.6837,0.8102,0.9163,0.8729,0.8834
277,0.6973,0.8282,0.9033,0.8639,0.9572
278,0.7175,0.8274,0.8837,0.9127,0.9585
279,0.7259,0.8676,0.9133,0.8827,0.9965
280,0.8131,0.7844,0.9474,0.8461,1.0000
281,0.7538,0.7421,0.8946,0.8777,0.9814
282,0.7065,0.6891,0.8982,0.8482,0.9598
283,0.6868,0.6778,0.9074,0.8116,0.9486
284,0.6457,0.6867,0.8904,0.8664,0.8862
285,0.6481,0.7364,0.8806,0.8715,0.8848
286,0.6278,0.8008,0.9096,0.8795,0.8837
287,0.6465,0.7824,0.8769,0.9212,0.8386
288,0.6609,0.7683,0.8288,0.9182,0.8743
289,0.6261,0.7638,0.8689,0.9479,0.8349
290,0.6680,0.7473,0.8617,0.9365,0.8364
291,0.6484,0.7145,0.9084,0.9517,0.8758
292,0.6286,0.7103,0.8994,0.8962,0.8967
293,0.6591,0.6877,0.9155,0.9213,0.9499
294,0.6682,0.6837,0.9295,0.8984,0.9219
295,0.6753,0.6913,0.9167,0.9031,0.9071
296,0.6477,0.6970,0.8981,0.9055,0.8985
297,0.6222,0.7000,0.8719,0.9369,0.9185
298,0.6661,0.6843,0.8975,0.8889,0.9115
299,0.6712,0.7120,0.9631,0.8750,0.9019
300,0.6852,0.7440,0.9614,0.8541,0.9247
301,0.6936,0.6990,0.9584,0.8264,0.9594
302,0.7176,0.6993,0.9155,0.9128,0.9535
303,0.7118,0.7114,0.9339,0.9063,0.9403
304,0.7014,0.7173,0.9604,0.9082,0.9811
305,0.7250,0.7232,0.9367,0.8696,0.9423
306,0.7939,0.6609,0.9120,0.9229,0.9456
307,0.7317,0.7278,0.9000,0.8985,0.9175
308,0.7063,0.7192,0.8797,0.8899,0.8946
309,0.7147,0.7121,0.9362,0.8753,0.9073
310,0.6389,0.7354,0.9843,0.9307,0.9187
311,0.6895,0.6767,0.9791,0.9354,0.8499
312,0.7183,0.6749,0.9719,0.9419,0.8234
313,0.7153,0.6680,0.9294,0.8841,0.7915
314,0.7274,0.7158,0.9283,0.8766,0.8583
315,0.7715,0.7154,0.9008,0.9232,0.8365
316,0.7653,0.6862,0.9042,0.9048,0.7943
317,0.7086,0.6915,0.9576,0.9049,0.8478
318,0.7387,0.6926,0.9273,0.8673,0.8859
319,0.7610,0.6631,0.9200,0.8519,0.8912
320,0.7544,0.6672,0.8936,0.8913,0.8645
321,0.8295,0.7142,0.8873,0.8805,0.8175
322,0.7972,0.7297,0.8944,0.9286,0.7625
323,0.7158,0.7708,0.8860,0.9219,0.8571
324,0.7209,0.7692,0.9154,0.9046,0.8771
325,0.7212,0.7636,0.8898,0.8727,0.8864
326,0.7907,0.6869,0.8823,0.8935,0.8806
327,0.7824,0.7141,0.8886,0.9407,0.9091
328,0.7561,0.6649,0.8992,0.9307,0.8779
329,0.7018,0.7251,0.9511,0.9296,0.9020
330,0.7616,0.7207,0.9757,0.9187,0.9465
331,0.6719,0.7275,0.9019,0.9289,0.9379
332,0.6938,0.7108,0.8645,0.9402,0.9343
333,0.6282,0.6670,0.8394,0.9288,0.9339
334,0.6344,0.6909,0.8618,0.8854,0.9407
335,0.6371,0.6372,0.8709,0.9214,0.9615
336,0.6282,0.6378,0.9543,0.8983,0.8874
337,0.6318,0.6330,0.9504,0.9338,0.9075
338,0.6517,0.6246,0.9214,0.8916,0.8305
339,0.6470,0.6807,0.9132,0.9377,0.8691
340,0.6549,0.6838,0.9062,0.9185,0.8180
341,0.6417,0.6691,0.8998,0.8989,0.7943
342,0.6466,0.6353,0.8638,0.8743,0.8250
343,0.6909,0.6698,0.8456,0.8879,0.8072
344,0.6775,0.7128,0.8842,0.8603,0.8036
345,0.7346,0.7147,0.8949,0.9065,0.8371
346,0.7593,0.7292,0.8635,0.8878,0.8477
347,0.7735,0.7603,0.8846,0.9120,0.8167
348,0.7574,0.7513,0.8930,0.8649,0.8080
349,0.7129,0.7914,0.9305,0.9261,0.7685
350,0.7134,0.8318,0.9783,0.9284,0.8111
351,0.7690,0.8191,0.9049,0.9322,0.8333
352,0.7262,0.7516,0.8971,0.9297,0.8483
353,0.7302,0.7661,0.8995,0.9679,0.8854
354,0.6932,0.7629,0.9030,0.9688,0.8824
355,0.6813,0.7035,0.9719,0.9501,0.9212
356,0.6954,0.6913,0.8943,0.9412,0.9097
357,0.7086,0.7074,0.8954,0.8859,0.9318
358,0.7106,0.7078,0.9136,0.9262,0.8683
359,0.7285,0.6834,0.9101,0.9022,0.8653
360,0.7373,0.6641,0.9103,0.9054,0.8640
361,0.7181,0.6455,0.9137,0.9840,0.9123
362,0.7382,0.6550,0.9216,0.8968,0.8954
363,0.6975,0.6634,0.9227,0.9228,0.8413
364,0.6894,0.7441,0.8915,0.9160,0.8611
365,0.6763,0.7235,0.8902,0.8715,0.8058
366,0.6940,0.6291,0.9031,0.8699,0.8258
367,0.6161,0.6158,0.8784,0.8597,0.8436
368,0.6214,0.6113,0.8757,0.8508,0.8396
369,0.6541,0.6371,0.8283,0.8760,0.8221
370,0.7466,0.6301,0.8519,0.8682,0.8395
371,0.7379,0.7075,0.8458,0.8796,0.8560
372,0.6934,0.7041,0.8796,0.8883,0.8647
373,0.7174,0.6831,0.8687,0.8587,0.8793
374,0.6908,0.6704,0.9215,0.8602,0.9090
375,0.6476,0.6707,0.9186,0.8690,0.8360
376,0.6653,0.7036,0.9326,0.8835,0.8599
377,0.7171,0.6910,0.9141,0.8949,0.8830
378,0.6866,0.7028,0.9247,0.9091,0.9208
379,0.6825,0.7095,0.9344,0.9133,0.9011
380,0.7095,0.6656,0.8927,0.9257,0.9091
381,0.7415,0.6860,0.8585,0.9135,0.8682
382,0.7798,0.7044,0.8221,0.8729,0.8978
383,0.7388,0.7209,0.8687,0.8693,0.8977
384,0.7260,0.7049,0.8559,0.8637,0.8535
385,0.6479,0.6970,0.8801,0.8469,0.8834
386,0.6463,0.6802,0.8880,0.8504,0.9181
387,0.6233,0.7122,0.8738,0.8477,0.9182
388,0.6450,0.6675,0.8519,0.8545,0.9761
389,0.6868,0.6791,0.8755,0.8477,0.9681
390,0.7127,0.7617,0.8726,0.8372,0.9403
391,0.6712,0.7514,0.8505,0.8183,0.9321
392,0.6644,0.7914,0.8479,0.8556,0.8768
393,0.6876,0.7581,0.8131,0.8873,0.8807
394,0.6946,0.7530,0.8753,0.9087,0.8824
395,0.6723,0.7159,0.8989,0.9454,0.8761
396,0.6910,0.6611,0.9188,0.8912,0.8935
397,0.7185,0.6484,0.9251,0.9179,0.8884
398,0.7081,0.6366,0.9573,0.9184,0.9097
399,0.6733,0.6287,0.9402,0.8813,0.9072
400,0.6918,0.6622,0.9069,0.8878,0.9062
401,0.6649,0.6594,0.8848,0.8925,0.8809
402,0.7167,0.6488,0.9125,0.8954,0.8987
403,0.6251,0.6461,0.8713,0.9056,0.8964
404,0.6309,0.6420,0.9108,0.8904,0.9184
405,0.6166,0.6449,0.8975,0.9079,0.8607
406,0.6589,0.7054,0.9252,0.9057,0.9080
407,0.7158,0.7372,0.9209,0.9568,0.9462
408,0.6905,0.6416,0.8991,0.9848,0.9138
409,0.6613,0.6388,0.9411,0.9521,0.8648
410,0.6914,0.6788,0.9296,0.9215,0.8740
411,0.6336,0.6885,0.8877,0.8894,0.8582
412,0.6566,0.6721,0.8627,0.8763,0.8510
413,0.6651,0.6226,0.8793,0.8556,0.8762
414,0.6656,0.6668,0.8583,0.8492,0.8857
415,0.6453,0.6855,0.8631,0.8053,0.8842
416,0.5871,0.6187,0.8741,0.8490,0.8892
417,0.6446,0.5423,0.8712,0.7995,0.8579
418,0.6779,0.5921,0.9321,0.7986,0.8715
419,0.6809,0.6454,0.9520,0.8231,0.8806
420,0.6928,0.6552,0.9081,0.8439,0.8843
421,0.6894,0.7274,0.9169,0.9011,0.9360
422,0.7245,0.7354,0.9477,0.9338,0.9705
423,0.7124,0.7190,0.9123,0.9534,0.9884
424,0.7086,0.7327,0.8694,0.9620,0.9642
425,0.7116,0.6842,0.8999,0.9289,0.9586
426,0.6962,0.6664,0.8921,0.9727,0.9943
427,0.6939,0.6319,0.8774,0.9564,0.9696
428,0.6909,0.6729,0.9006,0.8923,0.9278
429,0.6701,0.7097,0.8967,0.8386,0.9264
430,0.6450,0.7269,0.9101,0.8575,0.9375
431,0.6506,0.7287,0.9613,0.8605,0.9369
432,0.6515,0.6531,0.9871,0.8054,0.9405
433,0.6976,0.7140,0.9965,0.8586,0.9661
434,0.6660,0.6154,1.0000,0.8911,1.0000
435,0.6550,0.6367,1.0000,0.9080,1.0000
436,0.6711,0.6306,1.0000,0.8865,1.0000
437,0.6908,0.6339,0.9765,0.9240,0.9779
438,0.6882,0.6293,0.9465,0.9470,1.0000
439,0.7181,0.6457,0.9548,0.8866,0.9948
440,0.7106,0.7048,0.8995,0.9013,0.9706
441,0.6793,0.7045,0.8868,0.9390,0.9189
442,0.6826,0.7040,0.8832,0.9040,0.9530
443,0.7113,0.6853,0.9115,0.9148,0.9200
444,0.7412,0.6642,0.9047,0.9540,0.9653
445,0.7635,0.6916,0.9306,0.9573,0.9327
446,0.7559,0.6972,0.9207,0.9417,0.9515
447,0.7522,0.7183,0.8598,0.9450,0.9223
448,0.7603,0.7551,0.8962,0.9737,0.8861
449,0.6926,0.7199,0.8805,0.9399,0.9205
450,0.6703,0.7766,0.8498,0.9538,0.9161
451,0.6869,0.7653,0.8855,0.9589,0.8713
452,0.6569,0.7496,0.8328,0.9454,0.8924
453,0.7049,0.7525,0.8522,0.9085,0.8572
454,0.7394,0.7598,0.8702,0.8924,0.8741
455,0.7126,0.7637,0.9054,0.9293,0.8917
456,0.6796,0.8057,0.8596,0.9524,0.8874
457,0.6984,0.7578,0.8835,0.9223,0.9256
458,0.6562,0.6829,0.9218,0.9111,0.9379
459,0.6706,0.6567,0.8974,0.8930,0.8996
460,0.7715,0.6574,0.8816,0.8983,0.8970
461,0.7220,0.6225,0.9083,0.8829,0.9124
462,0.6910,0.6240,0.9193,0.8774,0.8980
463,0.6724,0.6001,0.8977,0.9275,0.8962
464,0.6486,0.5715,0.9062,0.9204,0.9013
465,0.6318,0.6215,0.9381,0.8627,0.9135
466,0.7043,0.6729,0.8950,0.8125,0.9607
467,0.7054,0.6628,0.8876,0.8597,0.8641
468,0.7345,0.7087,0.9430,0.8997,0.8848
469,0.7668,0.7388,0.9150,0.9497,0.8837
470,0.6918,0.6976,0.9029,0.9500,0.8829
471,0.6680,0.6992,0.9331,0.8929,0.8890
472,0.6449,0.6762,0.8778,0.8593,0.9231
473,0.5694,0.6912,0.8711,0.9081,0.8931
474,0.6126,0.6831,0.8976,0.9342,0.9588
475,0.6422,0.7458,0.8694,0.9119,0.9266
476,0.6991,0.6872,0.8876,0.9137,0.9011
477,0.7151,0.6599,0.8769,0.8815,0.9094
478,0.6248,0.6751,0.8399,0.8543,0.9131
479,0.6181,0.6860,0.8091,0.8272,0.9433
480,0.6153,0.6592,0.7795,0.8460,0.9545
481,0.6512,0.6449,0.8229,0.8585,0.9306
482,0.5736,0.6461,0.8443,0.8631,0.9137
483,0.6198,0.6259,0.8318,0.8833,0.8777
484,0.6639,0.6226,0.8646,0.8582,0.9492
485,0.6636,0.6361,0.8768,0.8844,0.9759
486,0.6451,0.6359,0.9041,0.8994,0.9371
487,0.6965,0.6261,0.9174,0.9156,0.8986
488,0.6512,0.6538,0.9272,0.9176,0.8896
489,0.7002,0.6267,0.9570,0.8853,0.8947
490,0.7305,0.6521,0.9470,0.8833,0.9124
491,0.7424,0.6570,0.9368,0.9213,0.8992
492,0.7935,0.6180,0.9304,0.9266,0.9081
493,0.7733,0.5984,0.9558,0.9106,0.9282
494,0.7777,0.5317,0.9909,0.9249,0.8620
495,0.7588,0.5991,0.9412,0.9114,0.9436
496,0.7351,0.6117,0.9274,0.8873,0.9309
497,0.7449,0.6422,0.9847,0.8650,0.9640
498,0.7248,0.6815,0.9492,0.8700,1.0000
499,0.7214,0.6524,0.8714,0.8472,0.9616
500,0.7189,0.6444,0.8423,0.7927,0.9737
501,0.7012,0.6388,0.8401,0.7983,0.9572
502,0.7254,0.6857,0.8203,0.8391,0.9456
503,0.6607,0.7056,0.8702,0.8271,0.9192
504,0.6463,0.6881,0.9092,0.8278,0.9361
505,0.6258,0.7416,0.8829,0.7899,0.9118
506,0.6525,0.6739,0.8888,0.8297,0.9317
507,0.6551,0.7008,0.8499,0.8677,0.8967
508,0.6178,0.6767,0.8864,0.8934,0.8890
509,0.6517,0.6499,0.9109,0.9018,0.8826
510,0.6701,0.7197,0.8753,0.8951,0.8400
511,0.6779,0.7908,0.9124,0.9003,0.8847
