Unit Code,RegAwardDuration_Mean,RegAwardDuration_Median,RegAwardDuration_Max,RegAwardDuration_Std,SpinAwardDuration_Mean,SpinAwardDuration_Median,SpinAwardDuration_Max,SpinAwardDuration_Std,SuppAwardDuration_Mean,SuppAwardDuration_Median,SuppAwardDuration_Max,SuppAwardDuration_Std,STRAwardDuration_Mean,STRAwardDuration_Median,STRAwardDuration_Max,STRAwardDuration_Std
A10834,2.3181818181818183,2.0,13.0,2.022394341096906,1.4545454545454546,1.0,2.0,0.5222329678670935,0.0,0.0,0.0,,2.0476190476190474,2.0,10.0,1.6042799898129643
A10995,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,3.0,3.0,3.0,0.0
A10996,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11047,2.8333333333333335,2.0,11.0,2.74009672845701,0.0,0.0,0.0,,4.373390557939914,3.0,27.0,4.535546873015894,2.883720930232558,2.0,11.0,2.727368366389122
A11219,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11251,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11255,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11256,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11271,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11272,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11273,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,1.0,
A11274,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11304,2.160839160839161,1.0,13.0,2.278652769901455,1.2,1.0,2.0,0.4472135954999579,0.0,0.0,0.0,,1.5606060606060606,1.0,5.0,0.9840678221249604
A11312,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11313,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11314,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11315,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11316,1.6363636363636365,2.0,3.0,0.6741998624632421,1.5,1.0,3.0,0.7071067811865476,0.0,0.0,0.0,,3.282051282051282,3.0,15.0,2.7236654670220264
A11318,3.9324324324324325,3.0,17.0,3.8475435361403476,3.782608695652174,2.0,19.0,4.481631862903218,0.0,0.0,0.0,,4.049586776859504,3.0,22.0,4.090336660287312
A11319,2.076923076923077,1.5,8.0,1.5946743947713484,1.0,1.0,1.0,,0.0,0.0,0.0,,1.684782608695652,1.0,9.0,1.3336667444263295
A11356,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11544,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,7.228187919463087,5.0,49.0,8.456662818068468
A11545,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,6.458333333333333,3.0,59.0,8.8571408288438
A11550,0.0,0.0,0.0,,0.0,0.0,0.0,,54.231884057971016,16.0,408.0,85.44815162141175,4.669172932330827,4.0,10.0,2.770848804726763
A11556,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11607,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11617,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11627,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11628,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11663,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11823,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11870,0.0,0.0,0.0,,3.0737704918032787,2.5,12.0,2.3040317978281166,0.0,0.0,0.0,,3.2,2.0,12.0,2.411200715180901
A11871,0.0,0.0,0.0,,7.85632183908046,5.0,76.0,10.130765837326129,0.0,0.0,0.0,,7.945273631840796,4.0,70.0,9.730980939748635
A11872,0.0,0.0,0.0,,4.798076923076923,4.0,16.0,3.5450988353652932,0.0,0.0,0.0,,4.84549356223176,4.0,18.0,3.6260775855197
A11873,2.2090032154340835,1.0,19.0,2.232758160485688,2.2972972972972974,1.0,10.0,2.1892073891317363,0.0,0.0,0.0,,2.195945945945946,1.0,12.0,2.0457770767890895
A11874,2.4661654135338344,2.0,19.0,2.4665272269355465,2.099099099099099,1.0,11.0,2.0268872460677003,0.0,0.0,0.0,,2.2231075697211153,1.0,12.0,2.1217973287716405
A11875,1.0,1.0,1.0,0.0,2.5097087378640777,2.0,10.0,1.9846736937970701,0.0,0.0,0.0,,4.2368421052631575,2.0,43.0,4.989934389847145
A11876,1.0,1.0,1.0,0.0,3.1724137931034484,2.0,16.0,2.7088946390910764,0.0,0.0,0.0,,4.903225806451613,3.0,38.0,6.003458780051329
A11877,1.0,1.0,1.0,0.0,3.3677811550151975,2.0,18.0,3.329697525376358,0.0,0.0,0.0,,4.549242424242424,3.0,84.0,5.904644676465764
A11878,1.2857142857142858,1.0,2.0,0.48795003647426666,3.1168384879725086,2.0,20.0,2.956015194894066,0.0,0.0,0.0,,4.405693950177936,2.0,47.0,5.520126494841298
A11879,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11880,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,3.776315789473684,2.0,59.0,4.5484411556281215
A11907,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11950,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11958,0.0,0.0,0.0,,6.222222222222222,6.0,21.0,4.40850548768181,0.0,0.0,0.0,,2.926829268292683,1.0,17.0,3.334593257823501
A11963,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11965,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A11973,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12006,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12010,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12044,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12132,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12133,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12140,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12141,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12188,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12299,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12300,0.0,0.0,0.0,,16.70919881305638,8.0,337.0,34.327012022832875,0.0,0.0,0.0,,7.648725212464589,3.0,94.0,11.200106626435913
A12321,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12341,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12468,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12493,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12746,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12747,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12752,1.9645390070921986,1.0,12.0,1.841627182364748,1.6666666666666667,1.0,4.0,1.0846522890932806,0.0,0.0,0.0,,2.5871559633027523,1.0,15.0,2.80941212110131
A12753,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12762,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12822,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12823,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A12932,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A13069,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A13077,0.0,0.0,0.0,,3.1176470588235294,2.0,13.0,2.381348368500248,6.75,4.0,114.0,9.79043769960812,4.723154362416107,3.0,23.0,3.8946894396850675
A13087,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A13309,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A13319,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A13379,2.8491620111731844,2.0,13.0,2.2844459096363736,1.0,1.0,1.0,0.0,49.1328125,15.0,558.0,82.03488513692899,7.822355289421158,6.0,53.0,7.159216384599433
A13536,2.1538461538461537,1.0,5.0,1.5730095277394138,1.5957446808510638,1.0,5.0,1.0766206079185947,0.0,0.0,0.0,,2.5145482388973965,2.0,19.0,2.243980288088322
A13537,2.0,2.0,6.0,1.3165611772087666,2.289473684210526,1.5,9.0,2.1922208255413986,0.0,0.0,0.0,,2.5482758620689654,2.0,19.0,2.364697279264241
A13538,2.125,1.0,6.0,1.5397947077242096,2.0421686746987953,1.0,11.0,1.60057720512265,0.0,0.0,0.0,,2.596026490066225,2.0,17.0,2.352596555551821
A13618,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.381679389312977,1.0,4.0,0.6732014816380192
A13646,5.393530997304582,4.0,33.0,4.699207660180175,2.7083333333333335,1.5,8.0,2.0951116327353985,0.0,0.0,0.0,,2.1155555555555554,1.0,13.0,2.178420499585852
A13647,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,6.439642324888227,4.0,109.0,8.67999118870847
A13740,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A13741,0.0,0.0,0.0,,4.230769230769231,1.0,34.0,9.093531090412993,0.0,0.0,0.0,,4.076923076923077,2.0,26.0,6.787998458818554
A13742,0.0,0.0,0.0,,8.748826291079812,5.0,183.0,14.317091753083963,0.0,0.0,0.0,,5.02928870292887,3.0,80.0,6.642547903461024
A13962,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A13964,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A13965,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A13966,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A13969,8.548209366391184,6.0,57.0,9.07304707630586,3.2196969696969697,2.0,18.0,3.2740816352393103,0.0,0.0,0.0,,0.0,0.0,0.0,
A13985,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A13986,2.956043956043956,2.0,14.0,2.7725322878075356,2.6666666666666665,2.0,12.0,2.7833660263755484,4.009090909090909,2.5,42.0,4.551070834992843,2.9444444444444446,2.0,14.0,2.7452148812196673
A14023,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14031,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14153,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14222,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14223,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14274,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14289,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14294,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14329,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14330,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14514,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14517,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14556,2.0239234449760763,1.0,13.0,1.7749663188281053,1.82,1.0,8.0,1.5738941696133375,7.822289156626506,6.0,70.0,7.029612603422916,2.306451612903226,1.0,12.0,2.0792448660178215
A14557,2.2265446224256293,2.0,17.0,1.984210657179299,2.1666666666666665,1.5,8.0,1.857222485950146,7.86060606060606,6.0,71.0,7.915508973297052,2.517361111111111,2.0,17.0,2.46502588097632
A14558,0.0,0.0,0.0,,2.2264150943396226,1.0,15.0,2.5693572185842237,8.564516129032258,7.0,115.0,8.631642972930361,2.7953488372093025,2.0,17.0,2.6342419406810444
A14559,1.9292604501607717,1.0,10.0,1.5202331420346162,2.0425531914893615,1.0,12.0,2.146356334212357,9.00462962962963,6.5,52.0,8.102539185806915,2.385767790262172,1.0,12.0,2.180971982392527
A14560,1.9507042253521127,1.0,10.0,1.5697109400066083,1.736842105263158,1.0,8.0,1.6054671884888732,8.68359375,7.0,45.0,7.212019133050757,2.5034722222222223,2.0,17.0,2.390454688119071
A14561,0.0,0.0,0.0,,2.3666666666666667,1.0,12.0,2.5118111796667457,9.446043165467627,7.0,42.0,7.906310689744043,2.6944444444444446,2.0,17.0,2.4059916415106772
A14562,1.7705627705627707,1.0,8.0,1.2732017614622404,1.6,1.0,7.0,1.4290224851827542,9.69578313253012,7.0,56.0,9.547824303561432,2.730496453900709,2.0,24.0,2.825605928465026
A14563,1.8266129032258065,1.0,10.0,1.410694196754176,1.9428571428571428,1.0,8.0,1.8777780540223774,9.489230769230769,7.0,55.0,8.49059252605463,2.5943060498220643,2.0,17.0,2.4405436233404134
A14564,0.0,0.0,0.0,,2.210526315789474,1.0,12.0,2.2798517583012496,10.094827586206897,7.0,69.0,10.627264729091342,2.7944444444444443,2.0,36.0,3.46522585013258
A14565,1.9403508771929825,1.0,9.0,1.4631458065071914,1.5862068965517242,1.0,8.0,1.4272161058535886,9.75909090909091,7.0,55.0,9.080621098530475,2.50187265917603,2.0,17.0,2.3910461608095
A14567,1.0,1.0,1.0,,5.0,5.0,5.0,,0.0,0.0,0.0,,1.9523809523809523,1.0,6.0,1.532194193834139
A14587,7.453703703703703,8.0,16.0,1.6427937183674797,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14588,7.111940298507463,8.0,16.0,1.8133193414296658,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14605,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14606,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14612,0.0,0.0,0.0,,0.0,0.0,0.0,,6.831932773109243,5.0,110.0,8.486096176460444,0.0,0.0,0.0,
A14837,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14845,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14847,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14849,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14852,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14861,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14868,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14869,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14871,1.958762886597938,1.0,34.0,2.886156078110901,7.218181818181818,4.0,62.0,8.287077666984604,0.0,0.0,0.0,,5.770408163265306,4.0,62.0,6.738319767246289
A14872,1.4379084967320261,1.0,9.0,1.1403488925917475,7.787234042553192,5.0,61.0,8.222275542576645,0.0,0.0,0.0,,5.833802816901408,4.0,61.0,6.580916247877188
A14873,0.0,0.0,0.0,,23.301242236024844,10.0,441.0,46.23001477789959,0.0,0.0,0.0,,8.481338481338481,4.0,142.0,12.975888594007625
A14890,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14891,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A14896,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15171,2.4155844155844157,1.0,14.0,2.386092651345828,2.0,1.0,8.0,2.0,0.0,0.0,0.0,,2.632911392405063,2.0,17.0,2.5927770241916757
A15172,2.072463768115942,2.0,7.0,1.4584322826009615,2.1052631578947367,1.0,6.0,1.5949481650269413,0.0,0.0,0.0,,2.673076923076923,2.0,18.0,2.74637380583999
A15186,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15206,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15213,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15247,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15448,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15458,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15484,0.0,0.0,0.0,,2.3106796116504853,2.0,16.0,2.053352716105322,0.0,0.0,0.0,,3.605815831987076,2.0,32.0,4.0124843733385624
A15485,2.0,2.0,3.0,1.4142135623730951,2.3515625,2.0,13.0,1.7949616439215648,0.0,0.0,0.0,,3.6690561529271206,2.0,81.0,4.928111014889249
A15486,0.0,0.0,0.0,,1737.6,2036.0,4104.0,1595.9161318816225,0.0,0.0,0.0,,0.0,0.0,0.0,
A15487,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15505,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15506,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15508,0.0,0.0,0.0,,0.0,0.0,0.0,,10.289017341040463,8.0,80.0,10.066604030791213,3.009433962264151,2.0,16.0,2.84687057266435
A15509,0.0,0.0,0.0,,0.0,0.0,0.0,,11.380073800738007,8.0,105.0,12.564478500699236,3.111111111111111,2.0,17.0,2.9617614102660257
A15519,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15520,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15531,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15533,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15534,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15568,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15569,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15701,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15753,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15765,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15768,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15780,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15781,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15804,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15805,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15806,0.0,0.0,0.0,,8.02092050209205,8.0,16.0,0.5830065420793404,0.0,0.0,0.0,,0.0,0.0,0.0,
A15877,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15879,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A15880,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A16012,3.101123595505618,2.0,20.0,3.337272102604654,1.25,1.0,2.0,0.5,0.0,0.0,0.0,,3.016949152542373,2.0,14.0,3.048411261871976
A16013,3.32,2.0,20.0,3.695151067837608,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,2.8125,1.0,16.0,2.927022432004975
A16114,2.3229813664596275,2.0,18.0,2.1833084771261877,1.886178861788618,1.0,8.0,1.3742553991789386,0.0,0.0,0.0,,2.3218884120171674,1.0,16.0,2.268871510598907
A16115,0.0,0.0,0.0,,9.549180327868852,10.0,21.0,1.9270756924806265,0.0,0.0,0.0,,0.0,0.0,0.0,
A16116,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A16117,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A16118,0.0,0.0,0.0,,40.015151515151516,14.0,680.0,92.05972048127983,0.0,0.0,0.0,,0.0,0.0,0.0,
A16119,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A16120,0.0,0.0,0.0,,21.11111111111111,14.0,88.0,16.997965102036858,0.0,0.0,0.0,,0.0,0.0,0.0,
A16121,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A16122,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A16135,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A16136,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A16400,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A16407,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
