HourOfYear,deploy_factor_Reg_MISO,deploy_factor_Spin_MISO,deploy_factor_Sup_MISO,deploy_factor_STR_MISO
46,0.7044,0.9449,0.8732,0.8679
47,0.6616,0.9692,0.9133,0.8601
48,0.7263,0.9353,0.8771,0.8158
49,0.6994,0.9374,0.8590,0.8176
50,0.7195,0.9358,0.8424,0.8702
51,0.7362,0.9297,0.8317,0.8610
52,0.7862,0.8947,0.8832,0.8761
53,0.7777,0.9135,0.9350,0.8388
54,0.7473,0.9167,0.9303,0.8153
55,0.7355,0.9013,0.8879,0.7794
56,0.6986,0.9331,0.8513,0.8166
57,0.7430,0.8914,0.8860,0.8380
58,0.7229,0.8641,0.8670,0.8307
59,0.7764,0.8507,0.8271,0.8455
60,0.7376,0.8339,0.8186,0.8459
61,0.8151,0.8369,0.8523,0.8157
62,0.7667,0.8646,0.8036,0.8163
63,0.7274,0.8516,0.8277,0.7875
64,0.7000,0.8832,0.9095,0.8203
65,0.6777,0.9256,0.9141,0.8231
66,0.6951,0.9670,0.9159,0.8067
67,0.6687,0.9001,0.8639,0.8328
68,0.6374,0.9234,0.8999,0.9211
69,0.6211,0.9279,0.9701,0.9212
70,0.7061,0.9066,0.9308,0.9316
71,0.6671,0.8991,0.9396,0.8794
72,0.6807,0.8959,0.9466,0.8515
73,0.6544,0.9252,0.9092,0.8601
74,0.6799,0.9426,0.8518,0.8476
75,0.6896,0.9641,0.8540,0.8608
76,0.7474,0.9252,0.9098,0.8925
77,0.7221,0.9156,0.8943,0.8909
78,0.7314,0.9466,0.9113,0.9465
79,0.7593,0.9338,0.9413,0.8935
80,0.7338,0.9614,0.8648,0.8897
81,0.7333,0.9366,0.8289,0.8850
82,0.6758,0.9643,0.8715,0.8948
83,0.6960,0.9303,0.8222,0.8992
84,0.7030,0.8700,0.7936,0.8696
85,0.6770,0.8912,0.8385,0.8410
86,0.6409,0.8930,0.8465,0.8329
87,0.6449,0.8300,0.8835,0.8210
88,0.6175,0.8375,0.8834,0.8576
89,0.6391,0.8793,0.8648,0.8638
90,0.6733,0.8766,0.8643,0.8561
91,0.6208,0.9202,0.8982,0.9231
92,0.6104,0.8995,0.9315,0.9064
93,0.6839,0.8871,0.9026,0.8680
94,0.7078,0.8464,0.8833,0.9223
95,0.6588,0.9097,0.8854,0.8891
96,0.6516,0.9619,0.8802,0.9405
97,0.6020,0.9888,0.9088,0.8955
98,0.6619,0.9782,0.9098,0.8932
99,0.6699,0.9173,0.8983,0.8923
100,0.6809,0.9136,0.9326,0.8677
101,0.7249,0.8613,0.8759,0.8891
102,0.7117,0.8918,0.8890,0.9146
103,0.7182,0.8733,0.9108,0.8957
104,0.7505,0.8698,0.8542,0.9215
105,0.7120,0.8507,0.8532,0.8941
106,0.6678,0.9028,0.8637,0.9347
107,0.7347,0.8995,0.8205,0.8833
108,0.7024,0.9484,0.8856,0.8426
109,0.6231,0.9444,0.9364,0.8597
110,0.6162,0.9807,0.9211,0.8594
111,0.6123,0.9827,0.8963,0.8383
112,0.6991,0.9805,0.8518,0.8260
113,0.7176,0.9349,0.8617,0.8236
114,0.7066,0.8823,0.8733,0.8421
115,0.6822,0.8478,0.9184,0.8430
116,0.7089,0.8633,0.9630,0.8557
117,0.7420,0.8550,0.9353,0.8433
118,0.7492,0.8851,0.9152,0.8696
119,0.7690,0.9114,0.8627,0.8897
120,0.8053,0.9057,0.8455,0.8948
121,0.7850,0.8606,0.8573,0.8645
122,0.7492,0.9145,0.8539,0.8905
123,0.7240,0.8767,0.8834,0.8800
124,0.7604,0.9152,0.9239,0.8830
125,0.7713,0.9582,0.9033,0.8820
126,0.7604,0.9410,0.9426,0.9338
127,0.7290,0.8984,0.9695,0.8926
128,0.6956,0.8876,0.9334,0.8883
129,0.6966,0.9749,0.9161,0.8910
130,0.6641,0.9699,0.9078,0.9072
131,0.6645,0.9555,0.9472,0.9240
132,0.7121,0.9323,0.9533,0.8206
133,0.7051,0.9244,0.9486,0.8571
134,0.6960,0.9144,0.9895,0.9117
135,0.7017,0.9007,0.9902,0.8787
136,0.7335,0.9244,1.0000,0.8649
137,0.7862,0.9521,0.9833,0.8778
138,0.7284,0.9066,0.9389,0.8379
139,0.7622,0.9546,0.8900,0.8314
140,0.7751,0.9838,0.8938,0.8610
141,0.7173,0.9645,0.9250,0.8659
142,0.6809,1.0000,0.9054,0.9468
143,0.7170,0.9557,0.8949,0.8855
144,0.7317,0.9417,0.9158,0.8707
145,0.6669,0.9724,0.8464,0.9228
146,0.6465,0.9488,0.8287,0.9486
147,0.6762,0.9103,0.9104,0.9432
148,0.7124,0.9124,0.8618,0.8652
149,0.7229,0.9342,0.9302,0.8973
150,0.6478,0.9279,0.9179,0.9658
151,0.6354,0.9568,0.9449,0.9845
152,0.6171,0.9566,0.9299,0.9533
153,0.6586,0.8856,0.8824,0.9539
154,0.6523,0.8787,0.9024,0.9139
155,0.6807,0.8973,0.8686,0.9209
156,0.6907,0.8874,0.8637,0.9293
157,0.6538,0.8661,0.8366,0.8876
158,0.6935,0.8917,0.7878,0.9186
159,0.7338,0.9449,0.7799,0.9206
160,0.7574,0.9446,0.8368,0.8940
161,0.7518,0.9493,0.8669,0.8528
162,0.7372,0.9379,0.8725,0.8653
163,0.7086,0.9438,0.8718,0.8562
164,0.7489,0.9067,0.9068,0.8401
165,0.7919,0.9253,0.9360,0.8787
166,0.7496,0.9238,0.8968,0.8974
167,0.7023,0.9277,0.9153,0.9498
168,0.6670,0.9459,0.9805,0.9365
169,0.6422,0.8982,0.9402,0.9099
170,0.6661,0.8921,0.9793,0.8648
171,0.6297,0.9088,0.9654,0.8796
172,0.6266,0.9197,1.0000,0.9307
173,0.6252,0.8784,1.0000,0.9667
174,0.6476,0.8666,1.0000,0.9246
175,0.6524,0.8746,0.9812,0.9579
176,0.6779,0.9035,0.9645,0.9546
177,0.6790,0.9233,0.9305,0.9196
178,0.6903,0.9570,0.8845,0.9534
179,0.7569,0.9646,0.8286,0.9451
180,0.7488,1.0000,0.8812,0.9327
181,0.7469,0.9701,0.8651,0.9276
182,0.8172,0.9857,0.8899,0.9128
183,0.7862,0.9201,0.8886,0.8924
184,0.8160,0.9294,0.9071,0.8960
185,0.8312,0.9238,0.9132,0.9041
186,0.7707,0.9122,0.8708,0.8968
187,0.7600,0.9064,0.8355,0.8937
188,0.7680,0.9027,0.8040,0.9464
189,0.7842,0.9111,0.8392,0.9678
190,0.7392,0.9034,0.9159,0.9819
191,0.7041,0.9277,0.8882,0.9520
192,0.7329,0.8835,0.9300,0.9596
193,0.6918,0.8984,0.8746,0.9753
194,0.6828,0.9093,0.8352,0.9491
195,0.6391,0.9020,0.8376,0.9611
196,0.6250,0.9163,0.8488,0.9803
197,0.6335,0.8658,0.8951,0.9707
198,0.6436,0.8735,0.8928,0.9469
199,0.6609,0.8696,0.8634,0.9329
200,0.6652,0.9009,0.8673,0.9555
201,0.7032,0.9162,0.9070,0.9778
202,0.7440,0.9251,0.8823,1.0000
203,0.7110,0.9378,0.8913,0.9523
204,0.6527,0.8747,0.8774,0.9351
205,0.6772,0.8933,0.8758,0.9080
206,0.7163,0.9329,0.8960,0.9191
207,0.6868,0.9285,0.8845,0.8931
208,0.6795,0.9176,0.8288,0.9005
209,0.7164,0.9128,0.8399,0.8518
210,0.7497,0.9048,0.8396,0.8327
211,0.7543,0.9071,0.8536,0.8390
212,0.7435,0.8944,0.8675,0.8520
213,0.7177,0.9525,0.9374,0.8837
214,0.7212,0.9354,0.9205,0.8952
215,0.7193,0.9485,0.9352,0.8820
216,0.7372,0.9302,0.9140,0.8796
217,0.7424,0.9189,0.9228,0.8396
218,0.6869,0.9355,0.9094,0.8927
219,0.6851,0.9334,0.8925,0.9409
220,0.7319,0.9256,0.9124,0.9336
221,0.6448,0.9113,0.9183,0.9481
222,0.6122,0.9142,0.9552,0.9120
223,0.5983,0.9136,0.9284,0.8858
224,0.6430,0.8885,0.9097,0.8435
225,0.6390,0.9053,0.8858,0.8348
226,0.6565,0.9217,0.8836,0.8316
227,0.6826,0.9464,0.8965,0.8428
228,0.7027,0.9448,0.9009,0.8839
229,0.6801,0.9296,0.9299,0.8717
230,0.6740,0.8900,0.9146,0.8667
231,0.6731,0.8782,0.8774,0.8578
232,0.7343,0.8969,0.8613,0.8884
233,0.7196,0.8776,0.8409,0.8796
234,0.7358,0.8214,0.8399,0.9393
235,0.7517,0.8698,0.8790,0.9506
236,0.7767,0.8789,0.8545,0.9276
237,0.7891,0.8802,0.8584,0.9400
238,0.7712,0.8708,0.8982,0.9542
239,0.7718,0.8849,0.8661,0.9367
240,0.8389,0.8879,0.8845,0.9091
241,0.7834,0.8783,0.8804,0.9198
242,0.7481,0.9160,0.8913,0.9226
243,0.6990,0.8750,0.8847,0.9143
244,0.7055,0.8302,0.8537,0.8996
245,0.6888,0.8782,0.8144,0.8670
246,0.6560,0.8912,0.8370,0.9372
247,0.6660,0.8724,0.8494,0.9147
248,0.6280,0.8576,0.8577,0.9751
249,0.6859,0.8695,0.8864,0.9828
250,0.7237,0.8861,0.9003,0.9231
251,0.7773,0.9183,0.8621,0.9055
252,0.8486,0.9299,0.9114,0.8768
253,0.7613,0.9110,0.9055,0.8463
254,0.7423,0.9076,0.8550,0.8678
255,0.7760,0.9199,0.8666,0.9123
256,0.8014,0.9576,0.8213,0.9450
257,0.8075,0.9478,0.8352,0.9394
258,0.7488,0.9425,0.9283,0.9646
259,0.7473,0.9164,0.9655,0.9245
260,0.7721,0.9085,0.9434,0.9304
261,0.7446,0.9164,0.9908,0.8968
262,0.7092,0.9128,0.9846,0.9096
263,0.6980,0.9099,0.9725,0.9497
264,0.6796,0.8701,0.9619,0.9210
265,0.6932,0.8828,1.0000,0.9012
266,0.6468,0.9244,1.0000,0.8864
267,0.7134,0.9569,0.9730,0.8530
268,0.6916,0.9782,1.0000,0.8910
269,0.6597,0.9203,0.9801,0.8450
270,0.6553,0.9430,0.9832,0.8447
271,0.6742,0.9541,0.9999,0.8099
272,0.6280,0.9968,0.9376,0.8119
273,0.6249,0.9813,0.9192,0.8337
274,0.6395,0.9678,0.9650,0.8732
275,0.6305,0.9563,0.9178,0.8783
276,0.6139,1.0000,0.9356,0.9025
277,0.6646,0.9697,0.9518,0.8842
278,0.7034,0.9821,0.8983,0.8361
279,0.7330,0.9481,0.8308,0.8764
280,0.7445,0.9339,0.8406,0.8559
281,0.6950,0.9207,0.8744,0.8921
282,0.6953,0.8936,0.8443,0.8946
283,0.7415,0.9255,0.8613,0.9218
284,0.6919,0.9602,0.9142,0.9259
285,0.6609,0.9788,0.9382,0.9019
286,0.6785,0.9636,0.9980,0.9089
287,0.7087,0.9855,0.9381,0.8860
288,0.7294,0.9264,0.9792,0.9333
289,0.7336,0.9577,0.9312,0.9162
290,0.6927,0.9765,0.8625,0.8925
291,0.7107,0.9844,0.8831,0.9200
292,0.6877,0.9774,0.8778,0.9053
293,0.7018,0.9824,0.9054,0.8673
294,0.6973,0.9667,0.9290,0.8881
295,0.6874,0.9594,0.9253,0.8898
296,0.7679,0.9406,0.9144,0.8740
297,0.7133,0.9255,0.9131,0.9268
298,0.6858,0.8948,0.9507,0.9309
299,0.7246,0.8572,0.9457,0.9101
300,0.7772,0.9292,0.9327,0.9155
301,0.7823,0.9020,0.8948,0.9008
302,0.7564,0.8810,0.8990,0.9124
303,0.7176,0.9222,0.9009,0.8930
304,0.7424,0.9889,0.8737,0.8957
305,0.7327,1.0000,0.8488,0.9036
306,0.7080,0.9880,0.8713,0.8807
307,0.7419,0.9409,0.8847,0.8816
308,0.7276,0.9731,0.9367,0.9529
309,0.6777,0.9560,0.9160,0.9789
310,0.6866,0.8922,0.9146,0.9753
311,0.6781,0.8861,0.8787,0.9809
312,0.6497,0.9198,0.8106,0.9845
313,0.6711,0.8931,0.7953,0.9844
314,0.6926,0.9198,0.8638,0.9332
315,0.6103,0.8878,0.9303,0.9185
316,0.6666,0.8691,0.9367,0.9593
317,0.7075,0.9014,0.9338,0.9341
318,0.7020,0.8829,0.9655,0.9234
319,0.6752,0.9114,0.9230,0.9202
320,0.6988,0.8604,0.8850,0.9437
321,0.6991,0.8597,0.9036,0.9735
322,0.6816,0.8951,0.9188,0.9582
323,0.6687,0.9545,0.9146,0.8616
324,0.6815,0.9736,0.9032,0.8895
325,0.7299,0.9504,0.8909,0.8933
326,0.6794,0.9670,0.9007,0.8930
327,0.6943,0.9491,0.8809,0.9144
328,0.6660,0.9668,0.9521,0.9078
329,0.6842,0.9758,0.9543,0.9305
330,0.7069,1.0000,0.9038,0.9598
331,0.6642,1.0000,0.8755,0.9891
332,0.6912,0.9652,0.8644,0.9589
333,0.7018,0.9554,0.9368,0.9533
334,0.7449,0.9186,0.8952,0.9687
335,0.7356,0.8875,0.9207,0.9665
336,0.7372,0.8875,0.9108,0.9379
337,0.7432,0.8957,0.9004,0.9149
338,0.7809,0.8866,0.9228,0.8847
339,0.7024,0.8439,0.9216,0.8388
340,0.6500,0.8195,0.9116,0.8594
341,0.6577,0.8560,0.8592,0.8414
342,0.6792,0.8307,0.8492,0.8284
343,0.6286,0.8712,0.8634,0.9084
344,0.6424,0.9235,0.8907,0.9250
345,0.6301,0.9047,0.8925,0.8943
346,0.6025,0.8958,0.8753,0.9067
347,0.6184,0.9195,0.8739,0.8787
348,0.6603,0.9061,0.9429,0.8854
349,0.7308,0.8807,0.8722,0.9058
350,0.7944,0.8767,0.8712,0.9076
351,0.8149,0.8742,0.9151,0.8823
352,0.8002,0.9019,0.9061,0.8862
353,0.7743,0.8799,0.8824,0.8932
354,0.7628,0.9114,0.9086,0.8676
355,0.7537,0.9326,0.9337,0.8671
356,0.7791,0.8968,0.9567,0.8612
357,0.8149,0.9275,0.9560,0.8702
358,0.7505,0.8575,0.9720,0.8779
359,0.7294,0.8454,0.9688,0.8548
360,0.7548,0.8221,0.9252,0.8521
361,0.7384,0.8813,0.9160,0.8341
362,0.7161,0.9001,0.9138,0.8768
363,0.7511,0.8918,0.9388,0.8817
364,0.7228,0.9171,0.9128,0.8306
365,0.7397,0.9112,0.9254,0.8673
366,0.7203,0.9742,0.9581,0.8834
367,0.7897,0.9868,0.9022,0.9199
368,0.8115,1.0000,0.8502,0.9229
369,0.7757,0.9447,0.8864,0.8956
370,0.7681,0.9895,0.8868,0.9048
371,0.7725,0.9456,0.9337,0.8878
372,0.7425,0.8843,1.0000,0.8919
373,0.7225,0.8756,1.0000,0.9780
374,0.7455,0.9108,0.9479,0.9901
375,0.7352,0.9028,0.9913,1.0000
376,0.6805,0.9073,0.9850,0.9519
377,0.7037,0.8777,0.9812,0.9683
378,0.7350,0.8878,0.9215,0.9432
379,0.7163,0.9044,0.9018,0.9644
380,0.6869,0.9016,0.9049,0.9847
381,0.7341,0.8980,0.9025,0.9259
382,0.7317,0.8994,0.9091,0.9016
383,0.7220,0.8996,0.8937,0.8724
384,0.7144,0.9376,0.9297,0.9036
385,0.7597,0.9596,0.9638,0.8787
386,0.7551,0.9821,0.9131,0.8852
387,0.7577,0.9478,0.8857,0.8787
388,0.7396,0.8983,0.8360,0.9409
389,0.7313,0.8822,0.7797,0.9267
390,0.7138,0.8725,0.7870,0.9268
391,0.7271,0.8405,0.8479,0.9268
392,0.6840,0.8652,0.8442,0.8966
393,0.6954,0.8898,0.8773,0.8726
394,0.6842,0.8581,0.9026,0.8797
395,0.6706,0.8329,0.9023,0.8744
396,0.6920,0.8399,0.8901,0.9274
397,0.6938,0.8933,0.8979,0.9548
398,0.6621,0.8421,0.8531,0.9798
399,0.6410,0.8833,0.9026,0.9496
400,0.6608,0.8942,0.8866,0.9745
401,0.6434,0.8124,0.9424,0.9948
402,0.6008,0.8226,0.9446,0.9263
403,0.6503,0.8252,0.9695,0.9079
404,0.6201,0.8635,0.9505,0.9265
405,0.6259,0.8577,0.9184,0.9164
406,0.6119,0.8568,0.9725,0.9058
407,0.6000,0.8440,0.9294,0.8754
408,0.6336,0.8814,0.9081,0.8753
409,0.6265,0.8421,0.8763,0.9156
410,0.6354,0.8437,0.8574,0.9194
411,0.5893,0.8419,0.8733,0.9303
412,0.6723,0.8485,0.8644,0.9884
413,0.6904,0.8264,0.8873,0.9698
414,0.7390,0.8403,0.9109,0.9736
415,0.7730,0.8425,0.8646,0.9690
416,0.7963,0.8348,0.9000,0.9801
417,0.7667,0.8508,0.8497,0.9731
418,0.7534,0.8770,0.8701,0.9260
419,0.7083,0.8652,0.8765,0.9338
420,0.7094,0.8442,0.8591,0.9369
421,0.6658,0.8378,0.8636,0.9000
422,0.7205,0.8544,0.9248,0.8956
423,0.7458,0.8446,0.9583,0.8864
424,0.7564,0.8480,0.9981,0.8710
425,0.7252,0.8368,0.9844,0.8479
426,0.7585,0.8355,0.9537,0.8997
427,0.6928,0.8451,0.9642,0.9084
428,0.6909,0.8648,0.9732,0.9171
429,0.6980,0.8503,0.9128,0.9187
430,0.7528,0.8400,0.9101,0.9471
431,0.6978,0.8654,0.8656,0.9280
432,0.7435,0.9034,0.8649,0.9371
433,0.7724,0.8520,0.9002,0.9933
434,0.7967,0.8575,0.8665,0.9576
435,0.7561,0.8715,0.9377,0.9567
436,0.7586,0.8451,0.9251,0.9507
437,0.7757,0.8705,0.9224,0.9517
438,0.7687,0.8291,0.9277,0.8969
439,0.7653,0.8534,0.9469,0.9094
440,0.7670,0.8809,0.9539,0.8994
441,0.7309,0.8985,0.9610,0.8708
442,0.7022,0.8815,0.9225,0.9374
443,0.7276,0.8779,0.9082,0.9658
444,0.7014,0.9095,0.9220,0.9787
445,0.7122,0.8857,0.9094,0.9481
446,0.6667,0.8905,0.9215,0.9124
447,0.6670,0.8757,0.9102,0.8977
448,0.7245,0.8845,0.9107,0.8913
449,0.7263,0.8512,0.8925,0.9066
450,0.7602,0.8400,0.9262,0.9160
451,0.8029,0.8669,0.9198,0.9281
452,0.8102,0.8676,0.9424,0.9318
453,0.8004,0.9234,0.9315,0.9452
454,0.7747,0.9437,0.9481,0.9300
455,0.7510,0.9791,0.9351,0.9889
456,0.7289,0.9550,0.9564,0.9931
457,0.7592,0.9130,0.9841,0.9832
458,0.7533,0.8509,0.9491,0.9296
459,0.7701,0.8579,0.9726,0.9275
460,0.8095,0.8537,0.9299,0.8711
461,0.8496,0.8656,0.8835,0.8410
462,0.8397,0.8477,0.8815,0.8958
463,0.8318,0.8117,0.8990,0.9137
464,0.7959,0.8209,0.8365,0.9407
465,0.8059,0.8342,0.8489,0.9299
466,0.7541,0.7948,0.9033,0.9157
467,0.7455,0.8034,0.9247,0.9063
468,0.7015,0.7969,0.8864,0.8936
469,0.6581,0.8617,0.9087,0.8628
470,0.6782,0.8718,0.9230,0.8952
471,0.6504,0.8742,0.9713,0.8888
472,0.6436,0.8577,0.9618,0.8688
473,0.6707,0.8842,0.9177,0.8537
474,0.7091,0.8561,0.9010,0.8583
475,0.7728,0.9214,0.9211,0.8533
476,0.6937,0.9635,0.8812,0.8767
477,0.6665,0.9944,0.8939,0.9047
478,0.6112,0.9743,0.9004,0.9471
479,0.5886,0.9431,0.8472,0.9114
480,0.6309,0.9198,0.8279,0.9493
481,0.6453,0.8939,0.8358,0.9105
482,0.6040,0.9071,0.9258,0.9513
483,0.6364,0.8834,0.9406,0.9632
484,0.7021,0.9028,0.9476,0.9729
485,0.6666,0.8817,0.8948,0.9442
486,0.6880,0.9079,0.9066,0.9242
487,0.7440,0.9230,0.8945,0.9229
488,0.7048,0.9090,0.9125,0.9516
489,0.7009,0.8793,0.9103,0.9007
490,0.6517,0.8427,0.9528,0.8854
491,0.7076,0.8652,0.9032,0.9315
492,0.7198,0.8493,0.9081,0.9176
493,0.6951,0.8386,0.9402,0.9238
494,0.6900,0.8493,0.9360,0.9780
495,0.7235,0.8306,0.8724,0.9600
496,0.6649,0.8546,0.8612,0.9558
497,0.6454,0.8545,0.8663,0.9488
498,0.6649,0.8725,0.8263,0.9084
499,0.7025,0.9223,0.8365,0.9275
500,0.7171,0.9125,0.8099,0.9252
501,0.6651,0.8962,0.7987,0.9610
502,0.7061,0.9194,0.8273,0.9579
503,0.7441,0.9341,0.8608,0.9505
504,0.7678,0.8946,0.8925,0.9472
505,0.7534,0.9300,0.9028,0.9055
506,0.7226,0.8987,0.9091,0.9008
507,0.7657,0.8723,0.9359,0.8804
508,0.7355,0.9120,0.9263,0.8723
509,0.7321,0.9396,0.9327,0.9317
510,0.7558,0.9180,0.9263,0.9156
511,0.7858,0.9255,0.9601,0.9121
512,0.7427,0.8940,0.9324,0.9009
513,0.7766,0.9068,0.8983,0.8999
514,0.7415,0.8615,0.8888,0.8682
515,0.7590,0.9008,0.9039,0.8828
516,0.7680,0.8924,0.9246,0.9356
517,0.7552,0.8619,0.9341,0.9575
518,0.6974,0.8717,0.9274,0.9391
519,0.6644,0.8387,0.9222,0.9328
520,0.7054,0.8648,0.9003,0.9337
521,0.7196,0.8776,0.8820,0.9381
522,0.7338,0.8934,0.8853,0.9444
523,0.7170,0.8817,0.8815,0.9218
524,0.7007,0.8448,0.8665,0.8856
525,0.7162,0.8439,0.9235,0.8924
526,0.7018,0.8143,0.9013,0.8863
527,0.7166,0.8670,0.9065,0.8996
528,0.6738,0.8475,0.9492,0.9246
529,0.6825,0.8134,0.9239,0.9535
530,0.6624,0.8408,0.8896,0.9380
531,0.6784,0.9104,0.8836,0.8996
532,0.6468,0.8978,0.8843,0.8745
533,0.7020,0.9049,0.9120,0.8935
534,0.6473,0.8689,0.8924,0.8977
535,0.6942,0.8773,0.8658,0.8265
536,0.6850,0.8316,0.8676,0.8382
537,0.7091,0.8017,0.9028,0.8442
538,0.7226,0.8630,0.9167,0.8590
539,0.7002,0.8640,0.9476,0.9015
540,0.6864,0.8868,0.9509,0.8354
541,0.7244,0.9460,0.9227,0.8219
542,0.7244,0.9037,0.9371,0.8351
543,0.7099,0.9175,0.9532,0.8411
544,0.6944,0.8792,0.9541,0.8646
545,0.6878,0.8632,0.9520,0.9082
546,0.7458,0.8912,0.9882,0.8732
547,0.7857,0.8803,0.9319,0.8839
548,0.8232,0.8758,0.9086,0.9232
549,0.8509,0.8528,0.8903,0.8830
550,0.7939,0.8502,0.8673,0.8853
551,0.7754,0.8510,0.9287,0.9180
552,0.7387,0.8751,0.8974,0.8894
553,0.7599,0.8820,0.9091,0.8730
554,0.7414,0.8865,0.9057,0.8752
555,0.7180,0.9081,0.9430,0.9106
556,0.7009,0.9392,0.9617,0.9487
557,0.6762,0.8584,0.8920,0.9122
558,0.7050,0.9208,0.8580,0.9481
559,0.7217,0.9116,0.8465,0.9362
560,0.6934,0.9710,0.8487,0.9651
561,0.7251,0.9642,0.8558,0.9820
562,0.7305,0.9560,0.8402,0.9185
563,0.6918,0.9251,0.8568,0.9065
564,0.6589,0.8998,0.9297,0.9624
565,0.6374,0.9317,0.9740,0.9690
566,0.6819,0.9239,0.9813,0.9219
567,0.7353,0.9464,1.0000,0.8703
568,0.6352,0.9117,1.0000,0.8421
569,0.6098,0.8950,0.9901,0.8737
570,0.6731,0.8020,0.9758,0.8943
571,0.6695,0.7761,1.0000,0.8551
572,0.7114,0.8182,1.0000,0.8779
573,0.7115,0.7977,0.9680,0.8517
574,0.7194,0.8485,0.9166,0.8825
575,0.7517,0.8549,0.8476,0.8607
576,0.7393,0.8546,0.9081,0.8576
577,0.7025,0.8538,0.8851,0.8968
578,0.7211,0.8855,0.9089,0.9037
579,0.7029,0.9246,0.8979,0.9470
580,0.7782,0.8546,0.8861,0.9308
581,0.7556,0.8773,0.8952,0.9225
582,0.7609,0.8992,0.9450,0.9500
583,0.7782,0.9026,0.9415,0.9509
584,0.8011,0.9035,0.9053,0.9329
585,0.8179,0.9107,0.8856,0.9388
586,0.8308,0.9431,0.8733,0.9442
587,0.7986,0.9325,0.8573,0.9218
588,0.8032,0.8781,0.8281,0.9189
589,0.7175,0.8835,0.8492,0.9418
590,0.7353,0.8609,0.8902,0.9458
591,0.7507,0.8408,0.9099,0.9270
592,0.7676,0.8494,0.9026,0.9491
593,0.7822,0.8620,0.8813,0.9401
594,0.7940,0.8533,0.8802,0.9452
595,0.7619,0.9079,0.9019,0.9375
596,0.7400,0.9008,0.9064,0.9220
597,0.7545,0.9369,0.9178,0.8747
598,0.6837,0.9079,0.8676,0.9139
599,0.6388,0.9541,0.8773,0.8961
600,0.6329,0.9119,0.8784,0.8691
601,0.6343,0.9299,0.9409,0.8634
602,0.6589,0.9659,0.9400,0.8940
603,0.7380,0.9426,0.8995,0.8651
604,0.7147,0.9155,0.9119,0.8766
605,0.7271,0.9170,0.9305,0.8990
606,0.6671,0.9141,0.9519,0.9146
607,0.6598,0.8909,0.9792,0.8781
608,0.6924,0.8816,0.9245,0.8685
609,0.6816,0.9213,0.9572,0.9060
610,0.6657,0.8820,0.8980,0.8998
611,0.6044,0.9330,0.9349,0.9251
612,0.6006,0.8920,0.9525,0.9128
613,0.6606,0.9189,0.8729,0.9127
614,0.6551,0.9571,0.8938,0.9144
615,0.6682,0.9207,0.8848,0.9694
616,0.6505,0.9358,0.9568,0.9539
617,0.6517,0.9215,0.9401,0.9240
618,0.7024,0.8697,0.9083,0.8878
619,0.6871,0.8836,0.8906,0.8558
620,0.6657,0.8744,0.8887,0.8639
621,0.7141,0.9014,0.8968,0.8716
622,0.7100,0.9067,0.8709,0.8863
623,0.6978,0.9530,0.8763,0.8643
624,0.7043,0.9403,0.9214,0.8666
625,0.7388,0.9343,0.9331,0.8562
626,0.7345,0.9407,0.9307,0.8553
627,0.7038,1.0000,0.9263,0.9125
628,0.7070,0.9960,0.9254,0.9621
629,0.6533,0.9579,0.9165,0.9529
630,0.6332,0.9372,0.9359,0.9783
