Timestamp,mileage_factor_RegUp_MISO,performance_factor_RegUp_MISO,mileage_factor_RegDown_MISO,performance_factor_RegDown_MISO
2024-01-09 07:00:00,7.2743,0.9635,6.7715,0.9935
2024-01-09 08:00:00,6.456,1.0,6.6982,0.9246
2024-01-09 09:00:00,7.3381,0.9936,7.5704,0.8623
2024-01-09 10:00:00,6.7051,0.9109,5.9008,0.9821
2024-01-09 11:00:00,7.6426,0.9026,7.0099,0.9895
2024-01-09 12:00:00,5.9926,0.9726,6.8676,0.9715
2024-01-09 13:00:00,6.9712,0.918,7.812,0.9532
2024-01-09 14:00:00,7.2766,1.0,6.3464,0.9279
2024-01-09 15:00:00,6.3338,0.866,6.7428,0.9696
2024-01-09 16:00:00,5.9566,0.9812,6.9383,1.0
2024-01-09 17:00:00,6.5411,0.96,6.8521,0.9442
2024-01-09 18:00:00,7.3304,0.8811,6.1478,1.0
2024-01-09 19:00:00,6.5939,0.9719,7.7056,0.9698
2024-01-09 20:00:00,6.3826,0.8936,6.7725,1.0
2024-01-09 21:00:00,7.2926,0.9708,6.5779,0.9554
2024-01-09 22:00:00,7.4766,0.8758,6.2479,0.9278
2024-01-09 23:00:00,6.5329,0.9196,6.8219,0.8721
2024-01-10 00:00:00,7.1629,0.9911,7.3914,1.0
2024-01-10 01:00:00,6.6598,1.0,6.9021,0.9405
2024-01-10 02:00:00,7.1399,0.8809,7.5212,0.8837
2024-01-10 03:00:00,6.2268,1.0,7.5055,0.8554
2024-01-10 04:00:00,8.2502,0.8631,8.1079,0.8793
2024-01-10 05:00:00,6.9838,0.9879,6.8448,0.968
2024-01-10 06:00:00,6.7814,0.9452,8.1418,0.8844
2024-01-10 07:00:00,7.5899,0.9422,6.6251,0.8578
2024-01-10 08:00:00,6.4727,0.8571,7.9558,0.9311
2024-01-10 09:00:00,7.4227,0.9701,6.3815,0.9033
2024-01-10 10:00:00,6.5452,0.8917,6.8175,0.9729
2024-01-10 11:00:00,7.6832,1.0,6.1051,0.9418
2024-01-10 12:00:00,6.1501,0.8758,7.017,0.9067
2024-01-10 13:00:00,6.7004,0.933,6.5261,0.9385
2024-01-10 14:00:00,7.0737,0.9912,7.4105,0.9475
2024-01-10 15:00:00,5.1982,1.0,6.9554,0.9622
2024-01-10 16:00:00,8.1146,1.0,6.5103,0.8848
2024-01-10 17:00:00,7.2808,0.9725,6.1956,0.9971
2024-01-10 18:00:00,5.4803,0.8954,6.6854,0.9804
2024-01-10 19:00:00,7.2973,0.9673,6.474,1.0
2024-01-10 20:00:00,6.2684,0.9563,6.8486,0.9207
2024-01-10 21:00:00,5.6987,1.0,6.0627,0.9125
2024-01-10 22:00:00,7.8479,0.9407,5.6238,0.9639
2024-01-10 23:00:00,8.1171,0.9901,6.3229,0.9688
2024-01-11 00:00:00,8.0593,0.8725,6.9286,0.9057
2024-01-11 01:00:00,6.6813,1.0,7.0735,0.9571
2024-01-11 02:00:00,6.4967,1.0,6.4842,0.9078
2024-01-11 03:00:00,7.3863,0.9286,5.7949,0.9827
2024-01-11 04:00:00,6.585,0.9353,8.1848,0.8451
2024-01-11 05:00:00,7.578,0.8914,6.6232,0.9138
2024-01-11 06:00:00,7.1085,0.8835,7.6186,0.9999
2024-01-11 07:00:00,6.0291,0.967,8.3728,0.9055
2024-01-11 08:00:00,7.5871,0.9255,7.5659,0.9698
2024-01-11 09:00:00,7.1977,0.9542,7.179,0.9253
2024-01-11 10:00:00,7.3616,0.9142,6.8484,0.9571
2024-01-11 11:00:00,6.3003,0.9616,6.7002,1.0
2024-01-11 12:00:00,7.696,0.9744,6.7182,0.891
2024-01-11 13:00:00,7.7377,0.9643,8.1513,0.9965
2024-01-11 14:00:00,7.3153,0.8804,7.1976,0.9694
2024-01-11 15:00:00,8.001,0.9064,6.4697,0.9615
2024-01-11 16:00:00,7.9514,0.907,6.6849,0.9915
2024-01-11 17:00:00,7.5787,1.0,6.5125,0.9571
2024-01-11 18:00:00,6.3222,1.0,8.1563,0.8902
2024-01-11 19:00:00,7.3391,0.9502,6.5319,1.0
2024-01-11 20:00:00,6.5685,0.9518,7.2811,0.9915
2024-01-11 21:00:00,7.2143,0.9535,5.9708,0.9302
2024-01-11 22:00:00,7.7257,1.0,7.8862,0.925
2024-01-11 23:00:00,6.9966,0.9494,7.9645,0.9615
2024-01-12 00:00:00,6.6068,0.8594,8.7807,0.9952
2024-01-12 01:00:00,7.3327,0.9592,6.8534,1.0
2024-01-12 02:00:00,7.2518,0.9287,6.262,0.8903
2024-01-12 03:00:00,7.4298,0.9105,7.5664,0.8958
2024-01-12 04:00:00,6.4684,0.9402,7.3728,0.9528
2024-01-12 05:00:00,5.8427,0.9438,6.6845,0.9675
2024-01-12 06:00:00,7.1567,0.9578,6.9224,0.9102
2024-01-12 07:00:00,6.5913,0.9185,6.886,0.9122
2024-01-12 08:00:00,6.7605,0.9303,7.072,1.0
2024-01-12 09:00:00,7.2262,0.9122,7.6271,0.9605
2024-01-12 10:00:00,6.3595,0.9778,7.1907,0.9082
2024-01-12 11:00:00,7.1588,0.9946,7.3485,0.8969
2024-01-12 12:00:00,6.4015,0.9427,5.4243,0.9102
2024-01-12 13:00:00,5.9849,0.9455,6.4515,0.9128
2024-01-12 14:00:00,6.9761,0.9962,8.3928,0.8746
2024-01-12 15:00:00,7.0949,1.0,6.363,1.0
2024-01-12 16:00:00,7.1729,1.0,5.7682,0.9761
2024-01-12 17:00:00,6.9311,0.8967,6.3892,1.0
2024-01-12 18:00:00,6.4571,0.9487,6.6114,1.0
2024-01-12 19:00:00,6.7872,1.0,7.1443,0.9619
2024-01-12 20:00:00,8.2863,0.9534,7.2008,0.9103
2024-01-12 21:00:00,6.5067,0.8898,7.436,1.0
2024-01-12 22:00:00,7.5327,1.0,6.6496,1.0
2024-01-12 23:00:00,8.2289,0.9029,7.364,0.9761
2024-01-13 00:00:00,7.0593,0.9999,5.8772,0.9578
2024-01-13 01:00:00,6.9084,1.0,7.2859,1.0
2024-01-13 02:00:00,7.4574,1.0,6.5585,0.9471
2024-01-13 03:00:00,7.9772,0.9747,7.3838,1.0
2024-01-13 04:00:00,7.5015,0.9968,6.559,1.0
2024-01-13 05:00:00,7.4553,0.9302,6.6151,0.9491
2024-01-13 06:00:00,7.2704,0.9578,6.9511,0.9272
2024-01-13 07:00:00,8.3416,0.956,5.7837,0.958
2024-01-13 08:00:00,6.1109,0.9065,6.1727,0.9284
2024-01-13 09:00:00,7.7029,0.946,6.8445,0.9507
2024-01-13 10:00:00,7.8007,0.9763,6.2539,0.923
2024-01-13 11:00:00,6.9506,1.0,6.9083,0.9713
2024-01-13 12:00:00,7.3122,0.9687,7.1833,0.9491
2024-01-13 13:00:00,6.9697,0.987,6.9766,0.9719
2024-01-13 14:00:00,6.9818,0.9466,7.6601,0.9383
2024-01-13 15:00:00,7.4255,0.9403,7.3559,0.9557
2024-01-13 16:00:00,6.1287,0.9911,7.3733,0.8878
2024-01-13 17:00:00,6.1729,0.9379,7.0688,0.8468
2024-01-13 18:00:00,7.4007,0.8817,7.0645,0.9144
2024-01-13 19:00:00,7.2783,0.8836,6.9421,0.9451
2024-01-13 20:00:00,7.0075,0.9446,5.8306,0.906
2024-01-13 21:00:00,6.1046,0.9396,6.9056,0.8926
2024-01-13 22:00:00,7.1178,0.9955,5.6548,0.9799
2024-01-13 23:00:00,8.9508,0.9476,6.1096,1.0
2024-01-14 00:00:00,7.4476,0.9257,7.1038,0.9566
2024-01-14 01:00:00,7.3025,0.9027,7.5782,0.8801
2024-01-14 02:00:00,6.12,0.894,7.304,0.9059
2024-01-14 03:00:00,7.0041,0.9426,7.2297,1.0
2024-01-14 04:00:00,5.971,0.9832,6.7691,0.9778
2024-01-14 05:00:00,7.1151,0.8958,6.2281,0.9693
2024-01-14 06:00:00,6.5135,0.9028,7.1072,0.915
2024-01-14 07:00:00,6.9474,0.9022,6.7605,0.9522
2024-01-14 08:00:00,7.3744,0.9846,6.7649,0.9103
2024-01-14 09:00:00,6.5759,0.9443,6.4977,0.8851
2024-01-14 10:00:00,6.6003,0.8222,7.3207,0.9124
2024-01-14 11:00:00,7.3421,0.9467,8.0779,0.9823
2024-01-14 12:00:00,7.2575,0.8838,7.2006,0.9943
2024-01-14 13:00:00,6.1972,1.0,5.5445,0.9336
2024-01-14 14:00:00,6.339,0.9582,5.9848,0.9117
2024-01-14 15:00:00,6.4755,0.9563,6.5437,0.9803
2024-01-14 16:00:00,6.5888,0.9588,7.4922,0.9449
2024-01-14 17:00:00,7.0672,0.9484,7.1891,0.9879
2024-01-14 18:00:00,7.5889,0.9379,6.5008,1.0
2024-01-14 19:00:00,7.7163,0.9501,7.88,1.0
2024-01-14 20:00:00,7.9776,0.989,6.4818,0.9844
2024-01-14 21:00:00,8.6049,1.0,6.4963,1.0
2024-01-14 22:00:00,5.8606,0.9279,6.7118,0.9457
2024-01-14 23:00:00,7.9497,1.0,6.6072,0.9752
2024-01-15 00:00:00,7.5532,0.927,7.4644,1.0
2024-01-15 01:00:00,7.326,0.9777,7.1845,0.8565
2024-01-15 02:00:00,6.2195,1.0,7.6379,0.9403
2024-01-15 03:00:00,7.3907,0.9541,6.7737,0.8602
2024-01-15 04:00:00,5.8272,0.9786,7.2246,0.932
2024-01-15 05:00:00,6.6719,1.0,7.2856,0.9697
2024-01-15 06:00:00,7.7972,1.0,6.0432,0.9547
2024-01-15 07:00:00,6.1348,0.954,5.0978,0.9008
2024-01-15 08:00:00,7.4936,0.9852,7.4904,0.9723
2024-01-15 09:00:00,7.4649,0.9674,6.4333,0.9414
2024-01-15 10:00:00,6.94,1.0,6.1836,0.8879
2024-01-15 11:00:00,6.8501,0.9212,8.2208,0.903
2024-01-15 12:00:00,5.2304,0.8497,7.718,0.9402
2024-01-15 13:00:00,6.6605,0.8843,7.0635,0.9402
2024-01-15 14:00:00,7.9099,0.8934,6.4294,0.9694
2024-01-15 15:00:00,6.9392,0.9375,7.3106,0.9269
2024-01-15 16:00:00,6.391,1.0,5.5017,0.9664
2024-01-15 17:00:00,6.8081,0.9821,7.0835,1.0
2024-01-15 18:00:00,7.7614,0.9764,7.1772,0.9571
2024-01-15 19:00:00,7.6259,0.9538,6.6147,0.8687
2024-01-15 20:00:00,6.7326,0.941,7.036,0.9438
2024-01-15 21:00:00,7.8253,0.8969,6.5509,0.9281
2024-01-15 22:00:00,7.4335,0.9942,7.0931,0.9853
2024-01-15 23:00:00,6.9344,0.9356,6.4468,1.0
2024-01-16 00:00:00,6.1024,0.8378,7.3907,0.8808
2024-01-16 01:00:00,6.6732,0.951,6.0467,0.906
2024-01-16 02:00:00,6.4022,0.9294,6.2643,0.9475
2024-01-16 03:00:00,5.7815,0.9151,7.0849,0.8594
2024-01-16 04:00:00,6.0689,0.9416,7.0766,0.9611
2024-01-16 05:00:00,6.5529,0.9385,6.8986,0.9609
2024-01-16 06:00:00,5.8379,0.9977,6.7,0.9967
2024-01-16 07:00:00,6.4201,0.948,7.7214,0.9992
2024-01-16 08:00:00,6.6298,0.8815,7.1585,0.9539
2024-01-16 09:00:00,6.0786,0.9147,7.3442,0.9487
2024-01-16 10:00:00,6.794,0.8911,7.1957,0.9421
2024-01-16 11:00:00,7.1865,0.9112,6.845,0.8975
2024-01-16 12:00:00,7.272,1.0,7.7686,0.9023
2024-01-16 13:00:00,6.5064,0.9906,8.0466,0.9173
2024-01-16 14:00:00,5.2076,1.0,6.1766,0.9464
2024-01-16 15:00:00,7.4529,0.8681,7.0756,0.9778
2024-01-16 16:00:00,6.9584,0.8269,6.9258,0.9283
2024-01-16 17:00:00,6.9735,1.0,7.0263,1.0
2024-01-16 18:00:00,7.9248,0.942,6.7044,0.9749
2024-01-16 19:00:00,5.5299,0.9011,7.9829,0.8736
2024-01-16 20:00:00,6.7735,1.0,6.1197,0.9326
2024-01-16 21:00:00,6.8014,0.9056,6.9046,1.0
2024-01-16 22:00:00,6.5472,0.9363,6.95,0.9027
2024-01-16 23:00:00,6.897,0.9799,6.8367,0.9415
2024-01-17 00:00:00,7.4834,0.9764,8.5913,0.8406
2024-01-17 01:00:00,7.2334,0.956,7.446,0.9885
2024-01-17 02:00:00,6.8977,0.9315,8.219,0.9311
2024-01-17 03:00:00,6.1111,1.0,6.9383,0.9419
2024-01-17 04:00:00,6.6093,0.926,6.8116,0.9694
2024-01-17 05:00:00,5.7173,0.9507,7.259,1.0
2024-01-17 06:00:00,7.269,0.9574,6.9024,1.0
2024-01-17 07:00:00,7.7999,0.9094,7.3509,0.9045
2024-01-17 08:00:00,6.9596,0.8847,7.2617,0.9514
2024-01-17 09:00:00,6.753,1.0,6.6729,0.9421
2024-01-17 10:00:00,7.1167,0.9577,6.1742,0.9656
2024-01-17 11:00:00,6.2649,0.9187,6.9821,0.9441
2024-01-17 12:00:00,6.5574,0.9635,7.5231,0.8833
2024-01-17 13:00:00,6.8193,0.9192,7.4168,0.8517
2024-01-17 14:00:00,6.8861,0.9683,6.6165,0.9766
2024-01-17 15:00:00,5.4793,1.0,6.9335,0.9963
2024-01-17 16:00:00,6.5585,0.992,6.7246,0.9745
2024-01-17 17:00:00,7.3296,1.0,6.2007,0.9864
2024-01-17 18:00:00,6.9728,0.9859,5.8318,0.9581
2024-01-17 19:00:00,6.5167,0.9313,5.9196,0.9148
2024-01-17 20:00:00,7.6116,0.9339,7.3802,0.9098
2024-01-17 21:00:00,6.3343,0.9457,7.6829,0.967
2024-01-17 22:00:00,7.9715,0.8998,6.8114,0.9078
2024-01-17 23:00:00,8.4714,0.9273,6.3515,0.982
2024-01-18 00:00:00,7.2617,0.9519,7.6677,1.0
2024-01-18 01:00:00,6.1937,1.0,6.5581,1.0
2024-01-18 02:00:00,6.6175,0.8874,7.4193,0.9923
2024-01-18 03:00:00,6.4367,0.9206,6.4171,0.957
2024-01-18 04:00:00,6.3809,0.9483,7.0683,0.9988
2024-01-18 05:00:00,7.2145,0.9247,6.597,0.9646
2024-01-18 06:00:00,8.5635,0.9916,6.9962,0.9844
2024-01-18 07:00:00,6.5317,0.8917,8.074,1.0
2024-01-18 08:00:00,7.5087,0.911,6.6307,0.9909
2024-01-18 09:00:00,8.4925,0.9404,5.8699,0.8773
2024-01-18 10:00:00,6.5558,0.8954,7.4097,1.0
2024-01-18 11:00:00,5.9847,1.0,7.9975,0.9937
2024-01-18 12:00:00,5.7755,0.93,6.2297,0.9468
2024-01-18 13:00:00,7.6963,0.9861,7.1286,0.9498
2024-01-18 14:00:00,6.8119,0.797,6.1738,0.9868
2024-01-18 15:00:00,6.8037,0.9034,5.5618,1.0
2024-01-18 16:00:00,7.3702,0.8619,6.567,0.9432
2024-01-18 17:00:00,5.6481,0.9963,7.1765,1.0
2024-01-18 18:00:00,6.1021,0.897,7.7599,0.9957
2024-01-18 19:00:00,6.1367,0.9323,5.8207,0.9918
