Timestamp,mileage_factor_RegUp_NYISO,performance_factor_RegUp_NYISO,mileage_factor_RegDown_NYISO,performance_factor_RegDown_NYISO
2024-01-03 10:00:00,12.1909,0.9548,12.1909,0.9548
2024-01-03 11:00:00,14.0104,0.9355,14.0104,0.9355
2024-01-03 12:00:00,14.876,1.0,14.876,1.0
2024-01-03 13:00:00,12.1378,0.8728,12.1378,0.8728
2024-01-03 14:00:00,11.3288,0.8225,11.3288,0.8225
2024-01-03 15:00:00,12.6155,0.9852,12.6155,0.9852
2024-01-03 16:00:00,15.2333,0.9075,15.2333,0.9075
2024-01-03 17:00:00,11.4879,1.0,11.4879,1.0
2024-01-03 18:00:00,13.4321,0.9456,13.4321,0.9456
2024-01-03 19:00:00,13.087,0.945,13.087,0.945
2024-01-03 20:00:00,12.7849,0.9842,12.7849,0.9842
2024-01-03 21:00:00,12.3491,0.9335,12.3491,0.9335
2024-01-03 22:00:00,13.1907,0.9679,13.1907,0.9679
2024-01-03 23:00:00,12.1715,0.9185,12.1715,0.9185
2024-01-04 00:00:00,16.8141,1.0,16.8141,1.0
2024-01-04 01:00:00,12.8095,0.9808,12.8095,0.9808
2024-01-04 02:00:00,13.3957,1.0,13.3957,1.0
2024-01-04 03:00:00,13.7822,0.9793,13.7822,0.9793
2024-01-04 04:00:00,12.339,0.8972,12.339,0.8972
2024-01-04 05:00:00,12.8419,0.9845,12.8419,0.9845
2024-01-04 06:00:00,14.2721,0.9293,14.2721,0.9293
2024-01-04 07:00:00,12.5728,0.9976,12.5728,0.9976
2024-01-04 08:00:00,11.9141,0.8732,11.9141,0.8732
2024-01-04 09:00:00,13.2971,1.0,13.2971,1.0
2024-01-04 10:00:00,11.2086,0.9785,11.2086,0.9785
2024-01-04 11:00:00,11.1333,0.9546,11.1333,0.9546
2024-01-04 12:00:00,13.1406,0.9282,13.1406,0.9282
2024-01-04 13:00:00,12.7587,0.9898,12.7587,0.9898
2024-01-04 14:00:00,13.4456,0.916,13.4456,0.916
2024-01-04 15:00:00,15.8588,0.9723,15.8588,0.9723
2024-01-04 16:00:00,11.6326,0.9552,11.6326,0.9552
2024-01-04 17:00:00,11.9915,0.9196,11.9915,0.9196
2024-01-04 18:00:00,11.4561,0.9605,11.4561,0.9605
2024-01-04 19:00:00,13.532,0.9607,13.532,0.9607
2024-01-04 20:00:00,12.4751,0.9592,12.4751,0.9592
2024-01-04 21:00:00,11.1605,0.9313,11.1605,0.9313
2024-01-04 22:00:00,14.0397,0.9442,14.0397,0.9442
2024-01-04 23:00:00,13.5727,0.9347,13.5727,0.9347
2024-01-05 00:00:00,12.5829,0.9048,12.5829,0.9048
2024-01-05 01:00:00,14.0338,0.9093,14.0338,0.9093
2024-01-05 02:00:00,13.4643,0.9432,13.4643,0.9432
2024-01-05 03:00:00,12.4098,0.9526,12.4098,0.9526
2024-01-05 04:00:00,13.0622,0.9881,13.0622,0.9881
2024-01-05 05:00:00,13.9754,0.9412,13.9754,0.9412
2024-01-05 06:00:00,13.5672,0.9063,13.5672,0.9063
2024-01-05 07:00:00,12.021,1.0,12.021,1.0
2024-01-05 08:00:00,13.2634,1.0,13.2634,1.0
2024-01-05 09:00:00,11.0969,1.0,11.0969,1.0
2024-01-05 10:00:00,12.7383,0.9465,12.7383,0.9465
2024-01-05 11:00:00,11.896,1.0,11.896,1.0
2024-01-05 12:00:00,13.5361,0.9698,13.5361,0.9698
2024-01-05 13:00:00,12.5683,0.9202,12.5683,0.9202
2024-01-05 14:00:00,10.6834,1.0,10.6834,1.0
2024-01-05 15:00:00,11.3905,0.9636,11.3905,0.9636
2024-01-05 16:00:00,12.1089,0.8718,12.1089,0.8718
2024-01-05 17:00:00,14.0463,0.9187,14.0463,0.9187
2024-01-05 18:00:00,12.9554,0.9161,12.9554,0.9161
2024-01-05 19:00:00,13.3756,0.7971,13.3756,0.7971
2024-01-05 20:00:00,10.9843,0.9452,10.9843,0.9452
2024-01-05 21:00:00,12.0373,0.8919,12.0373,0.8919
2024-01-05 22:00:00,13.4152,0.9941,13.4152,0.9941
2024-01-05 23:00:00,13.3396,0.9331,13.3396,0.9331
2024-01-06 00:00:00,10.7357,0.898,10.7357,0.898
2024-01-06 01:00:00,13.8901,0.9683,13.8901,0.9683
2024-01-06 02:00:00,12.5053,0.9652,12.5053,0.9652
2024-01-06 03:00:00,10.9715,1.0,10.9715,1.0
2024-01-06 04:00:00,13.1493,0.8911,13.1493,0.8911
2024-01-06 05:00:00,14.7738,0.9349,14.7738,0.9349
2024-01-06 06:00:00,14.5816,0.963,14.5816,0.963
2024-01-06 07:00:00,11.3381,0.9053,11.3381,0.9053
2024-01-06 08:00:00,13.7864,0.8937,13.7864,0.8937
2024-01-06 09:00:00,9.4249,0.9969,9.4249,0.9969
2024-01-06 10:00:00,13.8725,0.9424,13.8725,0.9424
2024-01-06 11:00:00,15.2529,1.0,15.2529,1.0
2024-01-06 12:00:00,11.7316,1.0,11.7316,1.0
2024-01-06 13:00:00,14.4475,0.8865,14.4475,0.8865
2024-01-06 14:00:00,12.9185,0.8916,12.9185,0.8916
2024-01-06 15:00:00,13.4555,1.0,13.4555,1.0
2024-01-06 16:00:00,13.7281,0.8933,13.7281,0.8933
2024-01-06 17:00:00,9.9655,1.0,9.9655,1.0
2024-01-06 18:00:00,12.1519,0.9605,12.1519,0.9605
2024-01-06 19:00:00,11.7075,0.8516,11.7075,0.8516
2024-01-06 20:00:00,13.7238,0.9876,13.7238,0.9876
2024-01-06 21:00:00,11.9657,0.9542,11.9657,0.9542
2024-01-06 22:00:00,14.4431,0.9096,14.4431,0.9096
2024-01-06 23:00:00,13.8096,0.898,13.8096,0.898
2024-01-07 00:00:00,14.2474,0.9738,14.2474,0.9738
2024-01-07 01:00:00,12.5077,0.8865,12.5077,0.8865
2024-01-07 02:00:00,10.7995,0.891,10.7995,0.891
2024-01-07 03:00:00,14.9919,0.9853,14.9919,0.9853
2024-01-07 04:00:00,11.8643,0.8703,11.8643,0.8703
2024-01-07 05:00:00,12.5002,0.9485,12.5002,0.9485
2024-01-07 06:00:00,14.3467,0.8741,14.3467,0.8741
2024-01-07 07:00:00,13.8443,0.9705,13.8443,0.9705
2024-01-07 08:00:00,13.7584,0.867,13.7584,0.867
2024-01-07 09:00:00,13.675,0.9747,13.675,0.9747
2024-01-07 10:00:00,14.4847,0.9421,14.4847,0.9421
2024-01-07 11:00:00,13.7483,0.9521,13.7483,0.9521
2024-01-07 12:00:00,13.9769,0.9471,13.9769,0.9471
2024-01-07 13:00:00,13.4945,1.0,13.4945,1.0
2024-01-07 14:00:00,15.2873,0.999,15.2873,0.999
2024-01-07 15:00:00,13.09,0.9781,13.09,0.9781
2024-01-07 16:00:00,15.1995,0.9572,15.1995,0.9572
2024-01-07 17:00:00,13.42,0.9367,13.42,0.9367
2024-01-07 18:00:00,12.8624,0.9765,12.8624,0.9765
2024-01-07 19:00:00,14.3609,0.9221,14.3609,0.9221
2024-01-07 20:00:00,11.5587,0.9423,11.5587,0.9423
2024-01-07 21:00:00,13.8976,0.938,13.8976,0.938
2024-01-07 22:00:00,12.6886,0.9495,12.6886,0.9495
2024-01-07 23:00:00,12.4337,1.0,12.4337,1.0
2024-01-08 00:00:00,11.2172,1.0,11.2172,1.0
2024-01-08 01:00:00,10.6833,0.9431,10.6833,0.9431
2024-01-08 02:00:00,12.9171,0.9816,12.9171,0.9816
2024-01-08 03:00:00,11.578,0.9285,11.578,0.9285
2024-01-08 04:00:00,11.6551,0.9699,11.6551,0.9699
2024-01-08 05:00:00,13.6263,0.8507,13.6263,0.8507
2024-01-08 06:00:00,11.6893,0.9343,11.6893,0.9343
2024-01-08 07:00:00,9.9333,0.9398,9.9333,0.9398
2024-01-08 08:00:00,13.1848,0.9097,13.1848,0.9097
2024-01-08 09:00:00,15.2725,0.9536,15.2725,0.9536
2024-01-08 10:00:00,12.0443,0.9643,12.0443,0.9643
2024-01-08 11:00:00,12.1394,0.9948,12.1394,0.9948
2024-01-08 12:00:00,12.5237,0.9983,12.5237,0.9983
2024-01-08 13:00:00,13.7209,0.9101,13.7209,0.9101
2024-01-08 14:00:00,16.0402,0.9886,16.0402,0.9886
2024-01-08 15:00:00,11.9735,0.9707,11.9735,0.9707
2024-01-08 16:00:00,13.9887,0.9005,13.9887,0.9005
2024-01-08 17:00:00,12.7501,0.9566,12.7501,0.9566
2024-01-08 18:00:00,14.4557,0.9624,14.4557,0.9624
2024-01-08 19:00:00,12.695,0.9204,12.695,0.9204
2024-01-08 20:00:00,10.9833,0.8882,10.9833,0.8882
2024-01-08 21:00:00,13.8459,0.9324,13.8459,0.9324
2024-01-08 22:00:00,13.7933,0.9564,13.7933,0.9564
2024-01-08 23:00:00,13.9758,0.8631,13.9758,0.8631
2024-01-09 00:00:00,13.0593,0.8858,13.0593,0.8858
2024-01-09 01:00:00,12.8721,0.8852,12.8721,0.8852
2024-01-09 02:00:00,13.7092,1.0,13.7092,1.0
2024-01-09 03:00:00,12.6652,0.9207,12.6652,0.9207
2024-01-09 04:00:00,10.0539,1.0,10.0539,1.0
2024-01-09 05:00:00,14.4878,0.9085,14.4878,0.9085
2024-01-09 06:00:00,12.9843,0.9497,12.9843,0.9497
2024-01-09 07:00:00,12.6787,0.9949,12.6787,0.9949
2024-01-09 08:00:00,14.8672,1.0,14.8672,1.0
2024-01-09 09:00:00,12.4802,1.0,12.4802,1.0
2024-01-09 10:00:00,12.9434,1.0,12.9434,1.0
2024-01-09 11:00:00,12.8355,0.9235,12.8355,0.9235
2024-01-09 12:00:00,13.7208,0.9603,13.7208,0.9603
2024-01-09 13:00:00,11.847,1.0,11.847,1.0
2024-01-09 14:00:00,14.6584,1.0,14.6584,1.0
2024-01-09 15:00:00,12.009,0.9751,12.009,0.9751
2024-01-09 16:00:00,12.5926,0.9185,12.5926,0.9185
2024-01-09 17:00:00,13.4456,0.9578,13.4456,0.9578
2024-01-09 18:00:00,13.2616,0.9456,13.2616,0.9456
2024-01-09 19:00:00,12.865,0.9672,12.865,0.9672
2024-01-09 20:00:00,11.0337,0.9011,11.0337,0.9011
2024-01-09 21:00:00,12.7135,0.9838,12.7135,0.9838
2024-01-09 22:00:00,12.7947,0.9423,12.7947,0.9423
2024-01-09 23:00:00,12.3634,1.0,12.3634,1.0
2024-01-10 00:00:00,12.2244,0.9729,12.2244,0.9729
2024-01-10 01:00:00,13.3444,0.9161,13.3444,0.9161
2024-01-10 02:00:00,14.0979,0.9775,14.0979,0.9775
2024-01-10 03:00:00,14.5103,1.0,14.5103,1.0
2024-01-10 04:00:00,14.8718,0.9296,14.8718,0.9296
2024-01-10 05:00:00,13.3123,0.8171,13.3123,0.8171
2024-01-10 06:00:00,11.6413,0.9757,11.6413,0.9757
2024-01-10 07:00:00,13.5887,0.9713,13.5887,0.9713
2024-01-10 08:00:00,14.349,0.9145,14.349,0.9145
2024-01-10 09:00:00,12.2016,0.9685,12.2016,0.9685
2024-01-10 10:00:00,11.7704,0.9697,11.7704,0.9697
2024-01-10 11:00:00,12.5837,1.0,12.5837,1.0
2024-01-10 12:00:00,13.4609,0.982,13.4609,0.982
2024-01-10 13:00:00,13.9346,0.945,13.9346,0.945
2024-01-10 14:00:00,13.4184,0.9472,13.4184,0.9472
2024-01-10 15:00:00,14.2802,0.9884,14.2802,0.9884
2024-01-10 16:00:00,14.4461,0.9854,14.4461,0.9854
2024-01-10 17:00:00,12.1848,0.9948,12.1848,0.9948
2024-01-10 18:00:00,12.2885,0.9152,12.2885,0.9152
2024-01-10 19:00:00,13.3011,0.9506,13.3011,0.9506
2024-01-10 20:00:00,14.9234,0.8982,14.9234,0.8982
2024-01-10 21:00:00,14.1826,0.9366,14.1826,0.9366
2024-01-10 22:00:00,15.0498,0.9145,15.0498,0.9145
2024-01-10 23:00:00,12.7368,1.0,12.7368,1.0
2024-01-11 00:00:00,12.0267,1.0,12.0267,1.0
2024-01-11 01:00:00,13.6861,0.9212,13.6861,0.9212
2024-01-11 02:00:00,14.4099,0.9195,14.4099,0.9195
2024-01-11 03:00:00,13.0016,0.8862,13.0016,0.8862
2024-01-11 04:00:00,14.599,0.9122,14.599,0.9122
2024-01-11 05:00:00,13.2119,0.8912,13.2119,0.8912
2024-01-11 06:00:00,13.2185,0.9434,13.2185,0.9434
2024-01-11 07:00:00,12.4288,0.9258,12.4288,0.9258
2024-01-11 08:00:00,11.8456,1.0,11.8456,1.0
2024-01-11 09:00:00,12.5825,0.9313,12.5825,0.9313
2024-01-11 10:00:00,13.1048,0.944,13.1048,0.944
2024-01-11 11:00:00,12.1382,0.9189,12.1382,0.9189
2024-01-11 12:00:00,16.539,0.876,16.539,0.876
2024-01-11 13:00:00,11.4837,0.9996,11.4837,0.9996
2024-01-11 14:00:00,14.5632,0.9316,14.5632,0.9316
2024-01-11 15:00:00,14.5447,0.9313,14.5447,0.9313
2024-01-11 16:00:00,12.3758,0.9842,12.3758,0.9842
2024-01-11 17:00:00,11.5871,0.9359,11.5871,0.9359
2024-01-11 18:00:00,12.6572,0.9589,12.6572,0.9589
2024-01-11 19:00:00,12.7053,0.9591,12.7053,0.9591
2024-01-11 20:00:00,12.5207,0.9093,12.5207,0.9093
2024-01-11 21:00:00,13.4482,0.9085,13.4482,0.9085
2024-01-11 22:00:00,11.979,0.9696,11.979,0.9696
2024-01-11 23:00:00,14.1417,0.9266,14.1417,0.9266
2024-01-12 00:00:00,12.6301,0.9992,12.6301,0.9992
2024-01-12 01:00:00,11.5247,0.9251,11.5247,0.9251
2024-01-12 02:00:00,13.8932,0.9879,13.8932,0.9879
2024-01-12 03:00:00,14.9814,0.8809,14.9814,0.8809
2024-01-12 04:00:00,12.1482,0.9678,12.1482,0.9678
2024-01-12 05:00:00,14.2186,0.9288,14.2186,0.9288
2024-01-12 06:00:00,13.2369,0.9464,13.2369,0.9464
2024-01-12 07:00:00,13.554,0.9658,13.554,0.9658
2024-01-12 08:00:00,12.5551,0.9216,12.5551,0.9216
2024-01-12 09:00:00,12.9394,0.8873,12.9394,0.8873
2024-01-12 10:00:00,12.1991,1.0,12.1991,1.0
2024-01-12 11:00:00,11.4915,0.9749,11.4915,0.9749
2024-01-12 12:00:00,12.5633,0.8929,12.5633,0.8929
2024-01-12 13:00:00,11.4715,0.8994,11.4715,0.8994
2024-01-12 14:00:00,12.9271,1.0,12.9271,1.0
2024-01-12 15:00:00,13.1091,0.8943,13.1091,0.8943
2024-01-12 16:00:00,14.9866,0.9859,14.9866,0.9859
2024-01-12 17:00:00,11.5171,1.0,11.5171,1.0
2024-01-12 18:00:00,14.5319,0.9673,14.5319,0.9673
2024-01-12 19:00:00,15.2275,0.9305,15.2275,0.9305
2024-01-12 20:00:00,14.0434,0.9168,14.0434,0.9168
2024-01-12 21:00:00,14.5444,0.9305,14.5444,0.9305
2024-01-12 22:00:00,14.3621,0.919,14.3621,0.919
2024-01-12 23:00:00,13.3875,1.0,13.3875,1.0
2024-01-13 00:00:00,12.1225,0.9492,12.1225,0.9492
2024-01-13 01:00:00,13.2908,0.9189,13.2908,0.9189
2024-01-13 02:00:00,12.5954,0.9642,12.5954,0.9642
2024-01-13 03:00:00,12.924,1.0,12.924,1.0
2024-01-13 04:00:00,11.8292,1.0,11.8292,1.0
2024-01-13 05:00:00,13.8446,1.0,13.8446,1.0
2024-01-13 06:00:00,12.4355,1.0,12.4355,1.0
2024-01-13 07:00:00,11.2718,1.0,11.2718,1.0
2024-01-13 08:00:00,15.5441,0.8182,15.5441,0.8182
2024-01-13 09:00:00,14.8697,0.9297,14.8697,0.9297
2024-01-13 10:00:00,12.8304,1.0,12.8304,1.0
2024-01-13 11:00:00,12.9793,0.9811,12.9793,0.9811
2024-01-13 12:00:00,12.9821,0.8641,12.9821,0.8641
2024-01-13 13:00:00,14.7265,0.9704,14.7265,0.9704
2024-01-13 14:00:00,14.7121,0.9655,14.7121,0.9655
2024-01-13 15:00:00,12.7513,0.905,12.7513,0.905
2024-01-13 16:00:00,13.8753,0.9225,13.8753,0.9225
2024-01-13 17:00:00,15.8891,1.0,15.8891,1.0
2024-01-13 18:00:00,10.6532,0.9711,10.6532,0.9711
2024-01-13 19:00:00,14.2258,0.998,14.2258,0.998
2024-01-13 20:00:00,12.0182,0.9716,12.0182,0.9716
2024-01-13 21:00:00,12.3993,0.974,12.3993,0.974
2024-01-13 22:00:00,14.1123,0.9256,14.1123,0.9256
2024-01-13 23:00:00,10.8892,0.9254,10.8892,0.9254
2024-01-14 00:00:00,12.2411,0.9345,12.2411,0.9345
2024-01-14 01:00:00,12.0957,0.9292,12.0957,0.9292
2024-01-14 02:00:00,13.9108,1.0,13.9108,1.0
2024-01-14 03:00:00,13.0332,0.8865,13.0332,0.8865
2024-01-14 04:00:00,11.6583,0.9316,11.6583,0.9316
2024-01-14 05:00:00,13.2481,0.8922,13.2481,0.8922
2024-01-14 06:00:00,14.6938,0.9215,14.6938,0.9215
2024-01-14 07:00:00,11.8039,0.8708,11.8039,0.8708
2024-01-14 08:00:00,13.4172,0.9537,13.4172,0.9537
2024-01-14 09:00:00,10.349,0.9246,10.349,0.9246
2024-01-14 10:00:00,13.0915,0.9682,13.0915,0.9682
2024-01-14 11:00:00,14.301,1.0,14.301,1.0
2024-01-14 12:00:00,14.2147,0.9181,14.2147,0.9181
2024-01-14 13:00:00,13.1649,0.8834,13.1649,0.8834
2024-01-14 14:00:00,10.9738,0.9836,10.9738,0.9836
2024-01-14 15:00:00,12.7795,0.8773,12.7795,0.8773
2024-01-14 16:00:00,10.8856,0.8846,10.8856,0.8846
2024-01-14 17:00:00,12.5451,0.9593,12.5451,0.9593
2024-01-14 18:00:00,13.6158,0.9529,13.6158,0.9529
2024-01-14 19:00:00,12.7029,0.9713,12.7029,0.9713
2024-01-14 20:00:00,12.0129,0.9191,12.0129,0.9191
2024-01-14 21:00:00,13.8843,0.975,13.8843,0.975
2024-01-14 22:00:00,11.5826,1.0,11.5826,1.0
2024-01-14 23:00:00,14.2216,0.94,14.2216,0.94
2024-01-15 00:00:00,11.363,0.9995,11.363,0.9995
2024-01-15 01:00:00,12.6242,0.9007,12.6242,0.9007
2024-01-15 02:00:00,15.3605,0.9387,15.3605,0.9387
2024-01-15 03:00:00,13.0939,1.0,13.0939,1.0
2024-01-15 04:00:00,13.3858,0.8865,13.3858,0.8865
2024-01-15 05:00:00,14.9405,0.9438,14.9405,0.9438
2024-01-15 06:00:00,11.7149,0.983,11.7149,0.983
2024-01-15 07:00:00,13.797,1.0,13.797,1.0
2024-01-15 08:00:00,12.4457,0.8566,12.4457,0.8566
2024-01-15 09:00:00,11.1426,0.8745,11.1426,0.8745
2024-01-15 10:00:00,14.7324,0.9484,14.7324,0.9484
2024-01-15 11:00:00,11.9576,0.9732,11.9576,0.9732
2024-01-15 12:00:00,13.043,0.9065,13.043,0.9065
2024-01-15 13:00:00,15.6716,0.9273,15.6716,0.9273
2024-01-15 14:00:00,12.4291,0.8942,12.4291,0.8942
2024-01-15 15:00:00,10.4415,1.0,10.4415,1.0
2024-01-15 16:00:00,11.1749,0.9974,11.1749,0.9974
2024-01-15 17:00:00,10.3525,0.9423,10.3525,0.9423
2024-01-15 18:00:00,13.9172,0.9804,13.9172,0.9804
2024-01-15 19:00:00,12.8476,0.9697,12.8476,0.9697
2024-01-15 20:00:00,13.0279,0.8804,13.0279,0.8804
2024-01-15 21:00:00,13.4711,0.965,13.4711,0.965
2024-01-15 22:00:00,10.0555,0.8849,10.0555,0.8849
2024-01-15 23:00:00,11.195,0.908,11.195,0.908
2024-01-16 00:00:00,10.5877,0.9613,10.5877,0.9613
2024-01-16 01:00:00,13.2165,0.9043,13.2165,0.9043
2024-01-16 02:00:00,13.3085,0.9495,13.3085,0.9495
2024-01-16 03:00:00,11.0786,1.0,11.0786,1.0
2024-01-16 04:00:00,10.0461,1.0,10.0461,1.0
2024-01-16 05:00:00,13.1152,1.0,13.1152,1.0
2024-01-16 06:00:00,11.1764,0.9963,11.1764,0.9963
2024-01-16 07:00:00,13.5749,0.9348,13.5749,0.9348
2024-01-16 08:00:00,14.5205,0.9291,14.5205,0.9291
2024-01-16 09:00:00,12.6686,0.9625,12.6686,0.9625
2024-01-16 10:00:00,12.2137,0.9756,12.2137,0.9756
2024-01-16 11:00:00,13.3506,0.9555,13.3506,0.9555
2024-01-16 12:00:00,15.0091,0.9229,15.0091,0.9229
2024-01-16 13:00:00,12.5722,0.9413,12.5722,0.9413
2024-01-16 14:00:00,14.6904,1.0,14.6904,1.0
2024-01-16 15:00:00,13.6031,0.9683,13.6031,0.9683
2024-01-16 16:00:00,14.7958,0.9854,14.7958,0.9854
2024-01-16 17:00:00,12.2814,1.0,12.2814,1.0
2024-01-16 18:00:00,11.8244,1.0,11.8244,1.0
2024-01-16 19:00:00,13.9781,0.9816,13.9781,0.9816
2024-01-16 20:00:00,12.0882,0.9252,12.0882,0.9252
2024-01-16 21:00:00,12.7315,0.9623,12.7315,0.9623
2024-01-16 22:00:00,12.4905,1.0,12.4905,1.0
2024-01-16 23:00:00,11.2722,0.9344,11.2722,0.9344
2024-01-17 00:00:00,12.5713,0.9562,12.5713,0.9562
2024-01-17 01:00:00,14.3893,0.984,14.3893,0.984
2024-01-17 02:00:00,11.4889,0.9039,11.4889,0.9039
2024-01-17 03:00:00,13.4281,0.9598,13.4281,0.9598
2024-01-17 04:00:00,14.7929,0.9267,14.7929,0.9267
2024-01-17 05:00:00,13.883,1.0,13.883,1.0
2024-01-17 06:00:00,11.3199,0.9913,11.3199,0.9913
2024-01-17 07:00:00,14.0641,0.8954,14.0641,0.8954
2024-01-17 08:00:00,13.3642,0.9471,13.3642,0.9471
2024-01-17 09:00:00,11.9548,0.9215,11.9548,0.9215
2024-01-17 10:00:00,12.4999,0.9573,12.4999,0.9573
2024-01-17 11:00:00,12.7713,0.9738,12.7713,0.9738
2024-01-17 12:00:00,10.5369,0.9174,10.5369,0.9174
2024-01-17 13:00:00,14.4864,0.9904,14.4864,0.9904
2024-01-17 14:00:00,13.8189,0.8836,13.8189,0.8836
2024-01-17 15:00:00,11.4846,0.9225,11.4846,0.9225
2024-01-17 16:00:00,14.4093,0.9328,14.4093,0.9328
2024-01-17 17:00:00,10.8441,0.9929,10.8441,0.9929
2024-01-17 18:00:00,15.0015,0.8709,15.0015,0.8709
2024-01-17 19:00:00,14.2755,0.8506,14.2755,0.8506
2024-01-17 20:00:00,14.1354,0.9145,14.1354,0.9145
2024-01-17 21:00:00,12.2999,0.9567,12.2999,0.9567
2024-01-17 22:00:00,10.3851,1.0,10.3851,1.0
2024-01-17 23:00:00,12.2475,0.7994,12.2475,0.7994
2024-01-18 00:00:00,13.1238,0.9084,13.1238,0.9084
2024-01-18 01:00:00,13.4062,0.9381,13.4062,0.9381
2024-01-18 02:00:00,13.3384,0.9315,13.3384,0.9315
2024-01-18 03:00:00,12.9631,0.9713,12.9631,0.9713
2024-01-18 04:00:00,11.9782,0.9554,11.9782,0.9554
2024-01-18 05:00:00,13.7573,0.9573,13.7573,0.9573
2024-01-18 06:00:00,10.9646,0.936,10.9646,0.936
2024-01-18 07:00:00,10.492,0.9079,10.492,0.9079
2024-01-18 08:00:00,16.0705,0.9531,16.0705,0.9531
2024-01-18 09:00:00,13.7268,0.9631,13.7268,0.9631
2024-01-18 10:00:00,13.7042,0.9924,13.7042,0.9924
2024-01-18 11:00:00,12.0308,0.8564,12.0308,0.8564
2024-01-18 12:00:00,11.921,0.8784,11.921,0.8784
2024-01-18 13:00:00,12.4606,0.9288,12.4606,0.9288
2024-01-18 14:00:00,15.0693,0.9947,15.0693,0.9947
2024-01-18 15:00:00,12.5838,0.9803,12.5838,0.9803
2024-01-18 16:00:00,13.5887,0.8775,13.5887,0.8775
2024-01-18 17:00:00,12.1976,0.999,12.1976,0.999
2024-01-18 18:00:00,11.4392,0.9627,11.4392,0.9627
