HourOfYear,p_RegU_CAISO,loc_RegU_CAISO,p_RegD_CAISO,loc_RegD_CAISO,p_Spin_CAISO,loc_Spin_CAISO,p_NSpin_CAISO,loc_NSpin_CAISO,p_RMU_CAISO,loc_RMU_CAISO,p_RMD_CAISO,loc_RMD_CAISO
37,2.9057,0.0243,9.8279,-0.0985,14.3273,0.0086,13.8811,-0.2387,2.4733,-0.4352,3.0990,0.0162
38,7.1361,0.0398,7.7235,0.6128,13.3746,0.5159,10.1495,-0.1117,1.0492,0.0951,2.9756,0.1896
39,6.2125,-0.0158,10.8932,0.0459,14.0663,-0.1380,7.4327,0.0824,2.5998,-0.2791,1.4745,-0.2909
40,5.5923,-0.2126,12.1578,0.1215,9.3841,-0.0437,13.5301,-0.0770,3.7748,-0.0712,0.5918,0.2061
41,11.3558,-0.4752,8.5095,-0.4546,3.0000,0.3946,13.6722,-0.4736,1.7765,-0.0587,2.8280,0.1330
42,12.7073,-0.1882,4.9087,0.0427,5.2184,-0.4773,14.2322,0.0794,2.6426,-0.3273,1.7759,0.4480
43,6.7974,-0.7179,5.3370,-0.4048,7.3685,0.0860,12.6365,0.0518,1.9264,0.0181,2.2914,0.0896
44,7.8374,-0.1032,5.7490,-0.0611,11.9337,0.0633,9.6571,-0.0676,2.1913,-0.0965,1.1509,-0.0940
45,6.8437,-0.1537,6.1832,0.2223,3.0000,-0.0243,11.5930,0.1504,1.9507,-0.0710,3.5199,-0.2052
46,5.8663,-0.2919,8.6922,0.4214,10.3241,-0.2404,15.5206,-0.2691,2.6617,0.0752,2.0597,0.2318
47,6.3736,0.1002,6.7321,0.2899,7.3814,0.2840,15.3879,-0.1491,1.2794,-0.0686,1.0122,0.0112
48,6.4207,-0.0858,4.8824,0.0387,7.1944,-0.2837,15.0245,-0.4872,1.9079,0.1697,2.5938,-0.0473
49,7.8829,-0.0678,9.2765,0.3208,20.1691,-0.2156,6.0215,-0.1945,1.6366,0.0994,2.4396,0.2277
50,3.9907,0.3477,4.8856,0.4468,3.0000,-0.2476,7.3102,0.2543,0.8016,-0.0115,2.0982,-0.0760
51,8.2267,-0.0803,5.0330,-0.2470,9.7678,-0.2380,3.0000,-0.1553,3.7857,0.6153,2.0844,0.0546
52,4.4935,0.1134,3.9828,0.2769,3.0000,0.2805,8.4392,0.0343,3.8251,0.0482,1.8231,0.3478
53,7.9341,-0.2708,6.8555,-0.1878,8.9137,0.4107,8.8041,-0.3857,2.5704,0.2725,2.8603,-0.0338
54,5.1764,0.0639,6.2374,-0.0499,3.0000,0.0465,3.0000,-0.3587,3.0192,-0.6002,1.0111,0.0123
55,9.2931,-0.0256,5.7726,0.1065,5.3785,-0.2953,11.2563,-0.5260,1.7467,-0.3072,2.6855,-0.3133
56,5.0938,0.0231,4.2088,0.2999,6.5089,-0.3501,7.6905,0.0239,3.6388,0.0572,1.9606,-0.2669
57,9.2785,-0.3062,4.9129,-0.0553,9.1801,0.1815,3.0000,-0.0208,1.8950,-0.4532,0.5000,0.3955
58,2.0477,-0.2824,8.0670,-0.2712,4.8138,-0.2010,14.5488,-0.2193,2.1551,0.3406,2.1976,0.2260
59,8.2329,-0.0865,9.9832,-0.4383,11.0606,-0.4320,20.4741,-0.0437,1.6374,-0.0811,2.9327,-0.1125
60,7.4204,0.3327,11.7822,-0.0765,3.0000,-0.2563,9.0102,-0.1327,1.9727,-0.2587,4.1009,-0.2437
61,8.2542,-0.3601,6.4049,0.3549,8.5880,0.0910,3.0000,-0.3992,1.6682,0.1318,1.6001,0.3083
62,5.3656,0.4201,4.5338,-0.1294,7.7890,-0.5454,6.1051,-0.2053,1.5611,-0.1180,3.0225,-0.0141
63,7.8877,-0.1766,10.0933,0.2805,11.2555,-0.0296,3.0000,-0.4615,2.1368,0.2193,3.0657,0.1446
64,5.2260,0.0208,8.9902,-0.1943,15.9604,0.5345,13.9897,0.0059,2.2754,-0.0857,2.3086,-0.0575
65,9.3973,0.2507,6.0483,0.0231,9.7232,0.0645,9.2906,-0.1750,2.0021,0.1816,1.2740,-0.5352
66,9.4751,-0.0889,12.5954,0.0716,12.7877,0.0507,7.4634,-0.3359,1.8275,-0.3254,5.3463,0.2493
67,10.2373,-0.0609,2.0000,0.1946,4.7634,-0.4154,8.7230,-0.0043,2.3255,-0.0083,2.2507,0.0657
68,10.0133,0.3616,6.8705,-0.2672,4.8684,0.2247,8.2938,0.6045,2.8558,-0.3895,2.3438,0.0660
69,14.6588,0.2742,13.8883,-0.0778,10.9484,0.6138,9.6636,0.0536,0.8466,0.1895,3.2840,-0.2908
70,6.3773,0.1752,16.2339,0.2786,9.6477,-0.1682,4.0130,0.1440,0.5000,-0.0107,1.7774,-0.4761
71,7.8760,-0.0365,10.9966,-0.3458,3.0000,0.1538,9.4063,-0.3774,1.9670,-0.3859,2.7402,0.1611
72,18.3211,-0.0191,7.7727,0.1705,6.4522,0.1605,11.7110,-0.2958,2.2948,-0.2495,2.2224,0.1257
73,6.5555,-0.2681,8.3008,-0.3109,5.4378,-0.2104,3.0000,-0.0461,3.6158,-0.7552,0.5000,-0.1482
74,10.9756,-0.0710,2.0204,-0.0423,9.0490,-0.4799,4.6456,-0.2088,0.5000,0.1912,0.7283,-0.2199
75,7.4796,0.0168,4.4279,0.0131,8.7521,-0.1009,3.0000,-0.0156,1.0029,-0.2050,0.5000,-0.0266
76,14.1751,-0.0084,2.3217,-0.1694,3.9957,0.3735,11.7766,0.1794,0.9578,0.4854,1.4307,-0.3463
77,2.2767,0.0740,9.9013,0.1959,3.0000,-0.1118,6.8667,-0.0329,1.2822,-0.0974,2.8521,0.0606
78,2.0000,0.2779,8.6747,0.0386,7.4721,0.1350,3.0000,0.4642,2.0108,0.0855,0.8662,0.0982
79,3.4197,-0.3778,8.6301,0.1554,3.0000,0.2905,12.3294,-0.3474,2.2856,-0.0634,2.5266,-0.2437
80,6.2683,-0.1583,8.1509,-0.1659,6.1337,-0.5659,4.4337,-0.0500,0.5000,0.5418,1.2383,-0.0766
81,4.0787,0.2861,5.4466,0.3257,4.6069,-0.4023,8.3623,-0.0667,1.6262,0.3959,1.0462,0.1189
82,2.0000,0.6166,7.7654,0.1941,24.9437,0.1953,13.7627,0.0484,2.7603,0.1240,1.5018,0.0305
83,6.3392,-0.2684,7.0775,-0.0467,8.2579,-0.5030,3.6817,0.0257,1.2350,0.3223,3.1679,-0.0593
84,9.1093,-0.1563,8.1155,-0.2989,7.4690,-0.4445,10.3480,-0.2616,1.1627,-0.0544,0.9710,-0.4133
85,5.4369,-0.3272,7.8582,0.3415,7.6384,0.1269,3.8039,-0.3259,0.8790,0.2501,1.8773,-0.2126
86,12.1158,-0.5091,9.7952,-0.2463,15.5383,-0.0840,10.8868,-0.2187,0.6466,-0.3761,4.1634,0.7067
87,6.6137,0.0686,6.7046,0.1069,14.3119,0.1899,8.3532,-0.2714,2.5769,-0.2048,4.3788,0.1245
88,9.7423,0.1486,9.7324,0.0214,12.0054,-0.0421,14.3250,0.1230,1.6430,-0.2503,4.6280,-0.0467
89,7.9344,-0.0749,9.0985,-0.0207,11.7495,-0.2040,6.1318,-0.0524,1.4152,0.1340,0.8321,0.1939
90,10.4039,-0.0726,10.3905,-0.2831,3.2324,-0.0927,4.9249,-0.1580,3.1122,-0.2623,1.3405,0.2076
91,10.2431,-0.0278,6.5918,-0.2442,10.8282,0.2072,12.6192,0.4770,1.5592,-0.1619,1.9138,-0.0205
92,14.5475,-0.1422,7.9619,0.3607,13.4161,0.2873,17.2671,-0.0884,3.6174,-0.0528,1.8094,0.3327
93,10.2979,-0.0109,5.7437,0.0705,7.4691,-0.1745,9.6700,-0.3205,1.4912,-0.1693,2.4028,0.1743
94,6.8852,0.3467,13.9955,0.2410,12.6953,-0.1625,13.5147,0.3953,2.8579,-0.0994,2.6668,0.1266
95,9.5496,-0.2068,11.2969,-0.5593,8.8479,-0.0234,3.3144,-0.2351,0.9824,0.0426,1.8183,0.4166
96,8.7701,-0.0708,6.3194,-0.1199,9.4433,-0.0817,3.0000,0.4231,1.7602,0.0671,3.4552,0.0623
97,13.6123,-0.0319,8.8117,0.2027,8.8332,0.2008,4.3952,-0.2925,3.4821,0.3602,0.6312,-0.2315
98,6.6692,-0.1419,11.7469,-0.1586,12.6322,0.0306,6.0100,-0.0312,0.5000,0.1584,0.8308,-0.1335
99,6.4616,0.0170,11.5189,-0.4484,8.6891,-0.0760,3.0000,-0.0251,1.8977,-0.2951,1.9946,-0.4768
100,10.3177,-0.6250,7.5762,0.1718,3.0000,0.2957,3.0000,-0.2342,2.1702,0.1486,0.5000,0.0545
101,2.0000,0.1432,3.2641,-0.4887,8.6951,-0.4141,5.9149,0.1059,2.3554,0.1187,0.5000,-0.4335
102,5.6276,-0.2431,9.8643,0.1111,10.7112,0.0537,4.8579,0.1960,0.9555,0.1745,1.4651,-0.0530
103,8.5329,-0.2102,7.1509,0.0584,4.2410,0.1637,6.7122,-0.1284,0.5575,-0.1497,1.9628,0.1423
104,9.4854,-0.0419,5.3260,-0.0773,5.6713,-0.4681,7.1195,0.2144,2.2055,-0.0501,1.5391,-0.0699
105,2.0000,-0.3474,9.1678,0.0100,10.0443,-0.1230,6.2195,-0.1853,0.5000,0.0286,1.0019,-0.0369
106,3.9064,0.3328,5.9890,-0.0034,8.5048,-0.0251,3.1030,0.3401,0.5000,-0.2925,1.9581,-0.3410
107,2.0000,-0.2060,4.8172,0.2048,10.7554,-0.4687,17.8623,-0.3628,2.3373,-0.1466,2.5247,0.2036
108,11.1446,0.6582,12.3535,0.1243,19.3564,0.3703,18.1159,-0.3977,3.1381,0.2414,2.1529,0.1862
109,9.5633,0.1576,10.2957,0.2575,9.2294,0.4092,9.5333,0.0059,3.5309,-0.4404,3.2065,-0.6508
110,13.2687,-0.1421,11.4916,0.5082,9.2303,-0.0430,17.2510,-0.1031,1.1588,-0.2695,2.8517,-0.5218
111,7.9545,-0.0766,2.3286,-0.2014,7.0301,-0.1645,4.4206,-0.2864,2.5243,-0.3626,0.5000,0.1764
112,16.1591,0.0371,10.6909,-0.0348,10.7747,-0.3988,4.7163,-0.2619,2.9449,-0.2669,3.4475,0.2268
113,6.7233,0.4247,10.4237,-0.2087,7.2287,-0.0335,6.8645,-0.2056,3.1192,-0.2474,3.0625,-0.0105
114,10.2023,0.2376,10.2697,0.3094,16.4142,0.0053,8.4544,-0.0296,2.9715,0.0470,2.2708,0.0014
115,10.4008,0.2188,8.1542,-0.0542,3.0000,0.3284,7.0215,-0.1369,4.1807,-0.2297,2.6575,-0.0703
116,7.1562,-0.0764,7.7766,-0.0426,11.5987,0.4363,6.7802,-0.0314,3.6104,-0.3553,2.7347,0.0408
117,9.9832,-0.1417,13.4568,-0.0120,11.8253,-0.0849,6.7315,-0.2191,1.4192,0.3317,1.7499,0.0515
118,7.1877,0.1594,10.0350,-0.2050,5.6907,-0.0880,10.9500,0.0886,3.4620,0.0146,1.9498,0.2018
119,8.3584,0.3334,8.0781,-0.5898,4.5494,-0.4209,10.7149,0.0999,2.5258,0.4003,3.1018,0.4108
120,7.8081,-0.0345,6.2570,0.0719,11.2754,-0.2436,5.3164,0.0189,0.7331,-0.2872,2.4119,0.0204
121,9.9678,-0.1712,7.7859,-0.1720,15.2571,-0.0329,3.0000,-0.2779,2.1630,-0.2178,3.1905,-0.0233
122,5.2371,-0.2583,6.2408,0.0155,3.0000,-0.1367,3.0000,0.1382,0.7048,0.3013,2.1696,-0.0806
123,4.4018,-0.4184,4.6324,0.5930,11.6404,0.1426,3.0000,-0.1153,3.5775,-0.0895,1.6963,0.0915
124,5.9515,-0.1117,9.0688,0.4170,9.7339,0.3128,4.8503,-0.0236,0.6152,-0.4720,0.5000,-0.1140
125,5.0473,-0.0636,6.1773,-0.0688,3.0000,-0.1205,5.0874,-0.0510,1.9850,0.0173,0.9078,0.1958
126,5.2054,-0.0050,8.4202,0.0848,15.0536,0.3524,6.3743,0.4083,3.5303,0.1414,2.3871,-0.5670
127,2.0000,0.1354,8.3953,0.1451,5.3545,0.3414,8.9416,-0.2763,1.7675,0.1364,0.5000,-0.0048
128,9.3173,-0.1172,11.2529,0.1816,3.0000,-0.1420,13.1610,-0.0558,0.5623,-0.2651,0.6161,0.0536
129,9.3217,0.4488,7.6683,-0.1706,8.8339,-0.0681,3.0000,-0.0061,0.5000,0.0053,2.2485,0.0728
130,11.4660,-0.2847,2.9686,-0.1194,8.0917,-0.0320,8.9246,0.1197,0.5000,-0.0340,1.6324,-0.0215
131,6.8551,0.1707,8.6281,0.1932,3.6166,0.3638,11.8215,0.1645,1.4113,0.1440,3.0265,-0.2008
132,11.6852,-0.3049,8.9334,-0.1248,15.2572,0.1713,7.0087,-0.8449,2.4698,-0.3737,1.5585,-0.1966
133,5.1323,-0.2126,6.3646,0.2376,6.7402,0.0927,10.5790,0.1209,2.9921,-0.6080,2.7834,0.1457
134,3.7017,0.0703,10.5782,-0.1391,12.2675,0.4788,3.0000,0.3704,2.9914,0.1404,3.3516,0.0203
135,6.3649,0.2609,6.6810,0.3010,6.7971,0.2305,8.2978,-0.2591,2.3765,0.3493,2.4386,-0.0451
136,10.0040,-0.0699,6.0059,-0.1287,8.9818,0.5744,3.3335,-0.1740,0.7664,-0.1481,2.2582,0.2181
137,10.0046,0.0212,9.3200,0.1136,4.1492,-0.0843,7.2961,0.0249,2.1362,0.3387,2.0622,0.2089
138,13.0608,0.3157,6.3890,0.2217,17.3173,-0.1799,16.2160,-0.4046,0.5848,0.4937,2.2897,-0.1429
139,10.8864,-0.3055,9.0907,-0.1602,12.8493,-0.3312,6.9885,-0.2117,4.4308,-0.0676,3.8517,0.2311
140,14.9209,0.1925,9.8927,0.4583,5.2210,0.0086,12.2725,0.0874,2.2414,-0.0389,1.3850,-0.1249
141,9.2914,-0.1723,2.6145,0.3967,9.8449,0.2571,3.0000,-0.0547,1.7854,-0.3894,2.9350,-0.1981
142,9.6823,0.0608,8.2639,-0.0120,15.0646,-0.1089,7.1403,0.6222,2.6803,0.1344,1.9214,-0.0241
143,7.8207,0.1349,3.9468,0.1620,5.9827,-0.0784,3.3698,-0.4190,0.5000,0.0273,1.9684,-0.0181
144,8.8989,-0.2939,3.2698,0.1203,10.0353,0.1705,5.1587,-0.1658,2.4939,0.0514,1.4740,-0.1422
145,8.5507,-0.1866,7.5611,-0.0350,4.1863,-0.5678,3.0000,0.3829,0.9867,0.0549,2.7457,0.0853
146,3.8411,0.1665,6.0155,-0.4278,7.3380,-0.2890,9.5446,0.2828,0.5000,-0.1573,1.7481,-0.1407
147,8.3422,-0.0650,7.6264,-0.0804,3.0000,0.5367,3.0000,0.0738,1.9406,0.2736,2.2179,0.1290
148,13.2671,-0.1784,6.9716,-0.3530,4.6072,-0.3993,3.0000,-0.5744,2.8533,-0.0008,1.6501,-0.1270
149,4.2552,0.0487,8.5646,-0.0298,3.5870,0.5034,8.3585,0.1938,1.7894,0.5119,4.0221,-0.1139
150,6.6630,-0.2699,2.0000,0.5477,11.8714,-0.0322,4.1893,0.5926,1.3217,-0.1320,2.0844,0.0045
151,2.7835,-0.2957,7.2959,-0.1581,3.7144,0.2807,3.0000,0.3278,3.2943,-0.2103,1.0885,0.3921
152,9.4681,-0.5971,7.7285,-0.3519,3.2195,-0.0185,12.9546,-0.0618,2.0677,-0.2573,3.2269,-0.1802
153,9.0062,0.0899,3.0072,0.2183,9.7387,-0.3410,3.8943,0.1392,0.5000,0.1919,1.6719,0.0498
154,3.2874,0.0080,7.3979,0.0518,4.3316,0.1310,13.8379,-0.2151,2.3532,-0.0838,3.1679,-0.4719
155,4.2962,0.1351,8.9330,0.4350,8.5069,-0.2899,6.3739,0.0955,2.5218,0.1096,1.9061,0.3647
156,2.0000,0.3055,7.9496,-0.4433,7.1863,-0.1212,10.7087,0.1259,0.5000,-0.0494,2.5498,0.1570
157,14.8745,-0.0603,11.9940,-0.1232,9.9307,-0.3277,13.9911,-0.2914,2.0978,-0.2708,1.1695,0.2764
158,6.9141,-0.0174,10.7847,-0.2803,5.3657,-0.5855,3.0000,0.2400,3.0669,-0.1958,4.1134,-0.0473
159,8.0174,0.0858,10.3150,0.1716,13.1603,-0.3494,10.0368,0.0645,2.8603,-0.1121,2.4116,-0.5017
160,8.8560,-0.1425,5.9272,0.2144,7.3431,0.1973,13.3830,-0.1813,2.0977,0.1231,3.1111,0.3207
161,11.7491,-0.3644,6.5948,-0.1494,11.0961,0.1056,5.8615,-0.3755,2.9458,-0.0375,3.4123,0.3296
162,12.0349,-0.2879,8.8121,0.1172,12.5117,-0.0338,13.5363,-0.0089,0.5000,-0.0286,2.2237,0.1067
163,12.0036,-0.0100,9.6581,0.4699,13.9492,-0.0748,17.5596,-0.1662,0.7472,0.1911,3.1848,0.1675
164,6.0243,0.2499,3.5557,-0.0961,6.3873,0.2361,5.5196,-0.2502,3.1553,-0.1461,2.5082,0.0067
165,11.5318,0.3918,8.9113,0.3435,7.8145,0.2724,9.7670,0.1883,3.2605,-0.3227,3.3694,-0.2696
166,11.4989,-0.0712,10.8944,-0.5014,11.5276,-0.2531,9.8355,0.1099,1.0243,0.0034,1.6056,-0.0507
167,10.5876,0.0420,4.5046,0.0057,5.9071,0.1538,9.0958,0.4521,2.9096,-0.1796,1.2633,-0.1054
168,5.1833,0.4677,4.4546,0.4047,7.1662,0.6085,12.4534,0.0084,2.7135,-0.2675,1.5105,-0.3471
169,3.6930,0.1292,10.7246,-0.4005,4.8742,-0.1512,8.6079,-0.1418,1.7830,-0.5463,1.2510,0.1777
170,11.6019,0.0343,7.5208,0.2814,5.3880,0.4428,3.0000,-0.3696,1.1710,0.1130,3.3282,0.0382
171,11.8824,0.0525,11.8284,-0.2848,3.9398,0.0766,3.0000,0.0412,0.5000,0.0644,2.1901,-0.0279
172,5.7462,0.1455,6.3389,-0.1230,4.7242,0.4924,5.4041,0.3965,2.2780,-0.1656,1.8870,0.5044
173,6.2455,-0.3051,6.0872,-0.1150,3.0000,0.3615,8.4045,0.3914,3.2205,0.7811,3.6185,-0.0080
174,7.2965,0.1901,4.5506,-0.1047,6.5687,0.2778,3.0000,-0.2014,1.1804,0.2046,2.1670,-0.1772
175,8.6630,0.1098,13.9374,0.1884,10.2995,-0.0004,6.2885,0.3530,0.8937,-0.0815,2.1812,-0.2124
176,3.2499,0.2721,11.1393,-0.2348,4.1510,0.0569,7.7663,0.1157,1.8228,0.3877,0.9746,-0.0241
177,7.9689,0.1235,8.6826,0.8124,9.2128,-0.1362,7.8911,-0.1700,2.6393,0.1169,0.5000,-0.4522
178,5.6278,0.2553,9.5620,-0.0271,17.9146,-0.3262,9.0089,0.3451,2.7720,-0.0374,2.7860,0.1505
179,7.7591,-0.2307,4.3315,0.2702,3.0000,-0.5280,3.0000,0.0609,1.5389,0.1600,1.9078,-0.0591
180,7.7954,-0.1491,10.4485,0.2313,10.6706,0.2815,10.5524,0.0042,3.6142,0.1901,2.9234,0.1751
181,7.2931,0.0382,5.8975,-0.0692,10.4569,-0.1881,9.2064,0.0371,1.1599,0.1699,2.6888,0.2530
182,8.9815,-0.1878,7.5005,0.0406,7.6048,0.1297,6.7232,-0.0605,2.7870,-0.2161,2.7169,0.2472
183,6.6631,0.2139,8.8198,-0.0938,3.3372,-0.0368,8.5295,-0.1462,2.3266,-0.1720,1.1680,-0.1086
184,6.5335,-0.3539,10.3641,0.0958,10.7614,0.1334,12.9669,0.0122,1.6018,-0.2637,1.5331,-0.0238
185,13.7125,-0.0399,6.2713,-0.3146,6.7586,0.0715,3.6430,0.0606,3.3964,0.0696,2.5952,-0.0506
186,6.7505,-0.1416,11.5394,0.1545,13.2892,-0.3379,13.2974,-0.0533,2.5144,0.0983,2.0268,0.2124
187,2.7426,-0.1856,9.3750,0.1314,19.7168,-0.3821,12.8929,-0.0354,0.5000,-0.0130,2.4667,0.4290
188,10.7325,-0.3427,11.2841,0.1616,10.0458,-0.4369,17.4401,0.4456,0.8417,0.0342,0.8564,-0.2665
189,7.2663,0.0105,9.8838,0.0496,15.2411,0.0679,16.5258,0.3036,1.3318,0.5355,0.9712,0.0213
190,7.1847,-0.0208,10.9376,-0.3201,3.0000,0.5194,13.2485,0.2928,0.6779,-0.1251,2.2106,0.1081
191,8.1605,0.4761,5.3021,-0.1982,8.6187,-0.2023,9.1583,-0.0568,0.9432,0.4137,2.1730,-0.3374
192,12.0871,0.6220,14.1944,0.1328,10.3569,0.3357,13.0877,0.1960,2.7089,-0.3329,2.7925,0.3496
193,13.0233,-0.2670,4.0652,-0.0890,3.0000,-0.4097,9.2014,0.2866,1.2511,0.0157,0.9603,-0.5391
194,6.7869,-0.4758,4.9805,-0.2532,3.0000,-0.4082,10.5703,-0.0409,0.5000,0.0381,0.8225,0.3434
195,3.3254,-0.3002,7.3935,0.2849,5.4114,-0.1414,7.5731,0.2281,0.9458,-0.2093,0.5000,0.1030
196,7.3000,-0.0155,8.5336,-0.1313,3.0000,-0.0577,3.0000,0.3201,1.6536,-0.4256,0.5000,0.0133
197,7.6269,0.2813,4.9462,-0.1146,9.0253,0.2771,7.3576,0.1167,2.5901,0.2221,0.7735,-0.0816
198,9.6997,-0.1204,6.4736,-0.0401,3.8653,-0.0322,3.0000,-0.0312,0.5000,0.0745,0.9414,-0.5570
199,7.1792,0.1446,12.7292,0.1049,7.9834,-0.2754,7.8945,-0.0054,1.8886,-0.0337,1.8998,0.1554
200,4.4234,-0.1998,4.1420,0.0304,7.8400,-0.0576,14.4101,0.2804,0.7486,-0.3549,2.2663,0.1264
201,4.8211,-0.1218,4.4865,0.3189,7.2716,0.2655,3.0000,0.3334,1.6719,-0.4768,2.2204,0.1612
202,7.7060,0.0417,4.1834,0.0808,3.0000,-0.1982,9.0259,0.5080,0.8689,-0.3382,2.8019,0.0651
203,4.3328,-0.0028,6.9976,0.1158,3.0000,0.0345,7.9619,-0.2523,3.1780,-0.0432,2.2720,0.0324
204,10.3855,-0.0090,2.0000,-0.2035,9.7578,-0.1436,16.6249,-0.0196,2.5031,0.0329,2.6785,-0.2717
205,8.2727,-0.2704,7.7358,-0.3612,3.0000,-0.0700,7.1450,-0.1494,0.9597,0.2708,2.2755,0.0580
206,8.8986,0.3065,13.4802,0.0910,4.4163,0.1161,3.0000,0.1169,2.6010,0.3377,3.3758,-0.1716
207,11.8627,0.3046,9.5282,0.4362,7.6547,-0.1108,8.1772,-0.1799,3.8466,-0.4643,3.4724,0.6807
208,14.2119,0.3088,13.4993,0.2106,3.5371,-0.5262,14.0886,0.0476,1.8271,-0.1622,0.5577,-0.2469
209,9.7000,-0.1693,8.7509,0.2948,12.8406,-0.0806,16.9678,-0.4252,3.2183,-0.1063,3.3767,-0.1425
210,12.5945,0.0298,17.6225,0.0345,12.7772,-0.1530,9.6639,-0.2869,3.8579,-0.2651,3.9274,0.0334
