Timestamp,mileage_factor_RegU_SPP,performance_factor_RegU_SPP,mileage_factor_RegD_SPP,performance_factor_RegD_SPP
2024-01-02 14:00:00,0.2128,0.9253,0.1998,0.947
2024-01-02 15:00:00,0.1924,0.9563,0.1828,0.8506
2024-01-02 16:00:00,0.2035,1.0,0.2088,0.9201
2024-01-02 17:00:00,0.2008,0.9939,0.181,0.9705
2024-01-02 18:00:00,0.2035,0.9923,0.2143,0.9489
2024-01-02 19:00:00,0.1889,0.8902,0.2051,0.9507
2024-01-02 20:00:00,0.1946,0.9614,0.2026,0.972
2024-01-02 21:00:00,0.1906,0.9287,0.2002,0.9114
2024-01-02 22:00:00,0.1936,0.8947,0.2129,0.8812
2024-01-02 23:00:00,0.1991,0.9179,0.2132,0.991
2024-01-03 00:00:00,0.1901,0.951,0.1846,1.0
2024-01-03 01:00:00,0.1926,0.9313,0.1764,0.9542
2024-01-03 02:00:00,0.2058,0.9655,0.2058,0.8353
2024-01-03 03:00:00,0.2032,0.8876,0.1999,0.9399
2024-01-03 04:00:00,0.217,1.0,0.1938,0.8916
2024-01-03 05:00:00,0.2014,0.9611,0.2011,0.9294
2024-01-03 06:00:00,0.2176,0.9259,0.19,0.9434
2024-01-03 07:00:00,0.1849,0.9339,0.2049,1.0
2024-01-03 08:00:00,0.1813,0.878,0.1916,0.9846
2024-01-03 09:00:00,0.1963,0.8731,0.1983,0.8287
2024-01-03 10:00:00,0.1955,0.9405,0.2047,0.8816
2024-01-03 11:00:00,0.1923,0.9607,0.1937,1.0
2024-01-03 12:00:00,0.1957,0.8856,0.1953,0.9141
2024-01-03 13:00:00,0.2074,0.9051,0.1986,0.9688
2024-01-03 14:00:00,0.1956,0.9562,0.2026,0.9184
2024-01-03 15:00:00,0.2069,0.897,0.2135,0.9938
2024-01-03 16:00:00,0.2124,0.995,0.1955,0.9681
2024-01-03 17:00:00,0.2076,0.9651,0.2072,0.992
2024-01-03 18:00:00,0.1979,0.9279,0.2055,0.8579
2024-01-03 19:00:00,0.1957,0.9573,0.2027,0.975
2024-01-03 20:00:00,0.213,0.9077,0.2086,0.8804
2024-01-03 21:00:00,0.2167,0.9081,0.2154,0.9929
2024-01-03 22:00:00,0.2031,1.0,0.2007,1.0
2024-01-03 23:00:00,0.2081,1.0,0.2068,0.8693
2024-01-04 00:00:00,0.2062,0.9284,0.1943,0.9792
2024-01-04 01:00:00,0.1935,0.9506,0.1964,0.8808
2024-01-04 02:00:00,0.2012,0.9288,0.1897,0.9198
2024-01-04 03:00:00,0.2036,1.0,0.1969,0.9279
2024-01-04 04:00:00,0.2137,1.0,0.2027,0.981
2024-01-04 05:00:00,0.1985,0.9204,0.1999,0.9993
2024-01-04 06:00:00,0.1882,0.888,0.1976,0.9992
2024-01-04 07:00:00,0.1985,0.9953,0.1975,0.9042
2024-01-04 08:00:00,0.1982,0.9853,0.1987,0.9797
2024-01-04 09:00:00,0.1925,1.0,0.1987,0.9103
2024-01-04 10:00:00,0.2101,0.9608,0.2155,0.9447
2024-01-04 11:00:00,0.2109,0.8469,0.1996,0.9102
2024-01-04 12:00:00,0.175,0.8906,0.1897,0.9779
2024-01-04 13:00:00,0.2127,1.0,0.2185,0.915
2024-01-04 14:00:00,0.203,0.9471,0.1995,0.9481
2024-01-04 15:00:00,0.2011,0.9065,0.1983,0.9774
2024-01-04 16:00:00,0.205,0.8549,0.1909,0.8645
2024-01-04 17:00:00,0.1826,0.974,0.1923,1.0
2024-01-04 18:00:00,0.1952,0.9532,0.2159,1.0
2024-01-04 19:00:00,0.2068,0.8884,0.1909,0.89
2024-01-04 20:00:00,0.2054,0.9032,0.1924,0.8545
2024-01-04 21:00:00,0.1966,0.9102,0.206,0.9686
2024-01-04 22:00:00,0.2005,0.9725,0.1845,0.982
2024-01-04 23:00:00,0.2014,1.0,0.2101,0.8798
2024-01-05 00:00:00,0.204,0.9325,0.2061,0.9231
2024-01-05 01:00:00,0.2218,1.0,0.1986,0.9616
2024-01-05 02:00:00,0.185,0.9493,0.2039,0.9376
2024-01-05 03:00:00,0.1916,0.909,0.2157,0.9926
2024-01-05 04:00:00,0.2001,1.0,0.208,0.9728
2024-01-05 05:00:00,0.2047,0.9738,0.2088,0.9052
2024-01-05 06:00:00,0.2004,1.0,0.2053,0.9923
2024-01-05 07:00:00,0.1903,0.9688,0.198,0.9428
2024-01-05 08:00:00,0.2048,1.0,0.1989,0.8987
2024-01-05 09:00:00,0.2033,0.9637,0.2021,0.9253
2024-01-05 10:00:00,0.2024,0.9757,0.2063,0.9797
2024-01-05 11:00:00,0.1943,0.914,0.1958,0.8816
2024-01-05 12:00:00,0.2048,0.9978,0.2052,0.8922
2024-01-05 13:00:00,0.2119,0.9433,0.1976,1.0
2024-01-05 14:00:00,0.2084,0.9851,0.2024,0.9012
2024-01-05 15:00:00,0.1886,1.0,0.2008,1.0
2024-01-05 16:00:00,0.1904,0.9531,0.2039,0.8788
2024-01-05 17:00:00,0.2075,0.9848,0.2036,0.9645
2024-01-05 18:00:00,0.194,1.0,0.2,0.9992
2024-01-05 19:00:00,0.1876,0.9006,0.1918,0.8939
2024-01-05 20:00:00,0.1942,0.9572,0.2137,0.9089
2024-01-05 21:00:00,0.1931,0.8687,0.1955,1.0
2024-01-05 22:00:00,0.1973,0.9429,0.2117,1.0
2024-01-05 23:00:00,0.1981,0.997,0.1882,0.9865
2024-01-06 00:00:00,0.1822,0.8582,0.189,0.9443
2024-01-06 01:00:00,0.2023,0.9074,0.211,0.9503
2024-01-06 02:00:00,0.2048,0.887,0.2175,0.8942
2024-01-06 03:00:00,0.2014,0.9923,0.2058,0.8484
2024-01-06 04:00:00,0.2056,0.975,0.1859,0.9867
2024-01-06 05:00:00,0.2053,1.0,0.2114,0.8585
2024-01-06 06:00:00,0.1876,0.9977,0.1907,0.9239
2024-01-06 07:00:00,0.1998,0.9232,0.189,0.9444
2024-01-06 08:00:00,0.2032,0.9426,0.2015,0.9085
2024-01-06 09:00:00,0.2031,0.9311,0.195,0.9855
2024-01-06 10:00:00,0.2141,1.0,0.2081,0.9492
2024-01-06 11:00:00,0.2041,0.9769,0.2051,0.9272
2024-01-06 12:00:00,0.2007,0.9987,0.1966,0.9779
2024-01-06 13:00:00,0.2086,0.9867,0.2064,0.9667
2024-01-06 14:00:00,0.2091,0.9253,0.2223,0.9918
2024-01-06 15:00:00,0.2006,0.9045,0.1972,0.9288
2024-01-06 16:00:00,0.2132,0.9749,0.2035,0.9916
2024-01-06 17:00:00,0.2018,1.0,0.2061,0.9652
2024-01-06 18:00:00,0.1949,0.9666,0.2057,0.9853
2024-01-06 19:00:00,0.2093,0.8907,0.221,0.9974
2024-01-06 20:00:00,0.1929,0.9783,0.2116,0.9879
2024-01-06 21:00:00,0.2145,0.924,0.1902,0.95
2024-01-06 22:00:00,0.1953,0.8624,0.1905,0.9657
2024-01-06 23:00:00,0.1901,1.0,0.1989,0.9974
2024-01-07 00:00:00,0.1924,0.9088,0.2059,0.9009
2024-01-07 01:00:00,0.2078,1.0,0.2103,0.9617
2024-01-07 02:00:00,0.1935,1.0,0.2102,0.8466
2024-01-07 03:00:00,0.1923,0.9704,0.1998,0.9407
2024-01-07 04:00:00,0.1964,0.9074,0.206,0.8319
2024-01-07 05:00:00,0.1735,1.0,0.2159,0.9133
2024-01-07 06:00:00,0.2125,0.9096,0.2053,0.8605
2024-01-07 07:00:00,0.1855,0.9477,0.2039,1.0
2024-01-07 08:00:00,0.2114,0.9379,0.2099,0.9185
2024-01-07 09:00:00,0.2117,0.9308,0.2024,0.8992
2024-01-07 10:00:00,0.2059,0.9622,0.2071,0.9613
2024-01-07 11:00:00,0.2003,0.8659,0.2188,0.9129
2024-01-07 12:00:00,0.1992,0.9159,0.1885,0.8859
2024-01-07 13:00:00,0.2163,0.9048,0.1983,0.9362
2024-01-07 14:00:00,0.2228,0.9774,0.1941,0.8729
2024-01-07 15:00:00,0.1805,0.9853,0.1934,1.0
2024-01-07 16:00:00,0.2073,0.94,0.1945,0.9565
2024-01-07 17:00:00,0.1971,0.9809,0.1788,0.9829
2024-01-07 18:00:00,0.2219,0.9467,0.1957,1.0
2024-01-07 19:00:00,0.2027,0.9355,0.2108,1.0
2024-01-07 20:00:00,0.1929,0.9662,0.1877,0.9848
2024-01-07 21:00:00,0.1914,0.9607,0.1828,0.932
2024-01-07 22:00:00,0.1994,0.897,0.1943,0.9625
2024-01-07 23:00:00,0.1786,0.9968,0.1923,0.9533
2024-01-08 00:00:00,0.1885,0.8784,0.2085,0.9548
2024-01-08 01:00:00,0.1855,0.8845,0.2175,0.9754
2024-01-08 02:00:00,0.1736,0.8987,0.2223,0.9598
2024-01-08 03:00:00,0.2064,0.9489,0.1926,0.9296
2024-01-08 04:00:00,0.2073,1.0,0.206,1.0
2024-01-08 05:00:00,0.2091,1.0,0.1998,0.8834
2024-01-08 06:00:00,0.1893,0.9043,0.2042,0.9661
2024-01-08 07:00:00,0.2047,0.9447,0.2057,0.9823
2024-01-08 08:00:00,0.1998,0.8881,0.1994,1.0
2024-01-08 09:00:00,0.1896,0.9153,0.1906,0.9433
2024-01-08 10:00:00,0.196,1.0,0.1923,0.9842
2024-01-08 11:00:00,0.1866,0.9398,0.2021,0.9342
2024-01-08 12:00:00,0.1824,1.0,0.2037,1.0
2024-01-08 13:00:00,0.1915,0.9906,0.1938,0.9656
2024-01-08 14:00:00,0.1938,0.916,0.1978,0.9906
2024-01-08 15:00:00,0.2084,0.9071,0.2117,0.967
2024-01-08 16:00:00,0.193,0.9479,0.2001,0.9363
2024-01-08 17:00:00,0.2101,0.9431,0.2047,0.8845
2024-01-08 18:00:00,0.2114,0.9945,0.215,0.8927
2024-01-08 19:00:00,0.2017,0.9362,0.2014,0.9183
2024-01-08 20:00:00,0.1955,0.9942,0.1955,0.9415
2024-01-08 21:00:00,0.1899,0.9166,0.1951,0.9812
2024-01-08 22:00:00,0.1912,0.9514,0.2064,0.9504
2024-01-08 23:00:00,0.2068,0.9003,0.185,0.9811
2024-01-09 00:00:00,0.2083,0.8649,0.2151,1.0
2024-01-09 01:00:00,0.1966,0.9043,0.2116,0.9238
2024-01-09 02:00:00,0.2016,0.9752,0.1866,1.0
2024-01-09 03:00:00,0.1849,1.0,0.1949,0.8109
2024-01-09 04:00:00,0.1945,0.9429,0.1949,0.9661
2024-01-09 05:00:00,0.2038,0.973,0.2054,0.9729
2024-01-09 06:00:00,0.1935,0.9336,0.1925,0.9785
2024-01-09 07:00:00,0.1877,0.9264,0.1762,1.0
2024-01-09 08:00:00,0.191,1.0,0.2123,0.9923
2024-01-09 09:00:00,0.1854,1.0,0.1771,0.9936
2024-01-09 10:00:00,0.1895,1.0,0.2169,0.8443
2024-01-09 11:00:00,0.208,0.992,0.1961,0.9167
2024-01-09 12:00:00,0.2142,0.9342,0.1998,0.9358
2024-01-09 13:00:00,0.2169,0.9206,0.1974,0.9871
2024-01-09 14:00:00,0.198,0.8669,0.1955,0.9944
2024-01-09 15:00:00,0.1988,1.0,0.2007,0.9063
2024-01-09 16:00:00,0.2076,0.8756,0.1973,0.9715
2024-01-09 17:00:00,0.1874,0.9519,0.1915,0.9002
2024-01-09 18:00:00,0.192,0.87,0.2061,0.9815
2024-01-09 19:00:00,0.1931,1.0,0.1977,0.9962
2024-01-09 20:00:00,0.2137,0.9692,0.2197,1.0
2024-01-09 21:00:00,0.195,1.0,0.1912,0.8884
2024-01-09 22:00:00,0.2121,0.9606,0.2049,0.9099
2024-01-09 23:00:00,0.193,0.985,0.1947,0.8157
2024-01-10 00:00:00,0.1894,0.9676,0.1937,0.9924
2024-01-10 01:00:00,0.217,1.0,0.1998,1.0
2024-01-10 02:00:00,0.2019,0.9676,0.2065,0.9001
2024-01-10 03:00:00,0.193,0.9995,0.208,0.909
2024-01-10 04:00:00,0.1829,1.0,0.1984,1.0
2024-01-10 05:00:00,0.1942,0.9098,0.2157,0.9363
2024-01-10 06:00:00,0.2183,0.9133,0.2083,1.0
2024-01-10 07:00:00,0.1963,1.0,0.2029,0.9482
2024-01-10 08:00:00,0.1747,0.9624,0.2069,0.9778
2024-01-10 09:00:00,0.1959,0.9636,0.19,0.9167
2024-01-10 10:00:00,0.208,0.983,0.2114,0.9514
2024-01-10 11:00:00,0.1972,0.962,0.187,0.8184
2024-01-10 12:00:00,0.2056,0.8706,0.2044,1.0
2024-01-10 13:00:00,0.2041,0.9629,0.1992,0.9782
2024-01-10 14:00:00,0.1974,0.8953,0.1857,0.9358
2024-01-10 15:00:00,0.1924,0.9771,0.1878,0.9276
2024-01-10 16:00:00,0.1946,0.9734,0.1997,0.8746
2024-01-10 17:00:00,0.1952,0.9662,0.199,0.8961
2024-01-10 18:00:00,0.1841,0.9439,0.1925,0.9688
2024-01-10 19:00:00,0.2047,1.0,0.1961,0.9498
2024-01-10 20:00:00,0.1931,1.0,0.1853,0.9872
2024-01-10 21:00:00,0.2112,0.8605,0.1856,0.8966
2024-01-10 22:00:00,0.2129,0.9263,0.1968,1.0
2024-01-10 23:00:00,0.1958,1.0,0.1817,0.9154
2024-01-11 00:00:00,0.1996,1.0,0.1978,0.8981
2024-01-11 01:00:00,0.1946,0.9367,0.2045,0.9243
2024-01-11 02:00:00,0.1846,1.0,0.198,1.0
2024-01-11 03:00:00,0.1942,0.9112,0.2048,0.9898
2024-01-11 04:00:00,0.2,0.9147,0.1925,0.9
2024-01-11 05:00:00,0.2055,0.9507,0.1798,0.9116
2024-01-11 06:00:00,0.2181,0.9749,0.2053,0.8328
2024-01-11 07:00:00,0.1938,0.9724,0.1971,0.974
2024-01-11 08:00:00,0.1913,0.9637,0.1889,0.9377
2024-01-11 09:00:00,0.2089,0.958,0.1962,0.9115
2024-01-11 10:00:00,0.1725,0.9414,0.1919,1.0
2024-01-11 11:00:00,0.19,0.9304,0.2077,1.0
2024-01-11 12:00:00,0.2112,0.9502,0.1902,0.9688
2024-01-11 13:00:00,0.1905,0.9666,0.1912,0.9653
2024-01-11 14:00:00,0.1946,0.9101,0.1993,0.9613
2024-01-11 15:00:00,0.1999,0.8818,0.2001,0.9499
2024-01-11 16:00:00,0.2068,0.9545,0.1973,0.877
2024-01-11 17:00:00,0.1995,0.9589,0.1796,0.913
2024-01-11 18:00:00,0.1994,0.9326,0.1836,0.9481
2024-01-11 19:00:00,0.1965,0.9233,0.2013,0.9953
2024-01-11 20:00:00,0.1972,0.9585,0.1884,0.933
2024-01-11 21:00:00,0.1916,0.9476,0.205,1.0
2024-01-11 22:00:00,0.1896,0.9467,0.1766,1.0
2024-01-11 23:00:00,0.2125,1.0,0.1949,0.9483
2024-01-12 00:00:00,0.1933,0.8585,0.1875,0.9405
2024-01-12 01:00:00,0.1978,0.886,0.185,0.9646
2024-01-12 02:00:00,0.2096,0.9416,0.1842,0.979
2024-01-12 03:00:00,0.1793,0.9854,0.1967,0.9542
2024-01-12 04:00:00,0.185,0.9151,0.1923,0.9609
2024-01-12 05:00:00,0.1996,0.8907,0.1934,0.9992
2024-01-12 06:00:00,0.2,0.9412,0.188,0.9487
2024-01-12 07:00:00,0.1843,0.941,0.2081,0.9969
2024-01-12 08:00:00,0.1815,0.8642,0.1994,0.934
2024-01-12 09:00:00,0.185,0.9711,0.1958,0.9112
2024-01-12 10:00:00,0.2029,0.9423,0.206,0.9242
2024-01-12 11:00:00,0.2077,0.9755,0.1999,0.9339
2024-01-12 12:00:00,0.2018,0.9724,0.1918,0.8926
2024-01-12 13:00:00,0.1818,0.8376,0.2027,0.9766
2024-01-12 14:00:00,0.1872,0.9482,0.2162,0.921
2024-01-12 15:00:00,0.1979,0.9445,0.1968,0.9035
2024-01-12 16:00:00,0.1999,0.9268,0.2042,0.9655
2024-01-12 17:00:00,0.1941,0.964,0.2111,0.8712
2024-01-12 18:00:00,0.1963,0.9331,0.2008,0.9481
2024-01-12 19:00:00,0.2029,0.9147,0.2095,0.9344
2024-01-12 20:00:00,0.2201,0.9377,0.1972,0.8968
2024-01-12 21:00:00,0.2102,0.9087,0.1763,0.977
2024-01-12 22:00:00,0.1963,0.9548,0.1862,0.9218
2024-01-12 23:00:00,0.1983,0.9221,0.2053,0.987
2024-01-13 00:00:00,0.1988,0.9346,0.2171,0.9657
2024-01-13 01:00:00,0.1942,0.8756,0.1921,0.926
2024-01-13 02:00:00,0.2127,0.8933,0.2154,1.0
2024-01-13 03:00:00,0.2124,0.9682,0.1888,0.9591
2024-01-13 04:00:00,0.2022,1.0,0.1956,0.934
2024-01-13 05:00:00,0.2151,0.9501,0.1993,1.0
2024-01-13 06:00:00,0.1944,1.0,0.2043,0.9326
2024-01-13 07:00:00,0.2051,0.9782,0.2052,1.0
2024-01-13 08:00:00,0.2125,0.9375,0.1989,0.9805
2024-01-13 09:00:00,0.206,1.0,0.2245,1.0
2024-01-13 10:00:00,0.2166,0.91,0.2029,1.0
2024-01-13 11:00:00,0.2053,0.9682,0.1933,0.921
2024-01-13 12:00:00,0.1982,0.9601,0.2178,0.977
2024-01-13 13:00:00,0.1888,0.8302,0.2022,1.0
2024-01-13 14:00:00,0.1955,0.9361,0.2128,1.0
2024-01-13 15:00:00,0.2086,1.0,0.1836,0.962
2024-01-13 16:00:00,0.2101,0.9258,0.2015,0.8862
2024-01-13 17:00:00,0.1798,0.9242,0.1969,0.9744
2024-01-13 18:00:00,0.1945,0.9769,0.1947,0.925
2024-01-13 19:00:00,0.2046,0.8381,0.2018,0.9157
2024-01-13 20:00:00,0.2019,0.989,0.2113,0.9975
2024-01-13 21:00:00,0.1923,0.9301,0.1985,0.9315
2024-01-13 22:00:00,0.2151,0.8974,0.2142,0.9661
2024-01-13 23:00:00,0.209,0.9951,0.1876,0.913
2024-01-14 00:00:00,0.2219,0.9715,0.2032,0.9358
2024-01-14 01:00:00,0.1965,1.0,0.2053,0.9066
2024-01-14 02:00:00,0.1843,0.9687,0.1763,1.0
2024-01-14 03:00:00,0.2014,0.9578,0.2048,0.9133
2024-01-14 04:00:00,0.2201,0.9616,0.1975,0.9645
2024-01-14 05:00:00,0.2019,0.9429,0.2041,0.9906
2024-01-14 06:00:00,0.206,0.9021,0.2119,0.9381
2024-01-14 07:00:00,0.2048,0.9835,0.2023,0.9894
2024-01-14 08:00:00,0.1869,0.9437,0.1973,0.972
2024-01-14 09:00:00,0.1905,0.9933,0.1849,1.0
2024-01-14 10:00:00,0.1944,0.9164,0.1992,0.9881
2024-01-14 11:00:00,0.1973,0.9079,0.2144,1.0
2024-01-14 12:00:00,0.2099,0.955,0.1691,0.9824
2024-01-14 13:00:00,0.1923,0.9526,0.2117,0.8473
2024-01-14 14:00:00,0.1755,0.9605,0.2063,0.8977
2024-01-14 15:00:00,0.1913,0.9434,0.1994,0.9861
2024-01-14 16:00:00,0.1954,1.0,0.206,0.8681
2024-01-14 17:00:00,0.2134,0.8608,0.2114,0.9696
2024-01-14 18:00:00,0.1918,0.9219,0.1956,0.9912
2024-01-14 19:00:00,0.1669,0.9545,0.2009,0.9944
2024-01-14 20:00:00,0.1905,0.9545,0.2001,0.9022
2024-01-14 21:00:00,0.2001,0.9367,0.2154,0.977
2024-01-14 22:00:00,0.1766,0.9015,0.2001,0.9749
2024-01-14 23:00:00,0.2058,0.8109,0.2015,0.9659
2024-01-15 00:00:00,0.2045,0.9898,0.2094,0.9571
2024-01-15 01:00:00,0.2002,0.9585,0.2051,0.9362
2024-01-15 02:00:00,0.205,0.9957,0.2022,0.867
2024-01-15 03:00:00,0.1953,0.8493,0.1867,1.0
2024-01-15 04:00:00,0.1934,0.9005,0.1958,0.9866
2024-01-15 05:00:00,0.1937,0.9403,0.2036,0.9731
2024-01-15 06:00:00,0.1968,0.8743,0.2013,0.9756
2024-01-15 07:00:00,0.2201,0.9314,0.1986,1.0
2024-01-15 08:00:00,0.1924,0.994,0.2069,0.8883
2024-01-15 09:00:00,0.2076,0.9086,0.2216,0.8848
2024-01-15 10:00:00,0.1903,1.0,0.2007,0.8547
2024-01-15 11:00:00,0.1998,0.9097,0.2066,0.9299
2024-01-15 12:00:00,0.1993,0.9887,0.198,0.9564
2024-01-15 13:00:00,0.166,0.9096,0.1888,0.9494
2024-01-15 14:00:00,0.2012,1.0,0.197,0.8679
2024-01-15 15:00:00,0.1929,0.9672,0.2019,0.8929
2024-01-15 16:00:00,0.1826,0.9721,0.1994,1.0
2024-01-15 17:00:00,0.2022,0.9012,0.2009,0.9369
2024-01-15 18:00:00,0.2107,0.9161,0.1827,0.9334
2024-01-15 19:00:00,0.2001,0.9704,0.1954,0.9964
2024-01-15 20:00:00,0.2103,0.9793,0.1839,1.0
2024-01-15 21:00:00,0.2214,0.9013,0.203,0.9648
2024-01-15 22:00:00,0.1995,1.0,0.1998,0.9692
2024-01-15 23:00:00,0.2023,0.9585,0.1981,0.8897
2024-01-16 00:00:00,0.2032,0.976,0.1849,0.9701
2024-01-16 01:00:00,0.2084,0.9672,0.1984,0.9816
2024-01-16 02:00:00,0.1928,0.8829,0.2146,0.9988
2024-01-16 03:00:00,0.2105,1.0,0.1945,0.9225
2024-01-16 04:00:00,0.2107,1.0,0.201,1.0
2024-01-16 05:00:00,0.2034,0.9345,0.2019,0.9981
2024-01-16 06:00:00,0.2149,1.0,0.1847,0.9283
2024-01-16 07:00:00,0.2106,0.9582,0.185,0.9926
2024-01-16 08:00:00,0.1892,0.9599,0.1858,0.9085
2024-01-16 09:00:00,0.2003,0.9403,0.2039,0.8775
2024-01-16 10:00:00,0.2083,0.9418,0.2123,0.9266
2024-01-16 11:00:00,0.2107,1.0,0.2175,0.9607
2024-01-16 12:00:00,0.1744,0.9925,0.1986,0.927
2024-01-16 13:00:00,0.1989,0.9571,0.2109,0.8722
2024-01-16 14:00:00,0.2124,0.9263,0.196,0.972
2024-01-16 15:00:00,0.2103,0.9269,0.1879,0.9429
2024-01-16 16:00:00,0.1848,0.9397,0.1913,0.8964
2024-01-16 17:00:00,0.1908,0.8992,0.1957,0.9401
2024-01-16 18:00:00,0.2041,0.9609,0.1996,0.9171
2024-01-16 19:00:00,0.1989,1.0,0.1993,0.9508
2024-01-16 20:00:00,0.1977,1.0,0.2061,0.939
2024-01-16 21:00:00,0.2004,0.854,0.1981,0.9731
2024-01-16 22:00:00,0.1976,0.9556,0.2094,0.9382
2024-01-16 23:00:00,0.1967,0.8402,0.1935,0.8485
2024-01-17 00:00:00,0.2059,0.9925,0.1959,0.9073
2024-01-17 01:00:00,0.208,0.9471,0.2164,0.9058
2024-01-17 02:00:00,0.2008,1.0,0.1794,0.9597
2024-01-17 03:00:00,0.213,0.9718,0.2244,0.9504
2024-01-17 04:00:00,0.1942,0.9028,0.205,1.0
2024-01-17 05:00:00,0.2008,0.8802,0.2304,0.9439
2024-01-17 06:00:00,0.198,0.9533,0.2136,0.8979
2024-01-17 07:00:00,0.1853,0.9644,0.1978,0.9585
2024-01-17 08:00:00,0.2056,0.9288,0.1873,0.9811
2024-01-17 09:00:00,0.2115,0.9401,0.2155,0.9363
2024-01-17 10:00:00,0.2084,0.9125,0.1835,0.9883
2024-01-17 11:00:00,0.2026,0.9596,0.2048,0.9308
2024-01-17 12:00:00,0.1847,0.9273,0.1906,0.9494
2024-01-17 13:00:00,0.2069,0.923,0.2097,0.9512
2024-01-17 14:00:00,0.2183,0.8914,0.1839,0.9075
2024-01-17 15:00:00,0.1989,1.0,0.2077,0.9264
2024-01-17 16:00:00,0.2012,0.9063,0.2049,0.9571
2024-01-17 17:00:00,0.2127,0.9862,0.2023,0.9666
2024-01-17 18:00:00,0.2009,0.9379,0.2039,1.0
2024-01-17 19:00:00,0.1982,0.9662,0.2021,0.9174
2024-01-17 20:00:00,0.2,0.9474,0.1924,0.9935
2024-01-17 21:00:00,0.2079,0.925,0.1878,0.9784
2024-01-17 22:00:00,0.2092,0.94,0.1988,0.9911
2024-01-17 23:00:00,0.1787,0.8994,0.2203,0.9182
2024-01-18 00:00:00,0.2068,1.0,0.2057,0.9319
2024-01-18 01:00:00,0.2016,0.9353,0.1928,0.9207
2024-01-18 02:00:00,0.1921,0.9812,0.2073,0.9378
2024-01-18 03:00:00,0.2143,0.9857,0.1971,0.9771
2024-01-18 04:00:00,0.2065,0.9751,0.1914,0.9528
2024-01-18 05:00:00,0.1869,0.9754,0.2122,0.9935
2024-01-18 06:00:00,0.2074,0.8892,0.2072,0.911
2024-01-18 07:00:00,0.2117,0.865,0.1998,0.8523
2024-01-18 08:00:00,0.1923,0.8579,0.2149,0.947
2024-01-18 09:00:00,0.2022,0.8996,0.205,0.9418
2024-01-18 10:00:00,0.1992,0.9735,0.2022,0.9626
2024-01-18 11:00:00,0.2002,1.0,0.1822,0.966
2024-01-18 12:00:00,0.1968,1.0,0.2129,0.8776
2024-01-18 13:00:00,0.1956,1.0,0.1845,0.8531
2024-01-18 14:00:00,0.2062,0.895,0.2017,1.0
2024-01-18 15:00:00,0.2011,1.0,0.2031,1.0
2024-01-18 16:00:00,0.2077,0.9565,0.1949,1.0
2024-01-18 17:00:00,0.2107,0.8815,0.1891,1.0
2024-01-18 18:00:00,0.2161,1.0,0.2013,0.9658
2024-01-18 19:00:00,0.1924,0.9226,0.2062,0.9789
