HourOfYear,p_Reg_MISO,loc_Reg_MISO,p_Spin_MISO,loc_Spin_MISO,p_Sup_MISO,loc_Sup_MISO,p_STR_MISO,loc_STR_MISO
220,8.7390,0.2843,3.0522,-0.0424,5.3771,0.3810,5.7915,0.3043
221,8.3906,-0.0123,11.9738,0.3891,15.4135,-0.1970,6.6819,0.2130
222,4.7797,0.3727,3.0000,0.0906,3.0000,-0.4190,3.0950,-0.3926
223,4.8318,0.1295,11.7896,0.2777,9.1239,-0.4936,3.1610,-0.0984
224,6.0049,-0.4025,3.6995,-0.4778,3.7962,-0.2894,3.0000,-0.4535
225,8.0389,0.0801,6.2364,0.2775,3.0000,0.2220,12.9090,0.2616
226,7.7305,-0.1792,12.5622,0.1563,9.6881,0.0858,5.3359,-0.1710
227,9.3791,0.1242,7.5437,0.1773,3.1665,-0.0153,3.1031,-0.0822
228,12.3791,-0.9092,8.7082,-0.0441,3.0000,-0.1122,10.2701,-0.2472
229,5.4795,0.3985,6.1467,0.5298,3.0000,0.0702,6.9418,-0.0777
230,9.6583,0.2792,8.7489,0.1460,6.1626,-0.2043,17.4192,-0.5553
231,12.8742,0.3975,12.6130,-0.2813,6.1690,0.3167,13.6010,0.3526
232,8.3178,-0.0026,6.7757,-0.0906,9.1934,-0.3604,11.4181,0.3757
233,8.6959,0.2890,5.0939,0.2508,3.0000,0.1368,8.4671,-0.1139
234,9.8142,0.0529,7.9793,0.0725,6.1711,-0.0998,3.0000,-0.5158
235,11.6493,-0.2459,11.8015,0.0556,13.9148,0.3864,13.1470,-0.2366
236,11.6697,-0.2028,5.5707,0.2546,11.3763,-0.2179,8.4474,-0.2162
237,7.7821,-0.0863,13.1689,0.0458,3.0000,-0.0816,3.0000,-0.0362
238,6.3865,0.3125,9.6022,0.3837,14.9894,-0.3227,11.0272,-0.1972
239,9.0928,0.3041,3.8647,0.4476,3.0000,-0.0257,5.5745,-0.3069
240,5.7721,-0.1617,10.7005,-0.1157,3.0000,0.2389,5.5997,-0.1706
241,7.9558,0.1794,10.2701,0.3504,6.6282,-0.0492,4.5202,-0.0310
242,7.4510,0.0041,3.0000,-0.3119,3.0000,0.1482,6.5593,-0.5620
243,7.5409,-0.2361,8.9179,-0.0084,9.1635,-0.3202,8.5365,0.2592
244,7.2839,-0.2954,4.7589,-0.0082,3.0000,0.5227,3.0000,0.2786
245,9.0048,-0.0578,6.9616,0.1749,7.0569,-0.0151,3.0000,0.1844
246,8.4350,0.2333,14.4349,-0.0857,11.9378,-0.2725,14.7668,0.1577
247,8.6562,-0.1267,3.0000,-0.0067,9.2794,-0.2883,5.8872,-0.4437
248,5.8306,0.1975,7.1229,0.2980,3.5931,-0.1329,5.0727,-0.1506
249,4.3012,0.0775,3.0000,0.4513,6.0710,-0.4159,7.8679,-0.1022
250,6.9747,-0.4095,16.6369,0.3023,5.0872,-0.1466,11.4460,-0.1227
251,8.4830,0.5020,3.0000,0.3646,8.4630,0.1570,8.8288,0.1035
252,8.8230,0.2987,10.2510,-0.2296,6.9920,-0.1061,19.4518,-0.0235
253,8.5036,-0.3521,15.9879,-0.4042,6.5671,0.1845,16.6458,0.1188
254,9.8015,0.0998,10.1017,0.3001,11.0143,0.2783,10.1122,0.6382
255,7.4632,0.3690,6.6036,-0.2069,12.9783,-0.3182,11.7083,-0.0295
256,8.8708,0.1026,8.9164,-0.1369,10.7275,-0.1602,14.2935,-0.0033
257,4.6867,-0.1037,9.8567,0.1024,17.2658,-0.3506,3.0000,0.1119
258,10.5554,-0.0307,3.0000,0.1102,8.4457,0.2081,7.0187,-0.2843
259,10.6456,-0.0628,3.0000,0.1485,9.7694,-0.0300,14.5697,0.3658
260,14.4009,-0.0354,15.4664,-0.1112,11.0956,0.4146,9.6151,0.4475
261,6.2827,0.2811,4.5518,-0.0648,12.3179,0.1474,6.3791,-0.1908
262,6.9973,0.1182,8.3983,0.1584,9.2058,-0.0184,11.3743,-0.2496
263,6.9357,-0.2158,3.0000,-0.2058,3.0000,0.2676,9.4342,-0.3037
264,7.1703,-0.0681,5.1849,-0.0956,15.0917,0.4094,7.1590,0.0511
265,11.3502,-0.0991,10.2455,0.3897,13.1553,-0.0622,5.0488,0.1905
266,5.6752,0.0723,3.2256,0.2226,7.7884,-0.1103,5.7936,-0.1552
267,7.5931,-0.2792,13.5792,-0.0991,4.8973,-0.0508,5.3832,0.1636
268,5.0945,-0.3767,5.5635,-0.4220,3.1998,-0.3089,10.2431,-0.3519
269,10.6167,-0.2320,5.7369,-0.1305,8.1329,0.0671,7.2209,0.1335
270,8.3453,-0.3901,7.5810,0.1532,3.0000,0.0051,3.0000,0.0305
271,11.8099,-0.3819,8.9053,0.0326,6.3276,-0.2296,3.0000,-0.4936
272,13.8909,0.3061,7.6182,0.0257,3.0000,0.3597,3.2970,0.5562
273,6.2030,-0.0322,7.4077,0.7084,8.6193,-0.0224,3.0000,-0.2728
274,10.4704,0.0930,3.6699,0.2290,9.2488,0.3642,9.0769,-0.1515
275,6.8963,0.0152,12.5911,0.3072,10.2730,0.0290,7.2370,-0.0386
276,6.7999,0.0292,13.5027,0.1178,3.7567,-0.0982,7.2184,-0.0830
277,4.9631,0.0746,10.8964,0.3184,6.5948,-0.0724,6.3747,-0.1463
278,13.7574,0.1469,13.1415,0.2078,5.7086,-0.1639,10.3077,0.3369
279,11.4357,0.0923,4.2996,0.5137,6.7322,0.2182,15.8294,-0.2309
280,8.2396,0.6971,4.9961,-0.3443,9.9544,0.3323,9.0677,-0.3633
281,10.6417,-0.2563,12.7190,-0.1769,7.2315,-0.3437,11.1001,0.1414
282,4.8049,-0.2650,4.5509,-0.3272,5.0116,0.0179,21.1303,-0.3136
283,9.4537,-0.1368,19.9072,-0.1032,12.2428,0.0762,12.8395,-0.4495
284,6.2142,-0.3307,5.2125,0.0296,3.0000,-0.1300,9.4097,0.2586
285,13.2115,-0.0721,4.2201,0.3509,8.5303,-0.1105,15.9975,-0.0394
286,11.0960,-0.2391,3.4760,0.5439,11.1853,0.2056,7.0508,-0.0015
287,10.1817,0.0204,3.9435,0.0296,13.8386,-0.2624,17.7410,0.3136
288,10.4354,0.0184,8.6331,0.0315,10.7575,-0.4785,11.6711,0.0268
289,6.0477,-0.3262,8.6268,0.0806,5.5738,0.1728,3.0000,0.3057
290,8.8060,0.1916,3.0000,-0.0176,8.8527,-0.1408,3.8097,0.0201
291,3.6138,-0.2005,6.1740,-0.1670,14.9741,0.3134,3.3916,0.2241
292,3.0347,-0.2345,3.0000,-0.0077,7.0681,-0.0582,10.7656,-0.3563
293,6.4744,0.1098,9.7173,-0.1518,8.8669,0.1393,3.0000,0.2099
294,8.8174,0.0000,3.0000,-0.0504,15.5604,0.1614,5.4938,-0.1467
295,8.8410,0.0003,13.0631,0.0294,9.3964,-0.0382,3.0000,0.0368
296,3.8373,-0.2482,5.6766,0.0283,3.0000,-0.1213,4.6268,0.0290
297,4.1045,-0.2783,10.9873,0.0174,3.0000,-0.2336,4.2472,0.2882
298,6.7999,0.1994,3.0000,-0.1178,10.9647,0.1539,14.6088,-0.3277
299,6.2495,-0.0184,7.8294,0.1817,5.1341,0.5671,8.4273,-0.1489
300,10.1380,0.0573,18.0681,0.2598,11.2971,0.1432,16.6203,-0.2460
301,5.5879,0.0381,5.8818,-0.2641,3.0212,0.1270,7.1961,-0.3565
302,13.3226,0.1694,10.6053,0.0004,6.5849,-0.2287,12.1146,0.5716
303,10.1806,-0.0144,8.6680,0.0897,14.2449,0.1993,3.0000,-0.0247
304,8.9391,-0.0580,8.4474,0.0630,3.0000,0.3169,10.2678,0.0319
305,6.1567,0.1793,15.6123,0.0732,20.7520,-0.0568,3.0000,-0.3172
306,5.7575,0.5587,16.5755,-0.4283,3.8890,-0.1241,4.9558,0.3902
307,8.7385,-0.3105,3.0000,0.4361,8.4718,-0.0754,12.5480,-0.1564
308,7.0004,-0.1372,6.4440,-0.0179,7.6989,-0.1776,13.9650,-0.0789
309,4.4804,0.0732,4.9173,-0.0215,8.2517,0.4436,10.2696,-0.1532
310,11.6235,-0.5440,9.8391,0.1951,4.6402,0.5112,10.6637,0.4231
311,5.1650,0.2776,9.8060,-0.3813,15.0180,0.1658,3.0000,0.1178
312,9.2093,0.1987,5.2606,-0.0522,6.0029,0.1344,3.0000,0.1453
313,9.0556,0.0075,5.4690,-0.0939,12.4195,-0.1921,3.8757,-0.4005
314,3.6902,0.1166,8.2372,0.3056,3.0411,0.0636,12.7168,-0.1052
