Time,RegU,RegD,Spin,NSpin,ECRS
2024-01-02 06:00:00,5.4,2.26,2.5,10.1,3.5
2024-01-02 07:00:00,3.97,2.06,3.64,14.3,6.47
2024-01-02 08:00:00,5.6,6.98,2.5,8.0,10.73
2024-01-02 09:00:00,4.53,2.55,2.5,2.75,8.25
2024-01-02 10:00:00,2.5,1.25,1.5,2.0,2.97
2024-01-02 11:00:00,1.81,1.25,1.4,1.5,1.94
2024-01-02 12:00:00,1.83,1.02,1.5,1.5,1.7
2024-01-02 13:00:00,1.91,1.25,1.47,1.48,1.47
2024-01-02 14:00:00,1.83,1.36,1.5,1.5,1.5
2024-01-02 15:00:00,2.4,1.25,1.4,1.48,1.35
2024-01-02 16:00:00,5.19,1.13,1.6,2.25,1.6
2024-01-02 17:00:00,18.94,2.6,5.0,18.57,15.88
2024-01-02 18:00:00,3.49,1.99,2.97,5.1,5.22
2024-01-02 19:00:00,2.19,1.8,1.68,3.0,3.0
2024-01-02 20:00:00,1.83,1.56,1.5,3.0,2.5
2024-01-02 21:00:00,2.3,1.37,1.5,2.3,2.5
2024-01-02 22:00:00,1.47,1.26,1.01,1.75,0.94
2024-01-02 23:00:00,1.51,1.25,1.01,1.15,0.95
2024-01-03 00:00:00,1.49,0.6,1.01,0.88,0.88
2024-01-03 01:00:00,1.33,0.66,1.0,0.88,0.88
2024-01-03 02:00:00,1.45,0.21,1.0,1.01,0.88
2024-01-03 03:00:00,1.33,0.36,1.0,1.01,0.94
2024-01-03 04:00:00,2.69,0.7,1.0,1.04,0.94
2024-01-03 05:00:00,3.54,1.5,1.0,1.12,0.87
2024-01-03 06:00:00,3.78,1.8,2.0,9.15,4.99
2024-01-03 07:00:00,2.98,2.63,2.0,13.65,6.21
2024-01-03 08:00:00,2.0,4.98,2.0,9.2,15.62
2024-01-03 09:00:00,2.89,2.0,2.0,2.72,9.0
2024-01-03 10:00:00,2.0,1.25,1.5,1.45,2.5
2024-01-03 11:00:00,2.1,1.25,1.5,1.5,1.7
2024-01-03 12:00:00,1.98,0.13,1.4,1.48,1.4
2024-01-03 13:00:00,1.97,1.25,1.28,1.48,1.28
2024-01-03 14:00:00,1.62,1.25,1.15,1.5,1.15
2024-01-03 15:00:00,1.72,1.25,1.2,1.5,1.2
2024-01-03 16:00:00,4.99,0.22,1.7,2.04,1.7
2024-01-03 17:00:00,15.0,2.24,5.0,5.09,7.99
2024-01-03 18:00:00,2.5,1.13,2.0,3.0,3.0
2024-01-03 19:00:00,2.0,0.73,1.5,2.72,2.0
2024-01-03 20:00:00,1.83,0.09,1.5,2.72,2.0
2024-01-03 21:00:00,2.0,0.32,1.49,2.0,1.49
2024-01-03 22:00:00,1.34,1.49,1.01,0.99,0.95
2024-01-03 23:00:00,1.33,1.53,1.0,0.99,0.94
2024-01-04 00:00:00,1.33,1.51,1.0,0.82,0.81
2024-01-04 01:00:00,1.33,1.49,1.0,0.82,0.88
2024-01-04 02:00:00,1.45,1.25,1.0,0.99,0.88
2024-01-04 03:00:00,1.46,1.25,1.0,0.99,0.94
2024-01-04 04:00:00,2.39,1.25,1.0,0.99,0.94
2024-01-04 05:00:00,4.99,1.62,1.0,1.17,0.87
2024-01-04 06:00:00,3.98,2.0,2.0,2.04,2.04
2024-01-04 07:00:00,2.33,2.25,2.0,2.14,3.0
2024-01-04 08:00:00,3.19,11.34,2.0,2.15,5.49
2024-01-04 09:00:00,2.33,2.69,2.0,2.0,3.88
2024-01-04 10:00:00,2.0,2.0,1.5,1.45,2.68
2024-01-04 11:00:00,2.0,2.0,1.5,1.48,2.0
2024-01-04 12:00:00,2.0,2.0,1.5,1.48,1.95
2024-01-04 13:00:00,2.0,2.0,1.47,1.48,1.55
2024-01-04 14:00:00,2.0,2.0,1.4,1.5,1.96
2024-01-04 15:00:00,2.25,2.0,1.4,1.45,1.4
2024-01-04 16:00:00,3.58,2.0,1.5,1.7,2.0
2024-01-04 17:00:00,7.9,4.16,5.0,2.0,6.0
2024-01-04 18:00:00,2.0,1.59,1.67,1.17,2.0
2024-01-04 19:00:00,2.0,1.54,1.5,1.17,1.95
2024-01-04 20:00:00,1.83,1.56,1.5,1.15,1.95
2024-01-04 21:00:00,1.8,2.0,1.28,0.99,1.28
2024-01-04 22:00:00,1.15,2.0,1.0,0.94,0.95
2024-01-04 23:00:00,1.33,2.0,1.0,0.94,0.94
2024-01-05 00:00:00,1.49,4.98,1.0,0.81,0.88
2024-01-05 01:00:00,1.47,2.0,1.0,0.81,0.94
2024-01-05 02:00:00,1.6,4.98,1.0,0.98,0.94
2024-01-05 03:00:00,1.55,4.98,1.0,0.98,0.95
2024-01-05 04:00:00,2.39,2.0,1.0,0.98,1.0
2024-01-05 05:00:00,2.52,1.56,1.01,1.12,0.9
2024-01-05 06:00:00,2.99,1.25,2.0,2.15,2.0
2024-01-05 07:00:00,2.0,2.0,1.97,2.25,2.49
2024-01-05 08:00:00,2.0,3.5,2.0,2.72,4.88
2024-01-05 09:00:00,2.0,3.14,1.67,2.25,3.92
2024-01-05 10:00:00,2.0,2.0,1.47,1.17,2.47
2024-01-05 11:00:00,1.98,2.0,1.4,1.17,1.96
2024-01-05 12:00:00,2.0,1.98,1.4,1.15,1.75
2024-01-05 13:00:00,2.0,2.0,1.38,1.15,1.38
2024-01-05 14:00:00,1.98,2.0,1.4,1.23,1.53
2024-01-05 15:00:00,2.1,2.0,1.25,1.23,1.25
2024-01-05 16:00:00,3.65,4.49,1.65,2.0,1.65
2024-01-05 17:00:00,6.72,2.87,3.18,4.18,4.18
2024-01-05 18:00:00,2.3,1.55,1.97,2.0,2.0
2024-01-05 19:00:00,1.83,1.43,1.5,2.72,1.96
2024-01-05 20:00:00,1.25,1.25,1.25,2.72,1.94
2024-01-05 21:00:00,1.82,1.25,1.49,1.48,2.0
2024-01-05 22:00:00,1.47,2.0,1.0,0.97,1.0
2024-01-05 23:00:00,1.8,1.25,1.0,0.93,1.0
2024-01-06 00:00:00,1.8,1.25,1.0,0.4,0.94
2024-01-06 01:00:00,1.76,1.25,1.0,0.4,0.94
2024-01-06 02:00:00,1.8,0.5,1.0,0.96,0.95
2024-01-06 03:00:00,1.8,0.61,1.0,0.96,0.95
2024-01-06 04:00:00,2.15,1.25,1.0,0.97,1.0
2024-01-06 05:00:00,2.69,1.41,1.01,1.5,0.87
2024-01-06 06:00:00,2.45,1.95,2.0,7.49,3.09
2024-01-06 07:00:00,2.0,2.0,2.0,10.3,5.0
2024-01-06 08:00:00,2.0,4.65,4.0,6.56,12.42
2024-01-06 09:00:00,2.0,2.0,1.5,2.6,3.03
2024-01-06 10:00:00,1.98,1.98,1.3,1.0,2.0
2024-01-06 11:00:00,1.98,1.98,1.3,1.11,1.94
2024-01-06 12:00:00,1.88,1.78,1.3,1.0,1.38
2024-01-06 13:00:00,1.98,1.57,1.05,1.0,1.05
2024-01-06 14:00:00,1.7,2.0,1.12,1.12,1.19
2024-01-06 15:00:00,2.25,2.29,1.01,1.11,1.01
2024-01-06 16:00:00,3.85,2.0,1.5,1.23,1.5
2024-01-06 17:00:00,9.3,2.79,5.0,4.6,8.81
2024-01-06 18:00:00,2.33,1.92,2.0,3.09,3.09
2024-01-06 19:00:00,1.83,1.39,1.5,3.02,2.0
2024-01-06 20:00:00,1.25,1.54,1.01,3.6,1.96
2024-01-06 21:00:00,1.34,1.57,1.01,2.6,2.0
2024-01-06 22:00:00,1.47,2.0,1.0,0.96,1.0
2024-01-06 23:00:00,1.51,1.53,1.0,0.92,1.0
2024-01-07 00:00:00,1.49,1.25,1.0,0.92,1.0
2024-01-07 01:00:00,1.47,1.25,1.0,0.92,1.0
2024-01-07 02:00:00,1.5,1.25,1.0,1.23,1.0
2024-01-07 03:00:00,1.5,1.48,1.0,1.11,1.0
2024-01-07 04:00:00,2.0,1.48,1.01,1.15,1.01
2024-01-07 05:00:00,2.89,2.0,1.0,1.25,1.0
2024-01-07 06:00:00,2.99,2.64,1.86,2.72,2.86
2024-01-07 07:00:00,2.33,2.49,2.0,2.72,3.0
2024-01-07 08:00:00,2.33,5.41,2.0,2.25,7.46
2024-01-07 09:00:00,3.8,2.5,2.0,2.25,6.8
2024-01-07 10:00:00,2.45,2.36,1.6,1.23,2.6
2024-01-07 11:00:00,2.0,1.98,1.5,1.17,2.0
2024-01-07 12:00:00,2.51,1.98,1.5,1.17,1.96
2024-01-07 13:00:00,2.89,1.57,1.5,1.17,1.5
2024-01-07 14:00:00,2.01,1.57,1.5,1.23,1.95
2024-01-07 15:00:00,2.98,1.98,1.3,1.23,1.3
2024-01-07 16:00:00,9.22,2.0,1.5,1.5,1.96
2024-01-07 17:00:00,7.98,1.25,1.71,2.0,2.01
2024-01-07 18:00:00,1.98,1.25,1.5,1.23,2.0
2024-01-07 19:00:00,1.2,1.25,1.2,1.17,1.94
2024-01-07 20:00:00,1.0,1.56,1.01,1.15,1.5
2024-01-07 21:00:00,1.55,5.41,1.01,1.12,1.15
2024-01-07 22:00:00,1.47,4.98,1.0,0.95,1.0
2024-01-07 23:00:00,1.51,4.98,1.0,0.91,1.0
2024-01-08 00:00:00,1.5,2.89,1.0,0.8,1.0
2024-01-08 01:00:00,1.5,1.49,1.0,0.8,1.0
2024-01-08 02:00:00,1.95,1.47,1.0,0.99,1.0
2024-01-08 03:00:00,1.95,1.48,1.0,0.99,1.0
2024-01-08 04:00:00,2.0,1.48,1.0,0.99,1.0
2024-01-08 05:00:00,2.89,2.0,1.0,1.17,0.95
2024-01-08 06:00:00,2.72,2.0,1.9,2.72,2.9
2024-01-08 07:00:00,1.98,2.02,1.9,3.0,4.92
2024-01-08 08:00:00,2.33,5.41,2.0,2.72,7.2
2024-01-08 09:00:00,2.5,2.43,1.97,2.25,7.96
2024-01-08 10:00:00,2.0,2.36,1.5,1.15,3.75
2024-01-08 11:00:00,1.98,2.36,1.47,1.17,2.0
2024-01-08 12:00:00,2.0,2.0,1.3,1.17,2.0
2024-01-08 13:00:00,2.45,2.0,1.33,1.17,1.95
2024-01-08 14:00:00,2.0,2.0,1.49,1.23,2.0
2024-01-08 15:00:00,2.89,2.0,1.5,1.23,1.94
2024-01-08 16:00:00,5.74,2.0,1.65,1.48,2.0
2024-01-08 17:00:00,5.19,2.0,2.75,5.0,5.0
2024-01-08 18:00:00,2.17,1.55,1.65,3.6,2.17
2024-01-08 19:00:00,1.95,1.54,1.62,2.72,1.95
2024-01-08 20:00:00,1.25,1.25,1.01,2.25,1.25
2024-01-08 21:00:00,2.03,1.69,1.49,2.25,1.53
2024-01-08 22:00:00,1.75,2.0,1.0,1.75,1.0
2024-01-08 23:00:00,1.73,1.69,1.0,0.9,1.0
2024-01-09 00:00:00,1.5,2.89,1.0,0.79,0.94
2024-01-09 01:00:00,1.5,1.99,1.0,0.79,0.94
2024-01-09 02:00:00,1.95,1.47,1.0,0.98,0.95
2024-01-09 03:00:00,1.61,1.48,1.0,0.98,0.95
2024-01-09 04:00:00,2.0,1.25,1.0,0.98,1.0
2024-01-09 05:00:00,3.4,1.4,1.0,1.32,0.82
2024-01-09 06:00:00,2.0,1.48,1.67,2.14,2.0
2024-01-09 07:00:00,2.0,2.0,1.67,2.15,2.0
2024-01-09 08:00:00,2.0,3.21,2.0,2.14,3.0
2024-01-09 09:00:00,2.0,2.0,1.67,1.48,3.99
2024-01-09 10:00:00,2.0,2.36,1.5,0.99,3.09
2024-01-09 11:00:00,2.0,2.36,1.5,0.99,2.49
2024-01-09 12:00:00,2.0,2.0,1.3,0.99,2.0
2024-01-09 13:00:00,2.0,2.0,1.3,0.99,1.94
2024-01-09 14:00:00,2.0,2.0,1.3,0.99,1.99
2024-01-09 15:00:00,2.89,2.0,1.3,0.99,1.34
2024-01-09 16:00:00,3.52,2.0,1.76,1.5,1.95
2024-01-09 17:00:00,20.27,2.16,21.71,18.43,30.0
2024-01-09 18:00:00,2.49,2.98,17.7,10.1,22.78
2024-01-09 19:00:00,2.28,1.54,4.28,8.0,5.5
2024-01-09 20:00:00,2.09,1.25,2.09,2.72,3.09
2024-01-09 21:00:00,1.83,1.21,1.5,1.48,1.83
2024-01-09 22:00:00,1.0,1.49,1.0,0.83,1.0
2024-01-09 23:00:00,1.33,1.69,1.0,0.85,1.0
2024-01-10 00:00:00,1.49,1.99,1.0,0.77,0.8
2024-01-10 01:00:00,1.47,1.49,1.0,0.77,0.83
2024-01-10 02:00:00,1.5,1.47,1.0,0.96,0.83
2024-01-10 03:00:00,1.5,1.25,1.0,0.96,1.0
2024-01-10 04:00:00,2.0,1.48,1.0,0.96,1.0
2024-01-10 05:00:00,4.99,3.01,1.0,1.11,0.15
2024-01-10 06:00:00,3.98,1.85,2.0,2.14,2.0
2024-01-10 07:00:00,2.46,2.49,2.0,2.14,2.14
2024-01-10 08:00:00,3.0,6.94,2.53,2.14,5.12
2024-01-10 09:00:00,2.04,2.0,1.71,2.0,5.0
2024-01-10 10:00:00,2.0,2.0,1.6,1.11,2.6
2024-01-10 11:00:00,2.0,2.36,1.5,1.11,2.0
2024-01-10 12:00:00,2.0,2.0,1.3,1.11,1.38
2024-01-10 13:00:00,2.1,2.0,1.25,1.11,1.25
2024-01-10 14:00:00,1.98,2.36,1.3,1.15,1.33
2024-01-10 15:00:00,2.0,2.0,1.15,1.15,1.15
2024-01-10 16:00:00,4.98,2.24,1.5,2.0,1.5
2024-01-10 17:00:00,15.23,3.19,14.71,10.0,23.68
2024-01-10 18:00:00,5.99,2.49,5.66,2.72,11.99
2024-01-10 19:00:00,2.42,1.54,2.09,2.72,3.09
2024-01-10 20:00:00,1.98,1.25,1.65,2.72,2.65
2024-01-10 21:00:00,2.3,1.25,1.5,1.96,2.0
2024-01-10 22:00:00,1.33,1.69,1.0,0.94,0.84
2024-01-10 23:00:00,1.51,1.71,1.0,0.89,0.99
2024-01-11 00:00:00,1.49,1.51,1.0,0.25,0.83
2024-01-11 01:00:00,1.47,1.25,1.0,0.25,0.83
2024-01-11 02:00:00,1.5,1.25,1.0,0.94,1.0
2024-01-11 03:00:00,1.5,1.25,1.0,0.94,1.0
2024-01-11 04:00:00,2.0,1.48,1.0,0.94,1.0
2024-01-11 05:00:00,2.89,1.57,1.0,0.99,0.15
2024-01-11 06:00:00,2.89,2.0,2.0,1.23,2.0
2024-01-11 07:00:00,2.0,2.0,1.97,1.25,2.0
2024-01-11 08:00:00,2.99,5.41,2.66,1.48,4.81
2024-01-11 09:00:00,2.53,2.0,2.0,1.45,3.96
2024-01-11 10:00:00,2.45,2.36,1.95,1.04,2.04
2024-01-11 11:00:00,2.0,2.36,1.65,1.0,1.8
2024-01-11 12:00:00,2.0,2.36,1.49,0.99,1.49
2024-01-11 13:00:00,2.61,2.0,1.13,0.99,1.13
2024-01-11 14:00:00,2.0,2.0,1.38,1.0,1.38
2024-01-11 15:00:00,2.45,2.0,1.01,1.0,1.01
2024-01-11 16:00:00,5.19,2.0,1.01,1.23,1.0
2024-01-11 17:00:00,7.98,2.0,1.65,1.5,1.0
2024-01-11 18:00:00,2.17,1.98,1.65,1.48,0.83
2024-01-11 19:00:00,1.49,1.54,1.38,1.23,0.23
2024-01-11 20:00:00,1.34,1.25,1.01,1.23,0.24
2024-01-11 21:00:00,1.34,1.69,1.01,1.04,0.83
2024-01-11 22:00:00,1.47,2.0,1.0,0.85,1.0
2024-01-11 23:00:00,1.33,1.69,1.0,0.83,1.0
2024-01-12 00:00:00,1.4,2.0,1.0,0.25,0.83
2024-01-12 01:00:00,1.47,2.0,1.0,0.25,0.99
2024-01-12 02:00:00,1.5,1.47,1.0,0.92,0.99
2024-01-12 03:00:00,1.5,1.48,1.0,0.92,1.0
2024-01-12 04:00:00,1.95,1.48,1.0,0.85,1.0
2024-01-12 05:00:00,2.49,1.57,1.0,0.97,0.15
2024-01-12 06:00:00,2.0,2.0,1.5,1.17,2.0
2024-01-12 07:00:00,2.0,2.0,1.97,1.17,2.0
2024-01-12 08:00:00,2.0,6.0,2.0,1.25,4.33
2024-01-12 09:00:00,2.0,2.0,1.67,1.15,2.68
2024-01-12 10:00:00,2.0,2.36,1.5,0.99,2.0
2024-01-12 11:00:00,1.98,2.0,1.47,0.99,1.47
2024-01-12 12:00:00,1.98,2.0,1.25,0.98,1.25
2024-01-12 13:00:00,2.0,2.0,1.01,0.98,1.01
2024-01-12 14:00:00,1.98,2.0,1.15,0.99,1.15
2024-01-12 15:00:00,2.01,2.0,1.01,0.99,1.0
2024-01-12 16:00:00,6.0,2.24,1.01,1.01,1.0
2024-01-12 17:00:00,12.63,2.66,6.63,2.14,7.63
2024-01-12 18:00:00,2.49,2.49,2.35,1.96,3.09
2024-01-12 19:00:00,2.0,1.54,1.67,2.14,2.0
2024-01-12 20:00:00,1.83,1.25,1.5,1.96,1.51
2024-01-12 21:00:00,1.55,1.25,1.01,1.15,0.83
2024-01-12 22:00:00,1.47,1.49,1.0,0.82,0.84
2024-01-12 23:00:00,1.51,1.69,1.0,0.77,1.0
2024-01-13 00:00:00,1.41,2.0,0.91,0.3,0.8
2024-01-13 01:00:00,1.4,1.49,0.9,0.3,0.8
2024-01-13 02:00:00,1.45,1.47,0.91,0.85,0.83
2024-01-13 03:00:00,1.46,1.25,0.91,0.85,0.91
2024-01-13 04:00:00,2.49,2.0,0.96,0.83,0.96
2024-01-13 05:00:00,2.51,2.0,1.0,0.95,0.15
2024-01-13 06:00:00,2.0,2.0,1.5,1.23,1.5
2024-01-13 07:00:00,2.0,2.0,1.5,1.23,2.0
2024-01-13 08:00:00,2.0,2.48,1.53,1.25,2.95
2024-01-13 09:00:00,2.0,2.0,1.0,1.25,2.0
2024-01-13 10:00:00,2.0,2.36,1.0,1.04,1.0
2024-01-13 11:00:00,1.98,2.0,1.0,1.0,1.0
2024-01-13 12:00:00,2.71,2.0,1.0,0.97,1.0
2024-01-13 13:00:00,3.25,2.0,0.96,0.97,0.96
2024-01-13 14:00:00,2.0,2.0,1.0,1.0,1.0
2024-01-13 15:00:00,2.98,2.0,0.9,1.0,0.9
2024-01-13 16:00:00,4.6,2.0,1.0,1.15,1.0
2024-01-13 17:00:00,3.49,1.55,1.01,1.39,1.29
2024-01-13 18:00:00,2.0,1.55,1.0,1.23,1.0
2024-01-13 19:00:00,1.52,1.54,0.89,1.23,0.23
2024-01-13 20:00:00,1.32,1.25,0.81,1.15,0.8
2024-01-13 21:00:00,1.78,1.57,0.84,0.96,0.84
2024-01-13 22:00:00,1.78,1.69,0.8,0.82,0.8
2024-01-13 23:00:00,1.51,1.53,0.8,0.8,0.8
2024-01-14 00:00:00,1.95,2.0,1.0,0.4,0.8
2024-01-14 01:00:00,1.95,1.49,0.91,0.4,0.8
2024-01-14 02:00:00,2.27,1.47,0.98,1.36,0.83
2024-01-14 03:00:00,1.5,1.25,1.0,1.35,0.94
2024-01-14 04:00:00,2.71,1.49,1.0,2.72,0.03
2024-01-14 05:00:00,2.49,2.0,1.0,2.72,0.03
2024-01-14 06:00:00,3.98,2.0,1.99,6.66,2.99
2024-01-14 07:00:00,2.71,4.87,2.38,13.2,3.38
2024-01-14 08:00:00,6.89,5.68,6.56,14.2,14.0
2024-01-14 09:00:00,3.98,2.0,2.99,13.2,13.53
2024-01-14 10:00:00,3.48,3.07,1.5,2.0,2.5
2024-01-14 11:00:00,2.99,2.0,1.01,1.6,1.01
2024-01-14 12:00:00,3.21,2.0,1.0,1.5,1.0
2024-01-14 13:00:00,2.98,2.0,1.0,1.5,1.0
2024-01-14 14:00:00,2.0,2.0,1.0,1.5,1.0
2024-01-14 15:00:00,2.51,2.0,1.0,1.5,1.0
2024-01-14 16:00:00,4.63,2.65,1.65,2.72,2.62
2024-01-14 17:00:00,13.44,4.22,1.97,13.2,13.35
2024-01-14 18:00:00,6.14,4.16,1.65,6.52,6.52
2024-01-14 19:00:00,2.0,4.82,1.67,5.01,3.14
2024-01-14 20:00:00,2.0,2.0,1.5,11.65,3.14
2024-01-14 21:00:00,2.04,2.0,1.5,7.47,2.86
2024-01-14 22:00:00,2.51,3.25,1.0,2.72,1.0
2024-01-14 23:00:00,2.51,2.02,1.0,2.0,1.0
2024-01-15 00:00:00,22.25,18.51,20.0,18.4,21.0
2024-01-15 01:00:00,10.4,7.4,8.15,5.5,9.15
2024-01-15 02:00:00,17.75,14.01,16.75,66.81,17.75
2024-01-15 03:00:00,21.0,17.26,20.0,76.44,21.0
2024-01-15 04:00:00,42.81,36.72,37.56,85.0,38.56
2024-01-15 05:00:00,55.25,51.51,50.0,120.21,50.97
2024-01-15 06:00:00,700.0,140.17,699.0,476.42,700.0
2024-01-15 07:00:00,745.59,205.27,745.26,745.55,750.0
2024-01-15 08:00:00,907.0,912.93,907.0,771.09,940.7
2024-01-15 09:00:00,795.98,395.98,795.65,272.76,832.6
2024-01-15 10:00:00,269.95,266.26,269.0,101.55,270.0
2024-01-15 11:00:00,90.56,12.07,90.22,80.0,90.61
2024-01-15 12:00:00,50.0,10.0,49.0,46.36,50.0
2024-01-15 13:00:00,21.22,10.0,17.62,25.0,17.72
2024-01-15 14:00:00,11.75,8.01,5.0,20.0,6.0
2024-01-15 15:00:00,8.99,7.01,4.9,19.43,5.0
2024-01-15 16:00:00,52.0,48.26,49.0,28.98,50.0
2024-01-15 17:00:00,200.18,38.65,147.77,92.69,148.77
2024-01-15 18:00:00,88.9,83.02,90.34,77.25,91.34
2024-01-15 19:00:00,55.0,51.68,56.44,60.28,60.0
2024-01-15 20:00:00,44.82,10.0,44.49,46.35,50.0
2024-01-15 21:00:00,44.82,10.01,44.49,30.0,49.49
2024-01-15 22:00:00,44.82,21.99,44.49,41.49,45.49
2024-01-15 23:00:00,33.0,12.33,33.0,30.0,34.0
2024-01-16 00:00:00,50.33,47.26,50.0,25.0,50.0
2024-01-16 01:00:00,50.33,47.26,50.0,15.16,50.0
2024-01-16 02:00:00,51.0,28.28,50.0,80.0,50.0
2024-01-16 03:00:00,51.0,42.54,50.0,95.0,50.0
2024-01-16 04:00:00,80.12,72.16,74.0,100.0,74.0
2024-01-16 05:00:00,251.0,247.26,250.0,134.08,250.0
2024-01-16 06:00:00,1000.0,212.07,1000.0,550.67,1001.0
2024-01-16 07:00:00,500.0,300.0,1167.51,1172.25,1172.25
2024-01-16 08:00:00,505.0,1455.29,1458.75,1183.7,1500.0
2024-01-16 09:00:00,1007.0,441.05,1072.0,200.0,1076.74
2024-01-16 10:00:00,338.56,338.56,361.0,80.0,362.0
2024-01-16 11:00:00,86.16,38.16,87.65,80.0,88.65
2024-01-16 12:00:00,49.0,10.0,49.0,35.0,50.0
2024-01-16 13:00:00,16.0,10.0,15.0,19.0,15.0
2024-01-16 14:00:00,11.76,10.0,11.1,7.7,11.1
2024-01-16 15:00:00,12.1,10.0,8.6,5.33,8.6
2024-01-16 16:00:00,91.37,87.63,49.0,25.0,50.0
2024-01-16 17:00:00,245.14,115.17,244.62,120.0,245.62
2024-01-16 18:00:00,199.0,133.19,264.0,109.98,265.0
2024-01-16 19:00:00,143.17,140.17,250.6,102.1,251.6
2024-01-16 20:00:00,109.71,10.0,209.71,120.0,210.71
2024-01-16 21:00:00,100.25,10.0,130.0,105.0,131.0
2024-01-16 22:00:00,126.2,30.09,125.87,90.0,125.87
2024-01-16 23:00:00,61.4,12.01,62.97,60.33,63.97
2024-01-17 00:00:00,19.98,16.91,19.65,23.03,19.65
2024-01-17 01:00:00,10.41,7.34,10.08,6.44,10.08
2024-01-17 02:00:00,14.82,10.21,13.82,38.17,13.82
2024-01-17 03:00:00,23.01,12.72,22.01,42.69,22.02
2024-01-17 04:00:00,32.51,15.61,32.06,48.37,32.06
2024-01-17 05:00:00,76.95,33.23,78.38,57.7,79.38
2024-01-17 06:00:00,155.53,21.93,167.92,120.0,168.92
2024-01-17 07:00:00,10.0,15.7,184.91,135.0,185.91
2024-01-17 08:00:00,69.72,99.0,109.72,73.02,110.72
2024-01-17 09:00:00,47.35,7.61,47.02,30.03,47.02
2024-01-17 10:00:00,22.5,4.34,22.17,9.37,22.17
2024-01-17 11:00:00,4.82,2.24,4.49,3.09,2.01
2024-01-17 12:00:00,4.94,2.96,4.49,2.04,3.59
2024-01-17 13:00:00,6.14,4.16,4.91,2.01,1.0
2024-01-17 14:00:00,3.52,3.97,2.06,2.04,2.01
2024-01-17 15:00:00,4.99,3.67,2.1,2.04,1.0
2024-01-17 16:00:00,9.36,7.38,7.76,2.04,5.0
2024-01-17 17:00:00,16.37,7.97,15.85,2.72,5.0
2024-01-17 18:00:00,9.67,6.75,11.11,2.72,2.01
2024-01-17 19:00:00,12.48,6.0,12.48,2.72,1.0
2024-01-17 20:00:00,11.11,3.15,11.19,2.72,1.0
2024-01-17 21:00:00,8.77,4.34,8.44,2.25,1.0
2024-01-17 22:00:00,6.35,4.37,7.0,2.01,0.1
2024-01-17 23:00:00,3.77,2.0,4.0,2.01,0.08
2024-01-18 00:00:00,1.51,1.51,1.01,0.25,0.1
2024-01-18 01:00:00,1.47,1.49,1.01,0.25,0.1
2024-01-18 02:00:00,1.51,1.25,1.01,0.95,0.1
2024-01-18 03:00:00,1.65,1.25,1.15,0.95,0.1
2024-01-18 04:00:00,2.71,1.48,1.15,0.95,0.1
2024-01-18 05:00:00,2.64,1.57,2.11,1.0,0.1
2024-01-18 06:00:00,2.09,1.25,2.09,2.72,3.09
2024-01-18 07:00:00,2.0,1.49,2.69,2.72,3.69
2024-01-18 08:00:00,2.5,2.0,4.0,2.72,5.83
2024-01-18 09:00:00,2.61,2.0,2.28,2.0,4.61
2024-01-18 10:00:00,3.48,1.98,1.5,1.17,2.01
2024-01-18 11:00:00,2.38,2.0,1.5,0.99,1.53
2024-01-18 12:00:00,2.0,2.0,1.35,0.99,1.35
2024-01-18 13:00:00,2.0,1.98,1.3,1.04,1.3
