Time,Spin10,NSpin10,Res30,RegC
2024-01-04 13:00:00,4.37,4.25,4.25,7.12
2024-01-04 14:00:00,4.468,4.25,4.25,11.9
2024-01-04 15:00:00,4.643,4.25,4.25,10.57
2024-01-04 16:00:00,4.659,4.25,4.25,7.0
2024-01-04 17:00:00,5.545,5.0,5.0,8.0
2024-01-04 18:00:00,5.145,4.916,4.864,6.05
2024-01-04 19:00:00,4.659,4.25,4.25,7.0
2024-01-04 20:00:00,4.659,4.25,4.25,5.55
2024-01-04 21:00:00,4.659,4.25,4.25,7.0
2024-01-04 22:00:00,4.659,4.659,4.25,7.0
2024-01-04 23:00:00,3.376,3.376,3.0,5.69
2024-01-05 00:00:00,3.558,3.558,3.4,5.44
2024-01-05 01:00:00,2.835,2.835,2.835,3.27
2024-01-05 02:00:00,2.713,2.713,2.565,3.03
2024-01-05 03:00:00,2.713,2.713,2.565,3.0
2024-01-05 04:00:00,2.713,2.713,2.565,4.5
2024-01-05 05:00:00,3.613,3.613,3.52,5.44
2024-01-05 06:00:00,6.576,6.429,5.0,9.64
2024-01-05 07:00:00,14.184,7.545,7.0,20.68
2024-01-05 08:00:00,12.242,7.545,7.0,19.06
2024-01-05 09:00:00,7.561,7.223,6.29,7.59
2024-01-05 10:00:00,4.795,4.43,4.25,5.3
2024-01-05 11:00:00,4.795,4.43,4.25,5.3
2024-01-05 12:00:00,4.565,4.227,4.2,5.25
2024-01-05 13:00:00,4.418,4.227,4.2,5.25
2024-01-05 14:00:00,4.795,4.457,4.25,5.3
2024-01-05 15:00:00,4.795,4.315,4.25,5.3
2024-01-05 16:00:00,5.495,4.977,4.95,15.86
2024-01-05 17:00:00,11.678,7.985,6.95,24.92
2024-01-05 18:00:00,7.102,5.318,5.0,19.41
2024-01-05 19:00:00,7.809,5.027,5.0,18.27
2024-01-05 20:00:00,9.426,9.132,8.51,12.19
2024-01-05 21:00:00,5.545,5.18,5.0,9.74
2024-01-05 22:00:00,5.325,5.325,4.78,7.78
2024-01-05 23:00:00,4.545,4.545,4.0,7.0
2024-01-06 00:00:00,5.074,5.074,3.41,8.21
2024-01-06 01:00:00,5.455,5.455,4.25,5.73
2024-01-06 02:00:00,5.128,5.128,3.53,6.63
2024-01-06 03:00:00,5.051,5.051,3.36,3.88
2024-01-06 04:00:00,5.074,5.074,3.41,8.21
2024-01-06 05:00:00,5.455,5.455,4.25,9.42
2024-01-06 06:00:00,5.455,5.455,4.25,10.33
2024-01-06 07:00:00,6.295,6.295,5.75,12.01
2024-01-06 08:00:00,5.796,5.796,5.0,9.75
2024-01-06 09:00:00,5.937,5.937,5.31,6.86
2024-01-06 10:00:00,5.742,5.742,4.88,5.93
2024-01-06 11:00:00,5.742,5.742,4.88,5.93
2024-01-06 12:00:00,5.796,5.796,5.0,6.05
2024-01-06 13:00:00,5.796,5.796,5.0,6.05
2024-01-06 14:00:00,5.796,5.796,5.0,6.05
2024-01-06 15:00:00,5.796,5.796,5.0,6.05
2024-01-06 16:00:00,4.787,4.787,4.223,7.0
2024-01-06 17:00:00,5.526,5.526,4.45,12.28
2024-01-06 18:00:00,4.787,4.787,4.223,7.0
2024-01-06 19:00:00,4.787,4.787,4.223,7.0
2024-01-06 20:00:00,4.787,4.787,4.223,7.0
2024-01-06 21:00:00,5.233,5.233,4.564,7.38
2024-01-06 22:00:00,5.696,5.696,4.78,8.46
2024-01-06 23:00:00,4.228,4.228,2.565,7.53
2024-01-07 00:00:00,4.07,4.07,2.526,5.78
2024-01-07 01:00:00,4.07,4.07,2.526,4.0
2024-01-07 02:00:00,2.877,2.877,2.641,3.0
2024-01-07 03:00:00,2.877,2.877,2.641,3.0
2024-01-07 04:00:00,2.877,2.877,2.641,3.0
2024-01-07 05:00:00,3.606,3.606,2.619,4.0
2024-01-07 06:00:00,4.141,4.141,3.285,6.25
2024-01-07 07:00:00,5.079,5.079,4.223,7.77
2024-01-07 08:00:00,5.061,5.061,4.314,7.57
2024-01-07 09:00:00,5.079,5.079,4.223,6.67
2024-01-07 10:00:00,5.079,5.079,4.223,5.25
2024-01-07 11:00:00,5.565,5.565,4.223,6.66
2024-01-07 12:00:00,5.106,5.106,4.25,10.08
2024-01-07 13:00:00,5.515,5.515,4.25,6.57
2024-01-07 14:00:00,5.75,5.75,4.25,11.2
2024-01-07 15:00:00,5.728,5.728,4.25,11.12
2024-01-07 16:00:00,4.936,4.936,4.223,11.11
2024-01-07 17:00:00,9.155,5.168,4.45,19.08
2024-01-07 18:00:00,5.4,5.313,4.223,9.49
2024-01-07 19:00:00,4.729,4.729,4.223,10.07
2024-01-07 20:00:00,4.729,4.729,4.223,7.0
2024-01-07 21:00:00,4.936,4.936,4.482,13.04
2024-01-07 22:00:00,5.061,5.061,4.205,5.14
2024-01-07 23:00:00,3.606,3.606,2.619,4.0
2024-01-08 00:00:00,3.891,3.891,2.527,4.98
2024-01-08 01:00:00,3.618,3.618,2.527,4.48
2024-01-08 02:00:00,2.832,2.832,2.618,3.0
2024-01-08 03:00:00,2.807,2.807,2.594,3.0
2024-01-08 04:00:00,2.855,2.855,2.641,4.4
2024-01-08 05:00:00,4.155,4.155,2.791,4.0
2024-01-08 06:00:00,4.141,4.141,3.285,17.4
2024-01-08 07:00:00,6.287,6.287,5.0,20.88
2024-01-08 08:00:00,6.995,6.995,6.09,12.68
2024-01-08 09:00:00,5.545,5.545,5.0,10.0
2024-01-08 10:00:00,5.106,5.106,4.25,5.3
2024-01-08 11:00:00,5.079,5.079,4.223,5.25
2024-01-08 12:00:00,5.079,5.079,4.223,5.25
2024-01-08 13:00:00,5.079,5.079,4.223,5.25
2024-01-08 14:00:00,5.079,5.079,4.223,5.25
2024-01-08 15:00:00,5.106,5.106,4.25,6.61
2024-01-08 16:00:00,4.911,4.911,4.45,10.92
2024-01-08 17:00:00,6.05,6.05,4.875,6.07
2024-01-08 18:00:00,5.973,5.973,4.875,6.07
2024-01-08 19:00:00,5.327,5.327,4.836,13.56
2024-01-08 20:00:00,4.936,4.936,4.482,7.0
2024-01-08 21:00:00,4.936,4.936,4.482,6.93
2024-01-08 22:00:00,5.061,5.061,4.205,5.25
2024-01-08 23:00:00,3.238,3.238,2.693,4.0
2024-01-09 00:00:00,3.497,3.497,2.641,4.0
2024-01-09 01:00:00,3.323,3.323,2.641,3.0
2024-01-09 02:00:00,3.393,3.393,2.618,3.0
2024-01-09 03:00:00,3.264,3.264,2.598,3.0
2024-01-09 04:00:00,3.241,3.241,2.603,3.0
2024-01-09 05:00:00,3.497,3.497,2.641,5.16
2024-01-09 06:00:00,4.141,4.141,3.285,12.98
2024-01-09 07:00:00,5.0,5.0,4.553,15.9
2024-01-09 08:00:00,5.002,5.002,4.564,7.67
2024-01-09 09:00:00,5.002,5.002,4.564,7.05
2024-01-09 10:00:00,5.106,5.106,4.25,5.3
2024-01-09 11:00:00,5.106,5.106,4.25,5.3
2024-01-09 12:00:00,5.079,5.079,4.223,5.25
2024-01-09 13:00:00,5.079,5.079,4.223,5.25
2024-01-09 14:00:00,5.079,5.079,4.223,5.25
2024-01-09 15:00:00,5.079,5.079,4.223,5.25
2024-01-09 16:00:00,4.936,4.936,4.482,5.5
2024-01-09 17:00:00,4.979,4.979,4.738,6.67
2024-01-09 18:00:00,5.039,5.012,4.757,5.93
2024-01-09 19:00:00,4.911,4.911,4.45,5.5
2024-01-09 20:00:00,4.62,4.62,4.023,5.5
2024-01-09 21:00:00,4.591,4.591,4.023,5.5
2024-01-09 22:00:00,4.756,4.756,4.205,5.09
2024-01-09 23:00:00,3.164,3.164,2.618,4.0
2024-01-10 00:00:00,3.442,3.442,2.482,4.28
2024-01-10 01:00:00,2.75,2.75,2.536,3.0
2024-01-10 02:00:00,2.741,2.741,2.527,3.0
2024-01-10 03:00:00,2.741,2.741,2.527,3.0
2024-01-10 04:00:00,2.741,2.741,2.527,3.0
2024-01-10 05:00:00,3.442,3.442,2.482,4.25
2024-01-10 06:00:00,3.313,3.313,3.171,7.27
2024-01-10 07:00:00,5.045,5.045,4.5,7.5
2024-01-10 08:00:00,4.659,4.659,4.25,7.0
2024-01-10 09:00:00,4.795,4.795,4.25,5.55
2024-01-10 10:00:00,4.768,4.643,4.223,5.25
2024-01-10 11:00:00,4.768,4.643,4.223,5.25
2024-01-10 12:00:00,4.478,4.478,4.2,5.25
2024-01-10 13:00:00,4.478,4.478,4.2,5.25
2024-01-10 14:00:00,4.634,4.508,4.23,5.28
2024-01-10 15:00:00,4.768,4.501,4.223,5.25
2024-01-10 16:00:00,4.659,4.408,4.25,7.0
2024-01-10 17:00:00,7.035,4.799,4.69,9.63
2024-01-10 18:00:00,6.028,4.359,4.25,9.51
2024-01-10 19:00:00,4.795,4.408,4.25,7.25
2024-01-10 20:00:00,4.636,4.358,4.2,5.5
2024-01-10 21:00:00,4.659,4.534,4.223,7.0
2024-01-10 22:00:00,4.636,4.636,4.2,5.25
2024-01-10 23:00:00,3.442,3.442,2.482,4.97
2024-01-11 00:00:00,3.285,3.285,2.526,4.0
2024-01-11 01:00:00,3.285,3.285,2.526,3.0
2024-01-11 02:00:00,3.303,3.303,2.523,3.0
2024-01-11 03:00:00,3.286,3.286,2.485,3.0
2024-01-11 04:00:00,3.285,3.285,2.526,3.0
2024-01-11 05:00:00,3.285,3.285,2.526,4.0
2024-01-11 06:00:00,3.699,3.699,2.734,6.04
2024-01-11 07:00:00,7.515,6.091,5.0,10.97
2024-01-11 08:00:00,6.631,6.091,5.0,9.99
2024-01-11 09:00:00,5.853,5.853,4.92,5.97
2024-01-11 10:00:00,4.745,4.609,4.2,5.25
2024-01-11 11:00:00,4.609,4.473,4.2,5.25
2024-01-11 12:00:00,4.604,4.467,4.2,5.25
2024-01-11 13:00:00,4.795,4.659,4.25,5.3
2024-01-11 14:00:00,4.795,4.659,4.25,5.3
2024-01-11 15:00:00,4.795,4.659,4.25,5.3
2024-01-11 16:00:00,4.795,4.517,4.25,7.25
2024-01-11 17:00:00,6.969,5.0,4.891,10.0
2024-01-11 18:00:00,5.436,5.0,4.891,11.18
2024-01-11 19:00:00,5.205,4.845,4.66,6.3
2024-01-11 20:00:00,4.768,4.435,4.223,5.75
2024-01-11 21:00:00,4.768,4.381,4.223,7.2
2024-01-11 22:00:00,4.636,4.636,4.2,5.25
2024-01-11 23:00:00,3.285,3.285,2.526,4.0
2024-01-12 00:00:00,3.606,3.606,2.526,4.0
2024-01-12 01:00:00,3.606,3.606,2.526,4.0
2024-01-12 02:00:00,2.829,2.829,2.633,4.5
2024-01-12 03:00:00,3.606,3.606,2.526,3.0
2024-01-12 04:00:00,3.606,3.606,2.526,4.0
2024-01-12 05:00:00,4.411,4.411,3.74,6.72
2024-01-12 06:00:00,5.857,5.459,3.61,9.48
2024-01-12 07:00:00,10.656,6.091,5.0,17.37
2024-01-12 08:00:00,8.496,6.091,5.0,11.89
2024-01-12 09:00:00,4.932,4.872,4.25,5.3
2024-01-12 10:00:00,4.745,4.62,4.2,5.25
2024-01-12 11:00:00,4.62,4.62,4.2,5.25
2024-01-12 12:00:00,4.62,4.62,4.2,5.25
2024-01-12 13:00:00,4.62,4.62,4.2,5.25
2024-01-12 14:00:00,4.62,4.62,4.2,5.25
2024-01-12 15:00:00,4.745,4.62,4.2,5.25
2024-01-12 16:00:00,4.789,4.62,4.2,7.28
2024-01-12 17:00:00,5.205,4.659,4.25,10.6
2024-01-12 18:00:00,4.888,4.659,4.25,7.42
2024-01-12 19:00:00,4.795,4.643,4.25,7.25
2024-01-12 20:00:00,4.636,4.62,4.2,5.75
2024-01-12 21:00:00,4.636,4.62,4.2,7.0
2024-01-12 22:00:00,4.636,4.636,4.2,5.25
2024-01-12 23:00:00,3.606,3.606,2.526,5.13
2024-01-13 00:00:00,3.448,3.448,2.526,4.0
2024-01-13 01:00:00,2.803,2.803,2.527,4.5
2024-01-13 02:00:00,2.803,2.803,2.527,4.5
2024-01-13 03:00:00,2.803,2.803,2.527,3.0
2024-01-13 04:00:00,2.803,2.803,2.527,4.5
2024-01-13 05:00:00,2.803,2.803,2.527,4.89
2024-01-13 06:00:00,3.633,3.633,2.716,5.0
2024-01-13 07:00:00,4.745,4.745,4.2,7.2
2024-01-13 08:00:00,4.745,4.745,4.2,7.2
2024-01-13 09:00:00,4.745,4.745,4.2,5.75
2024-01-13 10:00:00,3.916,3.916,3.0,5.25
2024-01-13 11:00:00,3.916,3.916,3.0,5.25
2024-01-13 12:00:00,3.916,3.916,3.0,5.25
2024-01-13 13:00:00,3.916,3.916,3.0,5.25
2024-01-13 14:00:00,3.916,3.916,3.0,5.25
2024-01-13 15:00:00,4.157,4.157,3.53,7.63
2024-01-13 16:00:00,4.157,4.157,3.53,12.43
2024-01-13 17:00:00,4.545,4.545,4.0,9.98
2024-01-13 18:00:00,4.157,4.157,3.53,10.49
2024-01-13 19:00:00,3.925,3.925,3.25,10.44
2024-01-13 20:00:00,3.925,3.925,3.25,14.24
2024-01-13 21:00:00,3.962,3.962,3.25,11.2
2024-01-13 22:00:00,3.916,3.916,3.0,7.0
2024-01-13 23:00:00,3.448,3.448,2.526,6.17
2024-01-14 00:00:00,3.291,3.291,2.527,4.0
2024-01-14 01:00:00,3.291,3.291,2.527,3.2
2024-01-14 02:00:00,3.291,3.291,2.527,4.0
2024-01-14 03:00:00,2.777,2.777,2.526,3.0
2024-01-14 04:00:00,2.777,2.777,2.527,4.5
2024-01-14 05:00:00,3.291,3.291,2.527,4.0
2024-01-14 06:00:00,3.665,3.665,2.902,5.0
2024-01-14 07:00:00,4.218,4.218,4.0,10.29
2024-01-14 08:00:00,4.218,4.218,4.0,7.0
2024-01-14 09:00:00,4.218,4.218,4.0,5.75
2024-01-14 10:00:00,3.882,3.882,3.26,5.04
2024-01-14 11:00:00,3.882,3.882,3.26,5.0
2024-01-14 12:00:00,3.882,3.882,3.26,6.09
2024-01-14 13:00:00,3.882,3.882,3.26,6.85
2024-01-14 14:00:00,3.882,3.882,3.26,6.26
2024-01-14 15:00:00,3.882,3.882,3.26,6.26
2024-01-14 16:00:00,4.309,4.309,4.2,22.96
2024-01-14 17:00:00,5.147,5.147,4.564,11.96
2024-01-14 18:00:00,5.693,5.584,5.0,8.27
2024-01-14 19:00:00,4.759,4.759,4.323,7.0
2024-01-14 20:00:00,4.636,4.636,4.2,7.0
2024-01-14 21:00:00,4.309,4.309,4.2,7.0
2024-01-14 22:00:00,4.309,4.309,4.2,7.0
2024-01-14 23:00:00,3.759,3.759,2.99,6.4
2024-01-15 00:00:00,3.759,3.759,2.99,4.0
2024-01-15 01:00:00,3.232,3.232,2.527,5.5
2024-01-15 02:00:00,3.232,3.232,2.527,5.5
2024-01-15 03:00:00,3.291,3.291,2.527,3.0
2024-01-15 04:00:00,3.277,3.277,2.527,4.0
2024-01-15 05:00:00,3.845,3.845,3.18,6.15
2024-01-15 06:00:00,6.464,6.464,5.82,22.02
2024-01-15 07:00:00,15.693,15.693,15.0,46.14
2024-01-15 08:00:00,10.693,10.693,10.0,42.28
2024-01-15 09:00:00,10.671,10.671,10.0,24.14
2024-01-15 10:00:00,15.173,15.173,14.48,15.48
2024-01-15 11:00:00,6.578,6.464,5.82,6.87
2024-01-15 12:00:00,5.0,5.0,5.0,6.0
2024-01-15 13:00:00,5.671,5.671,5.0,6.0
2024-01-15 14:00:00,6.578,6.464,5.82,6.92
2024-01-15 15:00:00,7.218,7.076,7.0,13.05
2024-01-15 16:00:00,7.136,7.0,7.0,8.93
2024-01-15 17:00:00,25.802,15.0,15.0,31.74
2024-01-15 18:00:00,16.62,10.0,10.0,20.51
2024-01-15 19:00:00,10.502,10.0,10.0,11.55
2024-01-15 20:00:00,7.229,7.0,7.0,8.3
2024-01-15 21:00:00,7.218,7.0,7.0,8.3
2024-01-15 22:00:00,4.805,4.805,4.2,5.25
2024-01-15 23:00:00,3.805,3.805,3.09,4.0
2024-01-16 00:00:00,13.112,13.112,10.0,10.52
2024-01-16 01:00:00,3.982,3.982,2.955,3.27
2024-01-16 02:00:00,3.227,3.227,2.955,4.5
2024-01-16 03:00:00,3.227,3.227,2.955,3.27
2024-01-16 04:00:00,3.227,3.227,2.955,4.5
2024-01-16 05:00:00,10.764,10.764,10.0,15.07
2024-01-16 06:00:00,15.77,15.77,15.0,18.02
2024-01-16 07:00:00,19.4,19.4,18.08,32.97
2024-01-16 08:00:00,32.6,30.0,30.0,43.85
2024-01-16 09:00:00,29.4,29.4,28.68,30.1
2024-01-16 10:00:00,29.473,29.473,28.84,39.89
2024-01-16 11:00:00,25.0,25.0,23.71,31.89
2024-01-16 12:00:00,19.055,19.055,17.7,26.82
2024-01-16 13:00:00,19.009,19.009,17.65,24.2
2024-01-16 14:00:00,19.4,19.4,18.17,26.73
2024-01-16 15:00:00,28.741,28.741,28.07,33.32
2024-01-16 16:00:00,29.773,29.473,28.84,36.75
2024-01-16 17:00:00,79.903,29.473,28.84,82.43
2024-01-16 18:00:00,68.335,29.495,28.89,70.84
2024-01-16 19:00:00,32.075,29.495,28.89,34.58
2024-01-16 20:00:00,24.135,24.135,23.35,26.54
2024-01-16 21:00:00,17.295,17.295,16.44,19.83
2024-01-16 22:00:00,12.877,12.877,10.4,11.45
2024-01-16 23:00:00,8.933,8.933,5.99,6.51
2024-01-17 00:00:00,5.727,5.727,4.091,4.0
2024-01-17 01:00:00,5.955,5.955,4.045,4.0
2024-01-17 02:00:00,3.182,3.182,2.664,4.5
2024-01-17 03:00:00,3.182,3.182,2.664,3.0
2024-01-17 04:00:00,5.877,5.877,3.891,4.0
2024-01-17 05:00:00,6.641,6.641,4.345,4.33
2024-01-17 06:00:00,12.602,12.602,11.57,24.57
2024-01-17 07:00:00,39.33,39.33,37.58,62.7
2024-01-17 08:00:00,19.83,19.66,18.28,36.55
2024-01-17 09:00:00,16.618,16.618,15.0,28.0
2024-01-17 10:00:00,7.427,7.427,6.0,11.06
2024-01-17 11:00:00,6.773,6.773,5.72,9.17
2024-01-17 12:00:00,5.832,5.832,5.0,16.09
2024-01-17 13:00:00,5.832,5.832,5.0,14.99
2024-01-17 14:00:00,5.832,5.832,5.0,15.27
2024-01-17 15:00:00,8.127,8.127,5.77,12.11
2024-01-17 16:00:00,6.365,6.365,5.0,9.0
2024-01-17 17:00:00,34.771,34.4,33.68,36.65
2024-01-17 18:00:00,21.242,20.942,20.21,30.08
2024-01-17 19:00:00,15.877,15.877,15.0,18.97
2024-01-17 20:00:00,6.668,6.668,5.77,9.0
2024-01-17 21:00:00,5.832,5.832,5.0,6.0
2024-01-17 22:00:00,5.991,5.991,5.0,6.05
2024-01-17 23:00:00,4.955,4.955,4.0,4.0
2024-01-18 00:00:00,22.808,22.808,14.5,16.25
2024-01-18 01:00:00,6.687,6.687,5.0,5.17
2024-01-18 02:00:00,5.963,5.963,4.75,5.27
2024-01-18 03:00:00,5.115,5.115,3.88,4.0
2024-01-18 04:00:00,6.368,6.368,5.0,5.52
2024-01-18 05:00:00,24.009,24.009,16.35,23.4
2024-01-18 06:00:00,17.036,17.036,14.03,21.15
2024-01-18 07:00:00,26.0,26.0,25.0,38.71
2024-01-18 08:00:00,25.545,25.545,25.0,28.0
2024-01-18 09:00:00,20.545,20.545,20.0,21.55
2024-01-18 10:00:00,8.205,8.205,7.66,16.23
2024-01-18 11:00:00,10.785,10.785,10.24,13.88
2024-01-18 12:00:00,12.875,12.875,12.33,19.42
2024-01-18 13:00:00,7.091,7.091,7.0,11.97
2024-01-18 14:00:00,7.441,7.441,6.77,13.62
2024-01-18 15:00:00,7.545,7.545,7.0,8.0
2024-01-18 16:00:00,5.2,5.2,4.564,9.26
2024-01-18 17:00:00,6.705,6.705,5.0,24.92
2024-01-18 18:00:00,6.636,6.636,5.0,12.92
2024-01-18 19:00:00,6.636,6.636,5.0,10.0
2024-01-18 20:00:00,5.2,5.2,4.564,7.0
2024-01-18 21:00:00,5.2,5.2,4.564,5.2
2024-01-18 22:00:00,5.727,5.727,5.0,8.0
2024-01-18 23:00:00,3.536,3.536,2.526,5.7
2024-01-19 00:00:00,8.803,8.803,7.81,7.93
2024-01-19 01:00:00,7.772,7.772,5.0,5.17
2024-01-19 02:00:00,7.772,7.772,5.0,5.17
2024-01-19 03:00:00,7.749,7.749,5.0,5.12
2024-01-19 04:00:00,7.772,7.772,5.0,5.17
2024-01-19 05:00:00,9.495,9.495,8.72,11.36
2024-01-19 06:00:00,9.594,9.514,8.84,27.04
2024-01-19 07:00:00,25.0,25.0,25.0,32.91
2024-01-19 08:00:00,25.62,25.62,25.62,31.9
2024-01-19 09:00:00,25.0,25.0,25.0,27.87
2024-01-19 10:00:00,15.95,15.95,15.95,16.95
2024-01-19 11:00:00,12.0,12.0,12.0,14.55
2024-01-19 12:00:00,11.0,11.0,11.0,12.0
2024-01-19 13:00:00,11.0,11.0,11.0,12.05
2024-01-19 14:00:00,11.0,11.0,11.0,12.0
2024-01-19 15:00:00,10.545,10.545,10.0,11.0
2024-01-19 16:00:00,8.091,8.091,8.0,23.39
2024-01-19 17:00:00,7.091,7.091,7.0,37.16
2024-01-19 18:00:00,7.091,7.091,7.0,32.86
2024-01-19 19:00:00,7.091,7.091,7.0,24.2
2024-01-19 20:00:00,7.364,7.364,7.0,8.3
2024-01-19 21:00:00,8.034,8.034,7.52,10.0
2024-01-19 22:00:00,10.682,10.682,10.0,11.05
2024-01-19 23:00:00,7.772,7.772,5.0,10.95
2024-01-20 00:00:00,11.623,11.623,11.0,13.75
2024-01-20 01:00:00,11.623,11.623,11.0,11.52
2024-01-20 02:00:00,11.518,11.518,10.77,13.75
2024-01-20 03:00:00,11.114,11.114,9.88,10.4
2024-01-20 04:00:00,11.623,11.623,11.0,13.75
2024-01-20 05:00:00,11.623,11.623,11.0,21.38
2024-01-20 06:00:00,11.636,11.636,11.03,21.32
2024-01-20 07:00:00,12.95,12.0,12.0,23.5
2024-01-20 08:00:00,12.97,12.0,12.0,35.34
2024-01-20 09:00:00,13.0,12.0,12.0,32.83
2024-01-20 10:00:00,15.0,15.0,14.03,45.87
2024-01-20 11:00:00,15.0,15.0,14.03,37.14
2024-01-20 12:00:00,12.973,12.973,12.0,41.39
2024-01-20 13:00:00,12.973,12.973,12.0,36.1
2024-01-20 14:00:00,11.093,11.093,10.12,38.03
2024-01-20 15:00:00,12.973,12.973,12.0,27.96
2024-01-20 16:00:00,7.268,7.268,5.9,8.79
2024-01-20 17:00:00,8.636,8.636,8.0,9.55
2024-01-20 18:00:00,6.818,6.818,6.0,7.55
2024-01-20 19:00:00,6.182,6.182,5.75,7.3
2024-01-20 20:00:00,6.127,6.127,5.58,6.88
2024-01-20 21:00:00,5.705,5.705,5.0,6.3
2024-01-20 22:00:00,14.695,14.695,14.03,17.0
2024-01-20 23:00:00,8.633,8.633,8.01,11.01
2024-01-21 00:00:00,6.636,6.636,5.0,19.95
