Time,RamU,RamD,Reg,Spin,STR,Sup
2024-01-04 10:00:00,0.0,0,11.33,4.0,0.0,0.45
2024-01-04 11:00:00,0.0,0,9.9,3.06,0.131,0.45
2024-01-04 12:00:00,0.0,0,8.92,3.06,0.0,0.45
2024-01-04 13:00:00,0.0,0,6.77,2.85,0.084,0.22
2024-01-04 14:00:00,0.0,0,6.77,2.83,0.084,0.18
2024-01-04 15:00:00,0.0,0,4.64,2.69,0.084,0.18
2024-01-04 16:00:00,0.0,0,4.44,2.39,0.047,0.18
2024-01-04 17:00:00,0.0,0,6.77,2.83,0.084,0.2
2024-01-04 18:00:00,1.29,0,8.06,4.0,0.352,0.2
2024-01-04 19:00:00,1.41,0,11.42,4.26,0.398,0.2
2024-01-04 20:00:00,0.0,0,11.71,3.44,0.422,0.2
2024-01-04 21:00:00,0.0,0,9.52,3.15,0.422,0.2
2024-01-04 22:00:00,0.0,0,7.32,2.08,0.084,0.2
2024-01-04 23:00:00,0.0,0,6.07,0.83,0.084,0.18
2024-01-05 00:00:00,0.0,0,4.68,0.3,0.0,0.18
2024-01-05 01:00:00,0.0,0,4.79,1.58,0.084,0.18
2024-01-05 02:00:00,0.0,0,4.44,0.92,0.0,0.18
2024-01-05 03:00:00,0.0,0,4.44,0.55,0.0,0.18
2024-01-05 04:00:00,0.0,0,4.04,0.32,0.0,0.18
2024-01-05 05:00:00,0.0,0,4.44,0.72,0.0,0.18
2024-01-05 06:00:00,0.61,0,6.5,3.16,0.084,0.2
2024-01-05 07:00:00,5.0,0,11.11,7.09,0.352,0.22
2024-01-05 08:00:00,5.0,0,17.01,10.06,2.086,0.4
2024-01-05 09:00:00,4.13,0,12.23,7.03,0.398,0.4
2024-01-05 10:00:00,0.82,0,11.26,4.0,0.398,0.4
2024-01-05 11:00:00,0.31,0,8.24,3.27,0.352,0.24
2024-01-05 12:00:00,0.0,0,6.42,2.95,0.352,0.18
2024-01-05 13:00:00,0.0,0,5.29,2.9,0.084,0.18
2024-01-05 14:00:00,0.0,0,5.0,2.9,0.084,0.18
2024-01-05 15:00:00,0.0,0,4.45,2.9,0.084,0.18
2024-01-05 16:00:00,0.0,0,4.71,2.9,0.084,0.18
2024-01-05 17:00:00,0.0,0,9.18,2.93,0.352,0.2
2024-01-05 18:00:00,1.54,0,10.89,4.38,0.352,0.2
2024-01-05 19:00:00,1.33,0,9.91,4.29,0.352,0.2
2024-01-05 20:00:00,0.0,0,10.95,2.97,0.422,0.2
2024-01-05 21:00:00,0.0,0,10.81,2.95,0.445,0.2
2024-01-05 22:00:00,0.0,0,4.99,2.94,0.445,0.18
2024-01-05 23:00:00,0.0,0,5.94,2.94,0.455,0.2
2024-01-06 00:00:00,0.0,0,5.78,2.78,0.084,0.18
2024-01-06 01:00:00,0.0,0,8.92,2.74,0.084,0.2
2024-01-06 02:00:00,0.0,0,5.35,1.0,0.084,0.2
2024-01-06 03:00:00,0.0,0,4.74,1.0,0.0,0.18
2024-01-06 04:00:00,0.0,0,5.72,2.0,0.0,0.18
2024-01-06 05:00:00,0.0,0,6.21,2.49,0.0,0.18
2024-01-06 06:00:00,0.0,0,5.67,1.95,0.084,0.18
2024-01-06 07:00:00,0.0,0,10.63,2.83,0.094,0.18
2024-01-06 08:00:00,0.0,0,11.7,2.9,0.352,0.18
2024-01-06 09:00:00,0.11,0,11.91,3.03,0.352,0.2
2024-01-06 10:00:00,0.0,0,11.42,2.97,0.352,0.2
2024-01-06 11:00:00,0.0,0,11.57,2.95,0.352,0.2
2024-01-06 12:00:00,0.0,0,11.48,2.91,0.352,0.2
2024-01-06 13:00:00,0.0,0,9.74,2.88,0.352,0.18
2024-01-06 14:00:00,0.0,0,8.7,2.83,0.094,0.18
2024-01-06 15:00:00,0.0,0,7.42,2.24,0.084,0.18
2024-01-06 16:00:00,0.0,0,5.95,1.34,0.0,0.18
2024-01-06 17:00:00,0.0,0,8.34,2.83,0.084,0.18
2024-01-06 18:00:00,0.26,0,10.08,3.23,0.084,0.18
2024-01-06 19:00:00,0.0,0,11.04,3.03,0.352,0.18
2024-01-06 20:00:00,0.0,0,9.9,2.88,0.117,0.18
2024-01-06 21:00:00,0.0,0,7.11,2.77,0.352,0.2
2024-01-06 22:00:00,0.0,0,6.46,1.0,0.084,0.18
2024-01-06 23:00:00,0.0,0,9.9,2.27,0.084,0.18
2024-01-07 00:00:00,0.0,0,8.82,0.55,0.0,0.18
2024-01-07 01:00:00,0.0,0,10.08,1.94,0.08,0.18
2024-01-07 02:00:00,0.0,0,6.08,0.67,0.047,0.18
2024-01-07 03:00:00,0.0,0,5.78,0.36,0.0,0.18
2024-01-07 04:00:00,0.0,0,4.44,0.32,0.0,0.18
2024-01-07 05:00:00,0.0,0,4.44,0.32,0.0,0.18
2024-01-07 06:00:00,0.0,0,4.71,0.32,0.0,0.18
2024-01-07 07:00:00,0.0,0,7.95,0.76,0.0,0.18
2024-01-07 08:00:00,0.0,0,10.17,1.82,0.084,0.18
2024-01-07 09:00:00,0.0,0,10.08,1.0,0.047,0.18
2024-01-07 10:00:00,0.0,0,10.8,2.83,0.084,0.18
2024-01-07 11:00:00,0.0,0,10.8,2.83,0.084,0.18
2024-01-07 12:00:00,0.0,0,8.87,2.83,0.084,0.18
2024-01-07 13:00:00,0.0,0,6.54,2.83,0.084,0.18
2024-01-07 14:00:00,0.0,0,6.93,2.72,0.084,0.18
2024-01-07 15:00:00,0.0,0,6.16,2.0,0.084,0.18
2024-01-07 16:00:00,0.0,0,5.78,1.6,0.047,0.18
2024-01-07 17:00:00,0.0,0,6.05,2.72,0.352,0.18
2024-01-07 18:00:00,0.62,0,8.41,3.51,0.352,0.18
2024-01-07 19:00:00,0.0,0,10.26,3.02,0.352,0.18
2024-01-07 20:00:00,0.0,0,10.8,2.89,0.422,0.18
2024-01-07 21:00:00,0.0,0,9.9,2.87,0.862,0.18
2024-01-07 22:00:00,0.0,0,9.58,2.72,0.352,0.18
2024-01-07 23:00:00,0.0,0,7.1,1.69,0.286,0.18
2024-01-08 00:00:00,0.0,0,4.44,0.55,0.047,0.18
2024-01-08 01:00:00,0.0,0,8.86,0.88,0.047,0.18
2024-01-08 02:00:00,0.0,0,4.44,0.55,0.0,0.18
2024-01-08 03:00:00,0.0,0,2.84,0.32,0.0,0.18
2024-01-08 04:00:00,0.0,0,3.01,0.32,0.0,0.18
2024-01-08 05:00:00,0.0,0,4.44,0.55,0.0,0.18
2024-01-08 06:00:00,0.0,0,6.06,1.94,0.0,0.18
2024-01-08 07:00:00,2.24,0,10.8,3.24,0.094,0.2
2024-01-08 08:00:00,4.47,0,15.24,7.36,0.352,0.2
2024-01-08 09:00:00,0.0,0,10.84,2.89,0.084,0.18
2024-01-08 10:00:00,0.0,0,10.53,2.06,0.084,0.18
2024-01-08 11:00:00,0.0,0,10.8,2.83,0.084,0.18
2024-01-08 12:00:00,0.0,0,10.8,2.83,0.084,0.18
2024-01-08 13:00:00,0.0,0,9.9,2.72,0.084,0.18
2024-01-08 14:00:00,0.0,0,9.33,2.1,0.0,0.18
2024-01-08 15:00:00,0.0,0,9.19,1.0,0.0,0.18
2024-01-08 16:00:00,0.0,0,8.3,0.71,0.0,0.18
2024-01-08 17:00:00,0.0,0,10.79,2.72,0.009,0.18
2024-01-08 18:00:00,0.0,0,10.8,2.88,0.084,0.18
2024-01-08 19:00:00,0.0,0,12.41,2.87,0.084,0.18
2024-01-08 20:00:00,0.0,0,10.8,2.83,0.084,0.18
2024-01-08 21:00:00,0.0,0,9.37,2.83,0.094,0.18
2024-01-08 22:00:00,0.0,0,9.06,1.83,0.084,0.18
2024-01-08 23:00:00,0.0,0,4.44,1.0,0.0,0.18
2024-01-09 00:00:00,0.0,0,5.61,0.55,0.0,0.18
2024-01-09 01:00:00,0.0,0,6.77,0.7,0.0,0.18
2024-01-09 02:00:00,0.0,0,3.74,0.22,0.0,0.18
2024-01-09 03:00:00,0.0,0,4.12,0.22,0.0,0.18
2024-01-09 04:00:00,0.0,0,3.3,0.18,0.0,0.18
2024-01-09 05:00:00,0.0,0,4.44,0.22,0.0,0.18
2024-01-09 06:00:00,0.0,0,4.44,0.76,0.0,0.18
2024-01-09 07:00:00,0.0,0,7.77,1.46,0.0,0.18
2024-01-09 08:00:00,0.0,0,11.96,2.87,0.084,0.18
2024-01-09 09:00:00,0.0,0,10.39,2.5,0.084,0.18
2024-01-09 10:00:00,0.0,0,9.94,1.88,0.084,0.18
2024-01-09 11:00:00,0.0,0,8.29,1.02,0.047,0.18
2024-01-09 12:00:00,0.0,0,7.81,1.02,0.047,0.18
2024-01-09 13:00:00,0.0,0,7.77,1.09,0.047,0.18
2024-01-09 14:00:00,0.0,0,7.77,1.02,0.0,0.18
2024-01-09 15:00:00,0.0,0,7.76,1.02,0.047,0.18
2024-01-09 16:00:00,0.0,0,7.42,1.0,0.0,0.18
2024-01-09 17:00:00,0.0,0,8.5,1.02,0.0,0.18
2024-01-09 18:00:00,0.0,0,10.86,2.72,0.084,0.18
2024-01-09 19:00:00,0.36,0,12.1,3.23,0.0,0.18
2024-01-09 20:00:00,0.0,0,11.59,2.89,0.0,0.18
2024-01-09 21:00:00,0.0,0,10.02,2.83,0.0,0.18
2024-01-09 22:00:00,0.0,0,8.64,2.08,0.0,0.18
2024-01-09 23:00:00,0.0,0,7.79,2.15,0.0,0.18
2024-01-10 00:00:00,0.0,0,7.45,2.0,0.0,0.18
2024-01-10 01:00:00,0.0,0,4.44,0.79,0.0,0.2
2024-01-10 02:00:00,0.0,0,4.44,0.49,0.0,0.18
2024-01-10 03:00:00,0.0,0,4.77,0.55,0.0,0.18
2024-01-10 04:00:00,0.0,0,4.44,0.49,0.0,0.18
2024-01-10 05:00:00,0.0,0,6.42,0.87,0.0,0.18
2024-01-10 06:00:00,0.0,0,8.84,2.79,0.0,0.2
2024-01-10 07:00:00,5.0,0,12.75,7.0,0.0,0.45
2024-01-10 08:00:00,5.0,0,18.15,9.43,0.0,0.5
2024-01-10 09:00:00,1.25,0,12.96,5.25,0.0,0.45
2024-01-10 10:00:00,0.0,0,13.21,3.25,0.0,0.4
2024-01-10 11:00:00,0.0,0,10.79,2.93,0.084,0.4
2024-01-10 12:00:00,0.0,0,9.07,2.83,0.084,0.2
2024-01-10 13:00:00,0.0,0,8.09,2.67,0.084,0.2
2024-01-10 14:00:00,0.0,0,6.77,2.0,0.084,0.2
2024-01-10 15:00:00,0.0,0,6.77,2.0,0.084,0.2
2024-01-10 16:00:00,0.0,0,7.23,2.0,0.047,0.2
2024-01-10 17:00:00,0.0,0,8.41,2.97,0.352,0.2
2024-01-10 18:00:00,0.41,0,11.46,3.35,0.422,0.24
2024-01-10 19:00:00,0.09,0,11.86,3.15,0.417,0.24
2024-01-10 20:00:00,0.0,0,11.46,3.06,0.398,0.22
2024-01-10 21:00:00,0.0,0,11.42,2.98,0.417,0.22
2024-01-10 22:00:00,0.0,0,11.42,2.89,0.094,0.22
2024-01-10 23:00:00,0.0,0,10.8,2.82,0.084,0.22
2024-01-11 00:00:00,0.0,0,6.77,1.0,0.0,0.2
2024-01-11 01:00:00,0.0,0,9.32,1.12,0.047,0.18
2024-01-11 02:00:00,0.0,0,7.77,0.52,0.0,0.18
2024-01-11 03:00:00,0.0,0,7.56,0.33,0.0,0.18
2024-01-11 04:00:00,0.0,0,7.7,0.33,0.0,0.18
2024-01-11 05:00:00,0.0,0,8.13,0.55,0.0,0.18
2024-01-11 06:00:00,0.0,0,9.25,2.07,0.0,0.18
2024-01-11 07:00:00,2.5,0,12.57,3.5,0.084,0.2
2024-01-11 08:00:00,5.0,0,21.78,7.91,0.352,0.2
2024-01-11 09:00:00,2.26,0,17.26,5.32,0.352,0.2
2024-01-11 10:00:00,0.0,0,13.32,3.07,0.398,0.22
2024-01-11 11:00:00,0.0,0,11.39,3.1,0.352,0.2
2024-01-11 12:00:00,0.0,0,11.38,3.19,0.422,0.2
2024-01-11 13:00:00,0.0,0,11.26,3.29,0.422,0.2
2024-01-11 14:00:00,0.0,0,11.42,3.07,0.417,0.2
2024-01-11 15:00:00,0.0,0,12.6,3.02,0.352,0.18
2024-01-11 16:00:00,0.0,0,11.42,2.99,0.094,0.18
2024-01-11 17:00:00,0.1,0,11.38,3.1,0.398,0.2
2024-01-11 18:00:00,0.53,0,11.33,3.51,0.417,0.2
2024-01-11 19:00:00,0.0,0,13.2,3.43,0.417,0.2
2024-01-11 20:00:00,0.0,0,12.74,3.1,0.605,0.2
2024-01-11 21:00:00,0.0,0,12.0,2.98,0.422,0.18
2024-01-11 22:00:00,0.0,0,10.81,1.23,0.352,0.18
2024-01-11 23:00:00,0.0,0,10.34,2.0,0.084,0.18
2024-01-12 00:00:00,0.0,0,7.67,1.0,0.0,0.18
2024-01-12 01:00:00,0.0,0,8.69,1.67,0.0,0.2
2024-01-12 02:00:00,0.0,0,6.77,0.91,0.0,0.18
2024-01-12 03:00:00,0.0,0,5.67,0.86,0.0,0.18
2024-01-12 04:00:00,0.0,0,6.77,0.7,0.0,0.18
2024-01-12 05:00:00,0.0,0,6.77,0.7,0.0,0.18
2024-01-12 06:00:00,0.0,0,7.77,1.46,0.0,0.18
2024-01-12 07:00:00,0.0,0,10.8,2.5,0.0,0.18
2024-01-12 08:00:00,0.0,0,10.8,2.94,0.047,0.18
2024-01-12 09:00:00,0.0,0,10.8,2.0,0.0,0.18
2024-01-12 10:00:00,0.0,0,11.2,1.46,0.0,0.18
2024-01-12 11:00:00,0.0,0,9.09,2.66,0.0,0.18
2024-01-12 12:00:00,0.0,0,8.91,2.5,0.0,0.18
2024-01-12 13:00:00,0.0,0,9.26,2.0,0.0,0.18
2024-01-12 14:00:00,0.0,0,10.21,1.72,0.0,0.18
2024-01-12 15:00:00,0.0,0,9.53,1.46,0.0,0.18
2024-01-12 16:00:00,0.0,0,7.77,1.22,0.0,0.18
2024-01-12 17:00:00,0.0,0,9.9,2.08,0.0,0.18
2024-01-12 18:00:00,0.0,0,12.26,2.56,0.0,0.18
2024-01-12 19:00:00,0.0,0,15.0,2.93,0.0,0.18
2024-01-12 20:00:00,0.0,0,15.0,2.87,0.0,0.18
2024-01-12 21:00:00,0.0,0,14.48,2.93,0.0,0.18
2024-01-12 22:00:00,0.0,0,12.99,1.93,0.0,0.18
2024-01-12 23:00:00,0.0,0,11.98,1.57,0.0,0.18
2024-01-13 00:00:00,0.0,0,10.87,1.51,0.0,0.18
2024-01-13 01:00:00,0.0,0,15.0,1.93,0.0,0.22
2024-01-13 02:00:00,0.0,0,10.01,1.02,0.0,0.2
2024-01-13 03:00:00,0.0,0,10.01,1.0,0.0,0.2
2024-01-13 04:00:00,0.0,0,10.78,1.0,0.0,0.2
2024-01-13 05:00:00,0.0,0,10.39,1.03,0.0,0.2
2024-01-13 06:00:00,0.0,0,11.71,1.0,0.0,0.2
2024-01-13 07:00:00,0.0,0,14.22,1.03,0.0,0.2
2024-01-13 08:00:00,0.0,0,11.86,1.02,0.0,0.2
2024-01-13 09:00:00,0.0,0,13.13,1.92,0.0,0.2
2024-01-13 10:00:00,0.0,0,15.0,2.0,11.564,0.2
2024-01-13 11:00:00,0.0,0,15.0,2.0,18.408,0.22
2024-01-13 12:00:00,0.0,0,13.13,1.02,6.22,0.22
2024-01-13 13:00:00,0.0,0,15.0,1.0,0.0,0.22
2024-01-13 14:00:00,0.0,0,11.49,1.23,0.0,0.22
2024-01-13 15:00:00,0.0,0,13.66,1.02,0.0,0.22
2024-01-13 16:00:00,0.0,0,11.49,2.0,0.0,0.22
2024-01-13 17:00:00,0.0,0,15.0,1.02,0.0,0.22
2024-01-13 18:00:00,2.0,0,17.0,3.0,0.0,0.24
2024-01-13 19:00:00,0.0,0,18.66,3.0,0.0,0.24
2024-01-13 20:00:00,0.0,0,15.0,2.0,6.262,0.24
2024-01-13 21:00:00,0.0,0,15.0,2.0,34.65,0.24
2024-01-13 22:00:00,0.0,0,17.1,2.0,0.0,0.24
2024-01-13 23:00:00,0.0,0,15.0,2.0,1.35,0.24
2024-01-14 00:00:00,0.0,0,15.0,2.0,0.0,0.24
2024-01-14 01:00:00,0.0,0,15.0,2.0,0.0,0.24
2024-01-14 02:00:00,0.0,0,15.0,2.0,0.0,0.24
2024-01-14 03:00:00,0.0,0,12.64,1.02,0.0,0.24
2024-01-14 04:00:00,0.0,0,8.34,1.02,0.0,0.24
2024-01-14 05:00:00,0.0,0,11.66,1.02,0.0,0.24
2024-01-14 06:00:00,0.0,0,12.9,1.6,0.0,0.24
2024-01-14 07:00:00,0.0,0,15.0,2.0,0.0,0.24
2024-01-14 08:00:00,0.0,0,15.0,1.0,0.0,0.24
2024-01-14 09:00:00,0.03,0,15.03,1.02,0.0,0.24
2024-01-14 10:00:00,0.0,0,16.56,1.0,0.0,0.24
2024-01-14 11:00:00,0.0,0,18.96,2.0,0.0,0.24
2024-01-14 12:00:00,0.0,0,15.0,1.0,0.0,0.24
2024-01-14 13:00:00,0.0,0,14.53,1.0,0.0,0.24
2024-01-14 14:00:00,0.0,0,14.21,1.0,0.0,0.4
2024-01-14 15:00:00,0.0,0,12.66,1.0,0.0,0.45
2024-01-14 16:00:00,0.0,0,15.0,1.0,0.422,0.45
2024-01-14 17:00:00,3.95,0,18.95,4.0,0.342,0.45
2024-01-14 18:00:00,5.0,0,21.83,7.0,9.15,0.45
2024-01-14 19:00:00,5.0,0,20.0,9.0,18.683,0.45
2024-01-14 20:00:00,0.0,0,18.53,2.03,18.14,0.4
2024-01-14 21:00:00,0.0,0,15.11,2.0,0.0,0.4
2024-01-14 22:00:00,0.0,0,15.0,1.0,0.0,0.24
2024-01-14 23:00:00,0.0,0,14.24,2.0,0.0,0.4
2024-01-15 00:00:00,0.0,0,27.04,2.0,2.948,0.4
2024-01-15 01:00:00,0.0,0,15.0,1.0,1.777,0.45
2024-01-15 02:00:00,0.0,0,15.0,1.0,0.0,0.45
2024-01-15 03:00:00,0.0,0,15.0,0.55,0.0,0.45
2024-01-15 04:00:00,0.0,0,10.0,1.0,0.0,0.45
2024-01-15 05:00:00,0.0,0,15.0,0.95,0.0,0.45
2024-01-15 06:00:00,2.0,0,19.66,3.0,1.266,0.45
2024-01-15 07:00:00,4.22,0,20.73,5.22,0.0,0.45
2024-01-15 08:00:00,0.4,0,30.4,2.63,0.0,0.4
2024-01-15 09:00:00,0.0,0,15.0,2.0,0.0,0.22
2024-01-15 10:00:00,0.0,0,15.0,2.0,0.0,0.24
2024-01-15 11:00:00,0.0,0,31.25,2.0,0.0,0.24
2024-01-15 12:00:00,0.0,0,26.67,1.0,0.0,0.4
2024-01-15 13:00:00,0.0,0,15.0,0.55,0.0,0.4
2024-01-15 14:00:00,0.0,0,15.0,0.55,0.0,0.4
2024-01-15 15:00:00,0.0,0,15.0,0.55,0.084,0.4
2024-01-15 16:00:00,0.0,0,15.0,0.75,0.047,0.4
2024-01-15 17:00:00,0.0,0,15.0,1.0,0.417,0.4
2024-01-15 18:00:00,3.7,0,24.66,4.7,0.0,0.45
2024-01-15 19:00:00,0.45,0,19.28,2.45,0.0,0.45
2024-01-15 20:00:00,0.0,0,15.0,2.0,0.0,0.4
2024-01-15 21:00:00,0.0,0,15.0,1.02,0.0,0.4
2024-01-15 22:00:00,0.0,0,15.0,1.02,0.0,0.4
2024-01-15 23:00:00,0.0,0,27.66,0.7,0.0,0.45
2024-01-16 00:00:00,0.0,0,20.49,0.55,2.33,0.45
2024-01-16 01:00:00,0.0,0,15.2,2.0,0.0,0.5
2024-01-16 02:00:00,0.0,0,5.0,0.7,0.0,0.5
2024-01-16 03:00:00,0.0,0,7.96,0.7,0.0,0.5
2024-01-16 04:00:00,0.0,0,8.67,0.7,0.0,0.5
2024-01-16 05:00:00,0.0,0,12.15,1.32,0.0,0.5
2024-01-16 06:00:00,0.0,0,15.93,3.0,0.0,0.5
2024-01-16 07:00:00,2.55,0,20.5,4.95,0.0,0.5
2024-01-16 08:00:00,0.0,0,18.73,2.23,0.0,0.5
2024-01-16 09:00:00,0.0,0,27.08,2.23,0.0,0.5
2024-01-16 10:00:00,0.0,0,16.45,2.4,0.0,0.5
2024-01-16 11:00:00,0.0,0,19.69,3.0,0.0,0.5
2024-01-16 12:00:00,0.0,0,17.69,3.0,0.0,0.5
2024-01-16 13:00:00,0.0,0,19.61,3.0,0.0,0.5
2024-01-16 14:00:00,0.0,0,15.39,3.0,0.0,0.5
2024-01-16 15:00:00,0.0,0,15.0,3.0,0.0,0.45
2024-01-16 16:00:00,0.0,0,14.02,3.0,0.0,0.45
2024-01-16 17:00:00,0.0,0,15.0,3.0,0.0,0.45
2024-01-16 18:00:00,5.0,0,22.67,5.35,0.0,0.45
2024-01-16 19:00:00,1.24,0,16.24,5.24,0.0,0.45
2024-01-16 20:00:00,0.0,0,26.1,3.0,0.0,0.45
2024-01-16 21:00:00,0.0,0,27.81,2.23,0.0,0.45
2024-01-16 22:00:00,0.0,0,15.84,3.0,0.0,0.45
2024-01-16 23:00:00,0.0,0,15.28,3.0,0.0,0.45
2024-01-17 00:00:00,0.0,0,22.6,3.0,0.0,0.5
2024-01-17 01:00:00,0.0,0,22.62,3.81,0.0,3.81
2024-01-17 02:00:00,0.0,0,15.0,2.0,0.0,2.0
2024-01-17 03:00:00,0.0,0,15.0,2.0,0.0,2.0
2024-01-17 04:00:00,0.0,0,15.0,3.0,0.0,3.0
2024-01-17 05:00:00,0.0,0,19.07,3.0,0.0,3.0
2024-01-17 06:00:00,0.0,0,19.22,3.0,0.0,3.0
2024-01-17 07:00:00,1.0,0,25.53,2.0,0.0,1.0
2024-01-17 08:00:00,0.0,0,27.75,1.25,4.744,1.0
2024-01-17 09:00:00,0.0,0,28.88,1.0,0.0,1.0
2024-01-17 10:00:00,0.0,0,16.58,0.9,0.0,0.9
2024-01-17 11:00:00,0.0,0,22.09,2.0,0.0,1.0
2024-01-17 12:00:00,0.0,0,15.0,2.77,0.0,1.0
2024-01-17 13:00:00,0.0,0,12.71,2.77,0.0,1.0
2024-01-17 14:00:00,0.0,0,11.26,2.77,0.0,1.0
