HourOfYear,mileage_factor_RegU_CAISO,mileage_factor_RegD_CAISO
568,1.0092,1.0087
569,1.0071,1.0029
570,0.9993,0.9723
571,1.0068,0.9602
572,0.9901,0.9695
573,1.0068,0.9611
574,1.0138,0.9751
575,0.9941,0.9769
576,1.0062,0.9769
577,1.0059,0.9767
578,0.9861,0.9869
579,0.9717,1.0004
580,0.9820,0.9803
581,0.9754,0.9869
582,0.9719,0.9942
583,0.9780,0.9963
584,0.9866,0.9975
585,0.9909,1.0006
586,0.9844,1.0117
587,0.9804,1.0101
588,0.9743,0.9939
589,0.9811,0.9948
590,0.9861,0.9870
591,0.9923,0.9794
592,0.9954,0.9805
593,0.9972,0.9835
594,1.0059,0.9803
595,1.0057,0.9970
596,1.0127,0.9960
597,1.0068,1.0083
598,0.9984,1.0009
599,1.0096,1.0161
600,1.0036,1.0047
601,1.0020,1.0107
602,0.9941,1.0229
603,1.0132,1.0173
604,0.9969,1.0094
605,1.0064,1.0096
606,0.9883,1.0085
607,0.9870,1.0008
608,0.9961,0.9969
609,1.0121,1.0084
610,1.0077,0.9963
611,1.0014,1.0116
612,1.0030,0.9994
613,1.0175,1.0074
614,1.0158,1.0199
615,1.0176,1.0099
616,1.0086,1.0148
617,1.0153,1.0108
618,0.9983,0.9943
619,1.0100,0.9970
620,1.0202,0.9931
621,1.0349,1.0007
622,1.0406,1.0024
623,1.0283,1.0172
624,1.0365,1.0149
625,1.0401,1.0139
626,1.0263,1.0166
627,1.0234,1.0366
628,0.9926,1.0374
629,0.9814,1.0272
630,0.9923,1.0210
631,1.0085,1.0038
632,1.0145,0.9977
633,1.0124,0.9800
634,1.0007,0.9886
635,1.0064,0.9781
636,0.9879,0.9800
637,0.9947,0.9776
638,0.9875,0.9800
639,0.9966,0.9925
640,1.0046,0.9968
641,0.9986,0.9899
642,1.0073,0.9671
643,0.9901,0.9715
644,0.9906,0.9803
645,0.9995,0.9773
646,1.0052,0.9877
647,0.9992,0.9900
648,1.0074,1.0025
649,1.0144,1.0090
650,1.0011,1.0075
651,0.9999,1.0050
652,1.0017,0.9869
653,1.0030,0.9738
654,1.0098,0.9679
655,1.0043,0.9766
656,1.0184,0.9859
657,1.0115,0.9838
658,0.9991,0.9956
659,0.9972,1.0113
660,1.0000,1.0159
661,0.9893,1.0169
662,0.9884,1.0083
663,0.9793,0.9953
664,0.9894,0.9879
665,0.9897,1.0037
666,0.9699,1.0016
667,0.9848,1.0116
668,0.9769,0.9889
669,1.0054,0.9839
670,0.9982,0.9768
671,0.9933,0.9787
672,0.9959,0.9907
673,0.9747,1.0040
674,0.9833,0.9995
675,0.9927,1.0084
676,1.0023,1.0073
677,1.0044,1.0023
678,1.0045,1.0083
679,0.9898,1.0019
680,0.9962,1.0029
681,0.9965,0.9933
682,0.9932,0.9811
683,0.9851,0.9832
684,0.9922,0.9783
685,0.9907,0.9943
686,0.9752,1.0072
687,0.9777,0.9963
688,0.9748,0.9962
689,0.9873,1.0113
690,0.9881,1.0127
691,0.9879,1.0099
692,0.9929,1.0036
693,1.0094,1.0055
694,1.0114,1.0095
695,1.0021,1.0063
696,0.9876,1.0194
697,1.0019,1.0234
698,0.9793,1.0298
699,0.9829,1.0287
700,1.0073,1.0242
701,0.9898,1.0265
702,0.9815,1.0292
703,0.9867,1.0188
704,0.9818,1.0130
705,0.9841,1.0065
706,0.9908,1.0194
707,0.9977,1.0282
708,1.0082,1.0283
709,0.9923,1.0427
710,1.0052,1.0295
711,1.0165,1.0298
712,1.0212,1.0153
713,1.0071,1.0027
714,0.9950,0.9911
715,0.9986,0.9766
716,1.0047,0.9794
717,1.0146,0.9821
718,1.0075,0.9970
719,1.0119,0.9975
720,1.0149,0.9976
721,1.0062,1.0137
722,1.0011,1.0204
723,0.9864,1.0166
724,0.9792,1.0052
725,0.9772,0.9928
726,0.9861,0.9917
727,1.0092,1.0095
728,1.0120,0.9977
729,0.9985,0.9801
730,0.9944,0.9701
731,1.0050,0.9738
732,0.9968,0.9817
733,1.0110,0.9965
734,1.0152,1.0079
735,1.0102,0.9998
736,0.9909,0.9975
737,1.0017,1.0049
738,1.0073,1.0012
739,1.0102,0.9927
740,1.0327,0.9881
741,1.0182,1.0040
742,1.0288,0.9967
743,1.0218,0.9879
744,1.0202,0.9933
745,1.0194,0.9966
746,1.0234,0.9814
747,1.0127,0.9914
748,1.0321,0.9904
749,1.0162,1.0075
750,1.0100,1.0011
751,1.0250,1.0030
752,1.0312,1.0096
753,1.0222,1.0142
754,1.0244,1.0059
755,1.0102,0.9953
756,1.0009,1.0006
757,0.9975,0.9996
758,1.0109,1.0107
759,0.9898,1.0123
760,0.9996,1.0150
761,0.9961,1.0035
762,1.0025,1.0113
763,1.0073,1.0195
764,1.0057,1.0177
765,0.9978,1.0122
766,0.9922,1.0124
767,0.9907,1.0017
768,0.9776,0.9804
769,0.9825,0.9584
770,0.9793,0.9544
771,0.9788,0.9595
772,0.9808,0.9799
773,0.9911,0.9841
774,1.0040,0.9927
775,1.0157,0.9932
776,1.0166,0.9883
777,1.0101,0.9870
778,0.9963,0.9828
779,1.0192,0.9760
780,1.0319,0.9868
781,1.0342,0.9868
782,1.0340,0.9812
783,1.0246,0.9862
784,1.0213,0.9970
785,1.0258,0.9897
786,1.0039,1.0005
787,0.9976,1.0018
788,0.9982,1.0100
789,0.9810,1.0204
790,0.9709,1.0052
791,0.9702,0.9899
792,0.9764,0.9858
793,0.9944,0.9849
794,0.9914,0.9900
795,1.0101,0.9948
796,1.0016,1.0146
797,1.0002,0.9925
798,0.9867,0.9955
799,0.9851,1.0049
800,0.9705,0.9939
801,1.0067,0.9910
802,0.9960,1.0036
803,1.0000,0.9890
804,0.9956,0.9955
805,0.9943,1.0088
806,0.9946,0.9882
807,1.0042,0.9852
808,1.0081,1.0028
809,1.0088,1.0070
810,1.0125,1.0080
811,1.0136,1.0152
812,0.9995,1.0026
813,0.9973,0.9984
814,1.0040,0.9969
815,0.9979,0.9997
816,1.0015,0.9952
817,1.0113,0.9788
818,1.0029,0.9867
819,1.0116,0.9819
820,1.0086,0.9870
821,1.0077,0.9899
822,1.0140,0.9858
823,1.0168,0.9807
824,0.9890,1.0034
825,0.9744,1.0173
826,0.9839,1.0140
827,0.9855,1.0204
828,0.9736,1.0222
829,0.9724,1.0251
830,0.9620,1.0218
831,0.9679,1.0256
832,0.9852,1.0304
833,0.9814,1.0331
834,0.9870,1.0096
835,0.9884,1.0084
836,1.0051,1.0244
837,1.0157,1.0266
838,0.9984,1.0118
839,0.9969,0.9946
840,0.9894,0.9965
841,0.9859,0.9780
842,0.9956,0.9854
843,0.9982,0.9876
844,1.0055,0.9830
845,0.9837,0.9978
846,0.9951,0.9960
847,0.9999,0.9894
848,1.0145,1.0017
849,1.0063,1.0039
850,1.0150,0.9993
851,1.0149,0.9863
852,1.0134,0.9874
853,1.0065,0.9813
854,1.0045,0.9913
855,0.9948,0.9795
856,0.9921,0.9936
857,0.9882,1.0056
858,0.9877,1.0030
859,0.9883,1.0096
860,0.9890,1.0175
861,0.9909,1.0077
862,0.9924,1.0110
863,0.9948,1.0162
864,0.9955,1.0067
865,0.9938,1.0149
866,0.9989,1.0173
867,1.0101,1.0236
868,1.0052,1.0254
869,0.9994,1.0322
870,1.0029,1.0294
871,1.0034,1.0196
872,0.9940,1.0142
873,0.9882,1.0076
874,0.9850,1.0027
875,0.9783,1.0106
876,0.9862,1.0081
877,0.9957,1.0082
878,0.9891,0.9889
879,0.9787,0.9932
880,0.9841,0.9963
881,0.9873,0.9987
882,1.0105,0.9827
883,1.0147,0.9812
884,1.0018,0.9705
885,0.9928,0.9701
886,0.9970,0.9741
887,0.9970,0.9795
888,0.9966,0.9804
889,0.9978,0.9813
890,1.0052,0.9823
891,1.0211,0.9742
892,1.0294,0.9729
893,1.0148,0.9848
894,1.0073,0.9992
895,0.9845,0.9984
896,0.9893,1.0029
897,0.9865,0.9991
898,0.9887,0.9938
899,0.9833,0.9891
900,0.9788,1.0110
901,0.9686,1.0002
902,0.9714,1.0057
903,0.9818,0.9936
904,0.9790,1.0153
905,0.9887,1.0212
906,0.9845,1.0194
907,0.9873,1.0311
908,1.0019,1.0276
909,0.9972,1.0299
910,0.9997,1.0356
911,1.0021,1.0277
912,1.0042,1.0226
913,1.0083,1.0196
914,1.0090,1.0066
915,0.9980,1.0023
916,0.9946,0.9976
917,1.0008,1.0063
918,1.0071,0.9948
919,0.9991,1.0029
920,1.0081,1.0057
921,1.0023,0.9913
922,1.0049,0.9992
923,1.0058,1.0053
924,0.9964,0.9996
925,0.9946,0.9993
926,0.9770,0.9910
927,0.9776,1.0082
928,0.9929,1.0056
929,0.9769,1.0045
930,0.9732,1.0054
931,0.9738,1.0093
932,0.9592,1.0114
933,0.9484,1.0102
934,0.9765,1.0053
935,0.9861,1.0075
936,0.9977,1.0116
937,1.0013,1.0154
938,1.0063,1.0178
939,1.0023,1.0164
940,1.0114,1.0209
941,1.0223,1.0057
942,1.0121,0.9915
943,1.0077,0.9764
944,1.0010,0.9835
945,1.0000,1.0047
946,1.0068,1.0140
947,1.0039,1.0092
948,0.9873,1.0087
949,0.9984,0.9999
950,0.9918,1.0111
951,0.9970,1.0097
952,1.0021,1.0052
953,0.9978,0.9998
954,0.9899,1.0027
955,0.9874,0.9901
956,1.0042,0.9855
957,0.9948,0.9967
958,0.9857,0.9786
959,0.9901,0.9695
960,0.9899,0.9842
961,0.9880,0.9979
962,0.9820,1.0086
963,0.9851,1.0070
964,0.9863,1.0078
965,1.0010,1.0143
966,0.9927,1.0079
967,0.9896,1.0046
968,1.0032,0.9925
969,0.9979,0.9848
970,0.9917,0.9908
971,0.9973,0.9912
972,0.9992,0.9875
973,0.9966,1.0013
974,0.9979,0.9940
975,1.0026,0.9913
976,1.0036,0.9931
977,1.0082,0.9932
978,1.0050,0.9923
979,0.9947,0.9832
980,1.0008,0.9903
981,0.9982,0.9915
982,0.9958,0.9966
983,1.0034,0.9982
984,1.0179,1.0157
985,0.9993,1.0229
986,0.9966,1.0089
987,0.9965,1.0276
988,0.9981,1.0189
989,0.9968,1.0104
990,0.9966,1.0037
991,1.0005,0.9987
992,0.9987,0.9931
993,0.9941,0.9984
994,0.9900,1.0044
995,1.0039,1.0020
996,1.0212,0.9960
997,1.0143,0.9981
998,1.0088,0.9978
999,1.0108,0.9830
1000,1.0100,0.9927
1001,1.0069,0.9919
1002,0.9943,1.0028
1003,0.9879,0.9918
1004,0.9964,0.9943
1005,0.9945,1.0029
1006,1.0134,1.0108
1007,1.0284,1.0065
1008,1.0149,0.9927
1009,1.0242,0.9957
1010,1.0186,0.9890
1011,1.0165,0.9849
1012,1.0199,0.9788
1013,1.0254,0.9940
1014,1.0142,0.9904
1015,1.0316,0.9930
1016,1.0284,0.9843
1017,1.0052,0.9960
1018,1.0019,0.9979
1019,1.0208,1.0098
1020,1.0116,1.0010
1021,1.0303,1.0008
1022,1.0259,0.9950
1023,1.0212,0.9909
1024,1.0078,0.9995
1025,1.0120,1.0006
1026,1.0068,0.9929
1027,1.0054,0.9793
1028,1.0025,0.9831
1029,1.0097,0.9835
1030,1.0061,0.9968
1031,0.9822,1.0086
1032,0.9777,1.0117
1033,0.9698,1.0145
1034,0.9887,1.0066
1035,0.9962,1.0085
1036,0.9973,1.0139
1037,0.9961,1.0093
1038,0.9839,1.0154
1039,0.9848,1.0103
1040,0.9962,1.0079
1041,1.0043,1.0131
1042,1.0074,0.9978
1043,0.9934,0.9942
1044,0.9880,1.0173
1045,0.9935,1.0001
1046,0.9843,1.0094
1047,0.9937,1.0017
1048,0.9827,0.9929
1049,0.9759,0.9903
1050,0.9682,0.9780
1051,0.9695,0.9750
1052,0.9612,0.9899
1053,0.9638,1.0041
1054,0.9621,0.9943
1055,0.9628,0.9934
1056,0.9756,0.9980
1057,0.9800,1.0050
1058,0.9897,1.0169
1059,1.0117,1.0103
1060,0.9943,1.0086
1061,0.9904,0.9957
1062,0.9827,0.9919
1063,0.9796,0.9894
1064,0.9867,0.9851
1065,1.0052,0.9926
1066,1.0101,1.0129
1067,1.0127,1.0003
1068,1.0198,0.9984
1069,1.0298,0.9978
1070,1.0407,1.0120
1071,1.0377,1.0069
1072,1.0221,1.0065
1073,1.0150,1.0058
1074,0.9937,1.0136
1075,1.0018,1.0206
1076,0.9937,1.0125
1077,0.9883,1.0051
1078,0.9937,1.0099
1079,0.9771,1.0202
1080,0.9907,1.0018
1081,0.9974,0.9979
1082,0.9939,0.9982
1083,0.9946,0.9808
1084,0.9895,0.9794
1085,1.0151,0.9839
1086,1.0040,0.9781
1087,1.0062,0.9694
1088,1.0027,0.9776
1089,1.0027,0.9847
1090,1.0069,0.9810
1091,1.0106,0.9889
1092,1.0054,0.9690
1093,0.9939,0.9792
1094,0.9883,0.9953
1095,0.9863,1.0075
1096,0.9833,1.0064
1097,0.9769,1.0153
1098,0.9852,1.0109
1099,0.9755,1.0176
1100,0.9795,1.0051
1101,0.9684,1.0041
1102,0.9841,1.0175
1103,0.9814,1.0180
1104,0.9782,1.0220
1105,0.9740,1.0223
1106,0.9942,1.0164
1107,1.0073,1.0248
1108,1.0065,1.0124
1109,1.0008,1.0032
1110,1.0195,1.0063
1111,1.0205,1.0215
1112,1.0144,1.0017
1113,1.0067,0.9906
1114,1.0129,0.9938
1115,1.0086,0.9991
1116,0.9948,1.0027
1117,0.9973,1.0047
1118,1.0000,0.9988
1119,1.0004,0.9970
1120,1.0049,0.9986
1121,1.0011,1.0143
1122,1.0009,1.0239
1123,1.0007,1.0374
1124,0.9884,1.0317
1125,0.9969,1.0184
1126,1.0025,1.0071
1127,1.0110,1.0079
1128,0.9998,1.0113
1129,0.9960,1.0241
1130,1.0068,1.0108
1131,1.0003,1.0012
1132,1.0166,1.0106
1133,0.9994,0.9994
1134,0.9944,1.0000
1135,0.9912,1.0147
1136,0.9997,1.0200
1137,1.0149,1.0179
1138,1.0150,1.0192
1139,0.9884,0.9978
1140,0.9898,1.0129
1141,0.9928,0.9944
1142,0.9977,0.9907
1143,0.9974,0.9861
1144,1.0097,0.9893
1145,0.9999,0.9859
1146,0.9905,0.9810
1147,0.9867,0.9771
