Timestamp,mileage_factor_RegUp_ISONE,performance_factor_RegUp_ISONE,mileage_factor_RegDown_ISONE,performance_factor_RegDown_ISONE
2023-01-04 10:00:00,1.4179,1.0,1.442,1.0
2023-01-04 11:00:00,1.6236,0.9774,1.5383,0.9243
2023-01-04 12:00:00,1.5438,1.0,1.5842,0.9761
2023-01-04 13:00:00,1.2784,0.9495,1.4477,0.9352
2023-01-04 14:00:00,1.7497,0.8582,0.9389,0.9867
2023-01-04 15:00:00,1.7271,0.8479,1.8396,0.9351
2023-01-04 16:00:00,1.4928,1.0,1.382,0.9749
2023-01-04 17:00:00,1.714,0.9357,2.1548,0.9785
2023-01-04 18:00:00,1.5123,0.9198,1.5096,0.9673
2023-01-04 19:00:00,1.6805,0.8806,1.4086,0.9812
2023-01-04 20:00:00,1.6927,0.985,2.1249,0.9295
2023-01-04 21:00:00,1.6225,0.8835,0.8594,0.9326
2023-01-04 22:00:00,1.7182,0.9487,2.112,0.8958
2023-01-04 23:00:00,1.3219,1.0,1.8335,0.9839
2023-01-05 00:00:00,1.4948,0.9675,1.1594,1.0
2023-01-05 01:00:00,1.2609,0.9033,1.1241,0.9719
2023-01-05 02:00:00,1.471,0.9765,1.0265,0.9728
2023-01-05 03:00:00,0.976,0.8984,1.7219,0.9188
2023-01-05 04:00:00,1.3573,0.9796,1.7853,0.9403
2023-01-05 05:00:00,1.2755,1.0,1.2598,0.9726
2023-01-05 06:00:00,1.8557,0.9217,1.4574,0.9249
2023-01-05 07:00:00,1.7942,1.0,1.902,0.9921
2023-01-05 08:00:00,1.5826,0.9688,1.3388,0.8471
2023-01-05 09:00:00,1.4334,0.9937,1.4952,0.9047
2023-01-05 10:00:00,2.3858,0.9002,1.4121,1.0
2023-01-05 11:00:00,1.5315,0.9235,1.5082,0.9886
2023-01-05 12:00:00,1.9376,0.933,1.65,1.0
2023-01-05 13:00:00,1.1662,0.9553,1.3217,0.9591
2023-01-05 14:00:00,1.9934,1.0,1.6125,0.9072
2023-01-05 15:00:00,1.3718,0.9667,1.9259,0.9666
2023-01-05 16:00:00,1.0584,0.9311,2.0938,1.0
2023-01-05 17:00:00,1.1706,0.8997,1.8142,0.9668
2023-01-05 18:00:00,1.4048,0.9812,0.9445,0.9462
2023-01-05 19:00:00,1.0914,0.927,1.7722,0.933
2023-01-05 20:00:00,1.39,0.8696,1.4899,0.9584
2023-01-05 21:00:00,1.3083,1.0,1.477,0.9718
2023-01-05 22:00:00,1.3572,0.8052,1.1942,0.8756
2023-01-05 23:00:00,1.7274,0.9693,1.5211,0.8954
2023-01-06 00:00:00,1.3099,0.9161,1.2964,0.9536
2023-01-06 01:00:00,1.1722,0.8918,1.9211,0.9905
2023-01-06 02:00:00,1.6369,0.9552,1.4514,0.9263
2023-01-06 03:00:00,1.232,0.9616,1.3177,0.8905
2023-01-06 04:00:00,1.686,0.9614,1.0648,0.8955
2023-01-06 05:00:00,1.6104,0.9037,1.7376,0.946
2023-01-06 06:00:00,1.608,0.9393,1.3503,1.0
2023-01-06 07:00:00,1.6834,1.0,1.987,0.907
2023-01-06 08:00:00,1.5822,0.9172,1.9673,0.9646
2023-01-06 09:00:00,1.37,0.8193,1.8044,0.9409
2023-01-06 10:00:00,1.3997,0.8822,1.5759,0.9776
2023-01-06 11:00:00,1.9804,0.8679,1.4975,1.0
2023-01-06 12:00:00,1.1345,1.0,1.4991,0.9503
2023-01-06 13:00:00,1.2206,0.9482,1.1305,1.0
2023-01-06 14:00:00,1.2026,0.9526,1.4717,0.9884
2023-01-06 15:00:00,0.9807,0.9527,1.4,0.929
2023-01-06 16:00:00,0.926,0.8529,0.9763,0.8979
2023-01-06 17:00:00,1.9309,1.0,1.8875,0.9329
2023-01-06 18:00:00,1.0823,0.943,1.5216,0.9036
2023-01-06 19:00:00,1.6119,0.9968,1.5673,0.971
2023-01-06 20:00:00,1.8167,0.9511,1.7544,1.0
2023-01-06 21:00:00,1.4384,0.8296,1.1326,0.8867
2023-01-06 22:00:00,1.524,0.9207,1.4696,0.8425
2023-01-06 23:00:00,1.4575,0.9989,1.4481,1.0
2023-01-07 00:00:00,1.4906,0.954,1.4422,0.9042
2023-01-07 01:00:00,1.6774,0.9405,1.5806,0.939
2023-01-07 02:00:00,1.3157,1.0,1.4051,1.0
2023-01-07 03:00:00,1.0914,0.9544,1.4556,0.9509
2023-01-07 04:00:00,1.1615,0.7954,1.6939,0.9135
2023-01-07 05:00:00,0.9927,1.0,1.6932,0.9462
2023-01-07 06:00:00,1.6898,0.9755,1.6962,0.9493
2023-01-07 07:00:00,1.5121,1.0,1.3129,1.0
2023-01-07 08:00:00,1.1626,0.9201,1.5514,0.8649
2023-01-07 09:00:00,1.2969,0.9108,1.5512,0.9408
2023-01-07 10:00:00,1.6817,0.9332,1.2274,1.0
2023-01-07 11:00:00,1.7186,1.0,1.8669,0.9549
2023-01-07 12:00:00,1.5009,0.9218,1.7651,0.9227
2023-01-07 13:00:00,1.799,0.9803,2.0547,0.9066
2023-01-07 14:00:00,1.2988,0.9097,1.0349,0.9648
2023-01-07 15:00:00,1.3814,0.932,2.062,0.8408
2023-01-07 16:00:00,1.2124,0.9309,1.3182,0.9887
2023-01-07 17:00:00,0.8531,0.9916,1.5399,0.8795
2023-01-07 18:00:00,1.5149,0.8591,1.4309,0.9581
2023-01-07 19:00:00,1.3563,0.9739,1.8031,0.8943
2023-01-07 20:00:00,1.792,0.917,1.0097,1.0
2023-01-07 21:00:00,1.5849,0.9442,1.5823,0.8886
2023-01-07 22:00:00,1.3085,0.9458,1.4857,0.922
2023-01-07 23:00:00,1.0323,1.0,1.5647,0.8712
2023-01-08 00:00:00,1.3679,0.8871,1.3084,0.9061
2023-01-08 01:00:00,1.2264,0.8995,1.5763,0.8372
2023-01-08 02:00:00,1.5218,0.849,1.8197,0.9161
2023-01-08 03:00:00,1.8462,0.8949,1.3562,0.9898
2023-01-08 04:00:00,1.6538,0.8924,1.5886,0.9391
2023-01-08 05:00:00,1.6372,0.8899,2.0044,1.0
2023-01-08 06:00:00,1.5368,0.9502,1.4176,0.9623
2023-01-08 07:00:00,1.8869,0.8777,1.1231,0.9951
2023-01-08 08:00:00,1.0981,0.9105,1.3319,0.9914
2023-01-08 09:00:00,1.5075,1.0,1.6734,0.928
2023-01-08 10:00:00,1.2853,0.9494,1.8179,1.0
2023-01-08 11:00:00,1.5761,0.978,1.5034,0.9855
2023-01-08 12:00:00,1.0385,0.9046,1.3388,0.9234
2023-01-08 13:00:00,0.904,1.0,1.4094,0.9636
2023-01-08 14:00:00,2.0439,0.925,1.8369,0.9262
2023-01-08 15:00:00,1.4657,0.8438,1.1336,0.9531
2023-01-08 16:00:00,1.7211,0.9591,1.5438,0.9804
2023-01-08 17:00:00,1.612,0.9677,2.0628,0.9467
2023-01-08 18:00:00,1.809,0.9661,1.3307,0.8973
2023-01-08 19:00:00,1.0567,0.9306,1.9441,0.8994
2023-01-08 20:00:00,1.8877,0.8743,1.7615,1.0
2023-01-08 21:00:00,1.3549,1.0,1.6185,1.0
2023-01-08 22:00:00,1.4113,1.0,1.7437,0.9348
2023-01-08 23:00:00,1.4576,0.9076,1.0673,0.9403
2023-01-09 00:00:00,1.1759,1.0,1.9679,0.8273
2023-01-09 01:00:00,1.5301,1.0,1.2798,0.9604
2023-01-09 02:00:00,1.5137,1.0,2.1744,1.0
2023-01-09 03:00:00,1.4244,0.926,1.9531,0.9334
2023-01-09 04:00:00,1.7244,0.9878,1.6208,0.9292
2023-01-09 05:00:00,1.7638,0.9058,1.7515,0.947
2023-01-09 06:00:00,1.286,0.9525,0.986,0.9365
2023-01-09 07:00:00,1.1857,1.0,1.0035,0.9275
2023-01-09 08:00:00,2.0703,0.9322,1.6207,0.9833
2023-01-09 09:00:00,1.2526,0.9406,1.2286,0.9648
2023-01-09 10:00:00,1.798,0.9379,1.1242,1.0
2023-01-09 11:00:00,1.6677,0.9048,1.2995,0.9879
2023-01-09 12:00:00,1.4954,0.9653,1.8815,0.9462
2023-01-09 13:00:00,1.244,0.9493,1.4672,0.9111
2023-01-09 14:00:00,1.564,0.9387,1.6254,0.9426
2023-01-09 15:00:00,1.0296,0.9359,1.4907,0.9456
2023-01-09 16:00:00,1.3346,0.9092,1.0516,1.0
2023-01-09 17:00:00,1.5091,0.9575,1.4352,0.9539
2023-01-09 18:00:00,1.3178,0.939,1.3437,0.9452
2023-01-09 19:00:00,1.2719,0.9819,1.59,0.9046
2023-01-09 20:00:00,1.7832,0.9528,1.7538,0.9828
2023-01-09 21:00:00,1.4715,0.9589,1.5952,0.992
2023-01-09 22:00:00,1.4918,0.8962,1.4744,0.9587
2023-01-09 23:00:00,1.8886,0.9359,1.674,0.9352
2023-01-10 00:00:00,1.8146,0.8773,1.482,0.9805
2023-01-10 01:00:00,1.6432,0.929,1.5777,0.9985
2023-01-10 02:00:00,1.5702,1.0,1.8872,1.0
2023-01-10 03:00:00,1.1898,0.9468,2.1968,0.996
2023-01-10 04:00:00,1.2445,0.9661,1.4573,0.9578
2023-01-10 05:00:00,1.2594,0.9089,1.7548,0.9422
2023-01-10 06:00:00,1.1541,0.9344,0.9159,0.998
2023-01-10 07:00:00,1.8331,0.9338,1.9344,1.0
2023-01-10 08:00:00,1.3462,0.9664,1.8869,0.9344
2023-01-10 09:00:00,1.5683,0.8974,1.278,1.0
2023-01-10 10:00:00,1.3237,0.9756,1.2507,0.8356
2023-01-10 11:00:00,1.5269,1.0,1.5905,0.8926
2023-01-10 12:00:00,1.4064,0.9029,1.9228,0.9873
2023-01-10 13:00:00,1.0994,0.9232,1.54,0.966
2023-01-10 14:00:00,1.7697,0.9061,1.5535,1.0
2023-01-10 15:00:00,1.9746,0.8742,1.4458,0.9872
2023-01-10 16:00:00,1.5455,0.9778,2.0086,0.94
2023-01-10 17:00:00,1.4414,0.8742,1.8301,1.0
2023-01-10 18:00:00,1.732,0.9606,1.6421,0.9691
2023-01-10 19:00:00,1.1434,0.911,1.1543,0.9972
2023-01-10 20:00:00,1.4308,0.9241,1.3884,0.8685
2023-01-10 21:00:00,1.4745,0.9679,1.5332,0.9644
2023-01-10 22:00:00,1.3539,0.9647,1.3016,0.9399
2023-01-10 23:00:00,1.5238,0.9962,1.4309,0.9516
2023-01-11 00:00:00,1.39,0.9808,1.5294,0.8924
2023-01-11 01:00:00,1.7686,0.9611,1.4778,0.8883
2023-01-11 02:00:00,1.4625,0.9429,1.3019,1.0
2023-01-11 03:00:00,1.8061,0.9469,1.6732,0.9847
2023-01-11 04:00:00,2.2442,0.9998,1.4899,0.9457
2023-01-11 05:00:00,1.866,1.0,1.5768,0.9001
2023-01-11 06:00:00,1.8938,0.9937,1.3971,1.0
2023-01-11 07:00:00,1.7042,0.9146,1.3986,0.917
2023-01-11 08:00:00,1.5722,0.8993,1.0892,0.8941
2023-01-11 09:00:00,0.8921,0.9996,1.2201,1.0
2023-01-11 10:00:00,1.3771,0.9873,1.3614,0.9984
2023-01-11 11:00:00,1.806,0.9068,1.0252,0.989
2023-01-11 12:00:00,1.586,0.98,1.4105,1.0
2023-01-11 13:00:00,1.8563,0.9492,1.4172,0.8928
2023-01-11 14:00:00,1.4575,0.9806,1.8133,0.9421
2023-01-11 15:00:00,1.2649,0.9033,0.9508,0.9641
2023-01-11 16:00:00,1.6368,0.9894,2.1971,0.9535
2023-01-11 17:00:00,1.6342,0.9745,2.0306,0.8518
2023-01-11 18:00:00,1.3908,0.9074,1.4007,0.8604
2023-01-11 19:00:00,1.6293,0.9823,1.7872,0.9646
2023-01-11 20:00:00,1.4522,0.9242,1.6319,1.0
2023-01-11 21:00:00,1.9124,0.9392,1.2752,0.905
2023-01-11 22:00:00,1.7196,0.9342,1.7598,0.9554
2023-01-11 23:00:00,1.8024,0.9034,1.2549,0.8715
2023-01-12 00:00:00,1.8308,0.9674,1.4224,1.0
2023-01-12 01:00:00,1.476,0.924,1.3374,0.905
2023-01-12 02:00:00,1.2224,0.9717,1.8251,0.9118
2023-01-12 03:00:00,1.1866,0.9072,1.6874,0.8926
2023-01-12 04:00:00,1.8316,0.9852,1.6542,0.9677
2023-01-12 05:00:00,1.3825,0.8596,1.3162,1.0
2023-01-12 06:00:00,1.0951,0.9883,1.7142,0.8746
2023-01-12 07:00:00,1.9914,0.9982,1.3386,0.9364
2023-01-12 08:00:00,1.0178,0.9505,1.6284,0.9581
2023-01-12 09:00:00,1.3969,0.8835,1.6115,0.9717
2023-01-12 10:00:00,1.6488,0.9478,1.7507,0.9335
2023-01-12 11:00:00,0.932,0.9611,1.9494,0.8774
2023-01-12 12:00:00,1.4963,0.9468,0.7742,0.9585
2023-01-12 13:00:00,1.5531,1.0,1.5935,0.9035
2023-01-12 14:00:00,1.861,0.9114,0.7934,0.9245
2023-01-12 15:00:00,2.1507,0.9481,1.3501,0.9866
2023-01-12 16:00:00,1.873,0.9456,1.3996,0.9263
2023-01-12 17:00:00,1.4453,1.0,1.3988,0.976
2023-01-12 18:00:00,0.9747,0.959,1.6202,0.8939
2023-01-12 19:00:00,1.3839,0.9208,1.5558,0.9518
2023-01-12 20:00:00,1.7787,0.9396,1.6995,0.8771
2023-01-12 21:00:00,1.6959,0.9057,1.3641,0.9561
2023-01-12 22:00:00,1.1983,0.9148,1.2306,0.9437
2023-01-12 23:00:00,1.5402,0.873,1.4987,0.932
2023-01-13 00:00:00,1.8963,0.9461,1.6782,0.9858
2023-01-13 01:00:00,1.4163,0.9215,1.4228,1.0
2023-01-13 02:00:00,1.2998,0.908,1.4605,1.0
2023-01-13 03:00:00,1.5943,0.8978,1.287,0.9909
2023-01-13 04:00:00,1.412,1.0,1.4645,0.9211
2023-01-13 05:00:00,0.9212,0.9059,2.0596,0.9947
2023-01-13 06:00:00,1.5633,0.982,1.1577,0.9098
2023-01-13 07:00:00,1.3524,0.9738,1.1403,1.0
2023-01-13 08:00:00,1.5937,0.9109,1.1433,0.9178
2023-01-13 09:00:00,1.4976,0.9558,1.5702,1.0
2023-01-13 10:00:00,1.3965,0.9809,1.2814,0.9716
2023-01-13 11:00:00,1.455,0.8936,1.9031,1.0
2023-01-13 12:00:00,2.2627,0.8749,1.4512,0.9213
2023-01-13 13:00:00,1.2104,0.9767,1.7938,0.8757
2023-01-13 14:00:00,1.8221,0.9526,1.0551,0.9399
2023-01-13 15:00:00,1.5893,0.9719,1.9012,0.9993
2023-01-13 16:00:00,1.0818,0.8927,1.4439,0.961
2023-01-13 17:00:00,1.4575,0.8782,1.1835,0.9565
2023-01-13 18:00:00,1.2614,0.9373,1.6452,0.9062
2023-01-13 19:00:00,1.6805,1.0,0.9986,0.8907
2023-01-13 20:00:00,1.5312,0.9372,1.5349,0.9641
2023-01-13 21:00:00,1.0766,0.8902,1.5625,0.9456
2023-01-13 22:00:00,0.8865,1.0,1.4317,0.9575
2023-01-13 23:00:00,1.558,1.0,1.4435,0.9217
2023-01-14 00:00:00,1.2341,0.9265,0.9511,0.8676
2023-01-14 01:00:00,1.1823,0.9841,1.5882,0.8628
2023-01-14 02:00:00,1.3587,0.9452,0.9792,0.9016
2023-01-14 03:00:00,0.9318,0.8803,1.2815,0.9375
2023-01-14 04:00:00,1.6507,0.9551,1.4504,0.9783
2023-01-14 05:00:00,1.3277,0.8567,1.434,0.9606
2023-01-14 06:00:00,1.5846,1.0,1.5279,0.9865
2023-01-14 07:00:00,1.4909,0.8847,1.7351,0.9688
2023-01-14 08:00:00,1.1754,0.9213,1.3958,0.9378
2023-01-14 09:00:00,1.2582,0.9702,1.4189,0.8664
2023-01-14 10:00:00,1.6291,0.8859,1.6309,1.0
2023-01-14 11:00:00,1.0688,0.9241,1.3145,0.8903
2023-01-14 12:00:00,2.2133,0.9469,1.2713,0.9983
2023-01-14 13:00:00,1.2715,0.9142,1.2228,0.9842
2023-01-14 14:00:00,1.159,0.9293,0.9013,0.9721
2023-01-14 15:00:00,1.3942,0.8827,1.715,0.935
2023-01-14 16:00:00,1.57,1.0,1.7434,0.9466
2023-01-14 17:00:00,0.8438,0.9452,1.876,0.9215
2023-01-14 18:00:00,1.3091,0.8543,1.1072,0.9698
2023-01-14 19:00:00,1.7967,0.9032,1.6657,0.9132
2023-01-14 20:00:00,1.473,1.0,2.0603,0.9044
2023-01-14 21:00:00,1.1563,0.9847,1.4976,0.9893
2023-01-14 22:00:00,1.832,0.9511,1.8731,0.8765
2023-01-14 23:00:00,1.4719,0.9362,1.2605,0.9175
2023-01-15 00:00:00,1.4358,1.0,1.3125,0.9605
2023-01-15 01:00:00,1.1547,0.9624,1.3653,1.0
2023-01-15 02:00:00,0.982,0.8746,1.8994,0.953
2023-01-15 03:00:00,1.4658,0.9478,1.2733,0.9872
2023-01-15 04:00:00,1.7063,0.8552,1.7141,0.9389
2023-01-15 05:00:00,1.3459,1.0,2.0159,0.9036
2023-01-15 06:00:00,1.9539,0.9524,1.5023,0.9661
2023-01-15 07:00:00,1.368,0.9479,1.2814,0.9769
2023-01-15 08:00:00,2.2214,0.9183,0.8717,0.9611
2023-01-15 09:00:00,1.5266,0.9923,1.1542,0.9243
2023-01-15 10:00:00,1.4088,0.9439,1.325,0.9629
2023-01-15 11:00:00,1.4286,0.8927,1.7635,0.8973
2023-01-15 12:00:00,0.9989,1.0,1.5126,0.9163
2023-01-15 13:00:00,1.2049,0.9595,0.9771,0.974
2023-01-15 14:00:00,1.6299,0.9047,1.6389,0.9677
2023-01-15 15:00:00,1.3423,0.8329,1.4267,0.934
2023-01-15 16:00:00,2.3926,0.9461,1.7224,0.9569
2023-01-15 17:00:00,1.9268,1.0,1.3295,0.9293
2023-01-15 18:00:00,1.9936,0.96,1.7876,0.8736
2023-01-15 19:00:00,1.2363,0.9234,1.5497,0.94
2023-01-15 20:00:00,1.851,0.8845,1.3555,0.9397
2023-01-15 21:00:00,1.9255,0.9444,1.8949,0.8581
2023-01-15 22:00:00,1.2565,0.881,1.2468,0.8696
2023-01-15 23:00:00,1.8696,0.9897,1.4228,0.9804
2023-01-16 00:00:00,1.622,0.9124,0.9751,0.9808
2023-01-16 01:00:00,1.3273,1.0,1.467,1.0
2023-01-16 02:00:00,1.448,0.8817,1.3206,0.9829
2023-01-16 03:00:00,1.7477,0.8225,2.0391,0.9032
2023-01-16 04:00:00,0.9176,0.8827,1.6552,0.942
2023-01-16 05:00:00,1.5744,0.9995,1.4538,0.9028
2023-01-16 06:00:00,1.2826,0.9402,1.5021,0.9128
2023-01-16 07:00:00,1.7243,0.8844,1.532,0.987
2023-01-16 08:00:00,1.6299,0.9198,1.1164,0.9453
2023-01-16 09:00:00,1.5897,0.9356,1.9153,0.8889
2023-01-16 10:00:00,1.8341,0.9936,1.234,1.0
2023-01-16 11:00:00,1.5594,1.0,1.3666,1.0
2023-01-16 12:00:00,1.3501,1.0,2.0559,0.9926
2023-01-16 13:00:00,1.5415,0.9297,1.4117,0.8872
2023-01-16 14:00:00,1.8335,0.9739,1.3018,0.9422
2023-01-16 15:00:00,1.1781,0.9392,1.457,1.0
2023-01-16 16:00:00,1.2632,1.0,1.6132,0.9079
2023-01-16 17:00:00,1.9476,0.9488,1.2507,0.991
2023-01-16 18:00:00,1.7119,1.0,2.0086,0.9627
2023-01-16 19:00:00,1.4595,0.9518,1.8533,0.9015
2023-01-16 20:00:00,1.536,0.8606,1.4578,1.0
2023-01-16 21:00:00,1.9926,0.922,1.1313,0.9279
2023-01-16 22:00:00,1.5886,0.9376,1.4121,0.9216
2023-01-16 23:00:00,1.7525,1.0,1.5458,0.9542
2023-01-17 00:00:00,2.312,0.9612,0.9531,0.9297
2023-01-17 01:00:00,1.3151,0.9555,1.4392,0.907
2023-01-17 02:00:00,1.4846,0.9374,1.2991,0.9342
2023-01-17 03:00:00,1.6679,1.0,2.0848,1.0
2023-01-17 04:00:00,1.5962,0.8125,1.7434,0.9865
2023-01-17 05:00:00,2.0539,0.9358,1.6225,0.9181
2023-01-17 06:00:00,1.157,0.9302,0.9506,0.9191
2023-01-17 07:00:00,2.2837,0.9059,1.0898,0.9434
2023-01-17 08:00:00,1.3317,0.877,1.2463,0.9962
2023-01-17 09:00:00,1.0655,0.9204,1.5088,0.9811
2023-01-17 10:00:00,1.3679,0.909,1.9343,0.9319
2023-01-17 11:00:00,1.6479,0.9079,1.7026,0.9879
2023-01-17 12:00:00,1.5143,0.8676,1.8557,0.9628
2023-01-17 13:00:00,1.3435,0.8384,1.6533,1.0
2023-01-17 14:00:00,1.8701,0.8829,1.7309,0.9538
2023-01-17 15:00:00,1.6636,0.932,0.9813,0.898
2023-01-17 16:00:00,1.4678,0.9456,1.6548,0.941
2023-01-17 17:00:00,1.1239,0.9573,1.0891,0.9478
2023-01-17 18:00:00,1.7962,0.9419,1.4611,0.9463
2023-01-17 19:00:00,1.9268,0.8905,1.0699,0.9717
2023-01-17 20:00:00,1.9169,0.9139,1.7839,1.0
2023-01-17 21:00:00,1.4266,0.9723,1.7981,0.9971
2023-01-17 22:00:00,0.9807,1.0,1.3539,0.9186
2023-01-17 23:00:00,1.3448,0.9004,1.9747,0.9041
2023-01-18 00:00:00,1.1986,0.9463,1.9067,0.8808
2023-01-18 01:00:00,1.2753,0.9995,1.3242,1.0
2023-01-18 02:00:00,2.0422,1.0,1.8481,1.0
2023-01-18 03:00:00,1.2005,0.9708,1.5686,0.9008
2023-01-18 04:00:00,2.0516,0.9855,1.2793,0.9591
2023-01-18 05:00:00,1.7334,0.9413,1.6679,0.9474
2023-01-18 06:00:00,1.4123,0.9059,1.1602,0.9051
2023-01-18 07:00:00,1.5016,1.0,1.2808,0.9515
2023-01-18 08:00:00,1.5605,1.0,1.1828,0.9683
2023-01-18 09:00:00,1.6695,1.0,1.5904,0.9124
2023-01-18 10:00:00,1.7502,0.8625,1.8115,1.0
2023-01-18 11:00:00,1.9941,0.9095,1.4791,0.9686
2023-01-18 12:00:00,1.444,0.9887,1.4877,1.0
2023-01-18 13:00:00,0.8699,0.9909,1.8648,1.0
2023-01-18 14:00:00,1.5803,0.9203,1.8063,0.9595
2023-01-18 15:00:00,1.5364,1.0,1.1841,0.9648
2023-01-18 16:00:00,1.6229,1.0,0.8476,0.9304
2023-01-18 17:00:00,1.1315,1.0,1.6501,0.9541
2023-01-18 18:00:00,1.5209,0.8699,2.1658,0.9055
2023-01-18 19:00:00,1.3382,0.9542,1.2822,0.8997
